run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S2C_ElephantsDream_rep1,1786967367.367,1.0001,0,0,0
S2C_ElephantsDream_rep1,1786967368.372,1.0046,0,0,0
S2C_ElephantsDream_rep1,1786967369.376,1.0045,0,0,0
S2C_ElephantsDream_rep1,1786967370.381,1.0044,10220,12,2
S2C_ElephantsDream_rep1,1786967371.385,1.0045,55332,37,1
S2C_ElephantsDream_rep1,1786967372.392,1.0064,51000,34,1
S2C_ElephantsDream_rep1,1786967373.398,1.0067,49500,33,1
S2C_ElephantsDream_rep1,1786967374.405,1.0068,46620,34,2
S2C_ElephantsDream_rep1,1786967375.412,1.007,51000,34,1
S2C_ElephantsDream_rep1,1786967376.42,1.0075,49500,33,1
S2C_ElephantsDream_rep1,1786967377.427,1.0069,48781,33,1
S2C_ElephantsDream_rep1,1786967378.433,1.0068,54000,36,1
S2C_ElephantsDream_rep1,1786967379.44,1.0069,49500,33,1
S2C_ElephantsDream_rep1,1786967380.447,1.0069,49500,33,1
S2C_ElephantsDream_rep1,1786967381.454,1.0069,48026,33,1
S2C_ElephantsDream_rep1,1786967382.461,1.0067,51000,34,1
S2C_ElephantsDream_rep1,1786967383.468,1.0069,51021,35,1
S2C_ElephantsDream_rep1,1786967384.475,1.0069,46500,31,1
S2C_ElephantsDream_rep1,1786967385.481,1.0069,54000,36,1
S2C_ElephantsDream_rep1,1786967386.488,1.0069,49480,34,1
S2C_ElephantsDream_rep1,1786967387.495,1.0069,49500,33,1
S2C_ElephantsDream_rep1,1786967388.502,1.0067,49270,33,1
S2C_ElephantsDream_rep1,1786967389.509,1.0067,48000,32,1
S2C_ElephantsDream_rep1,1786967390.516,1.007,52500,35,1
S2C_ElephantsDream_rep1,1786967391.526,1.0103,45668,31,1
S2C_ElephantsDream_rep1,1786967392.533,1.0067,54000,36,1
S2C_ElephantsDream_rep1,1786967393.539,1.0067,46500,31,1
S2C_ElephantsDream_rep1,1786967394.546,1.0067,50899,34,1
S2C_ElephantsDream_rep1,1786967395.553,1.0067,46689,32,1
S2C_ElephantsDream_rep1,1786967396.56,1.0067,54000,36,1
S2C_ElephantsDream_rep1,1786967397.566,1.0064,51000,34,1
S2C_ElephantsDream_rep1,1786967398.572,1.0063,47875,32,1
S2C_ElephantsDream_rep1,1786967399.579,1.0067,49500,33,1
S2C_ElephantsDream_rep1,1786967400.586,1.0066,49500,33,1
S2C_ElephantsDream_rep1,1786967401.592,1.0066,50679,34,1
S2C_ElephantsDream_rep1,1786967402.599,1.0067,49500,33,1
S2C_ElephantsDream_rep1,1786967403.605,1.0066,49500,33,1
S2C_ElephantsDream_rep1,1786967404.612,1.0066,50433,34,1
S2C_ElephantsDream_rep1,1786967405.62,1.0078,51000,34,1
S2C_ElephantsDream_rep1,1786967406.626,1.0064,50470,34,1
S2C_ElephantsDream_rep1,1786967407.636,1.0101,46500,31,1
S2C_ElephantsDream_rep1,1786967408.644,1.0072,49500,33,1
S2C_ElephantsDream_rep1,1786967409.65,1.0064,6493,5,1
S2C_ElephantsDream_rep1,1786967410.657,1.007,63000,42,1
S2C_ElephantsDream_rep1,1786967411.663,1.0064,48000,32,1
S2C_ElephantsDream_rep1,1786967412.67,1.0065,13956,10,1
S2C_ElephantsDream_rep1,1786967413.677,1.0067,24000,16,1
S2C_ElephantsDream_rep1,1786967414.683,1.0064,51000,34,1
S2C_ElephantsDream_rep1,1786967415.689,1.0064,51000,34,1
S2C_ElephantsDream_rep1,1786967416.696,1.0064,1182,1,1
S2C_ElephantsDream_rep1,1786967417.702,1.0065,0,0,0
S2C_ElephantsDream_rep1,1786967418.708,1.0064,61500,41,1
S2C_ElephantsDream_rep1,1786967419.715,1.0066,46500,31,1
S2C_ElephantsDream_rep1,1786967420.721,1.0063,12695,9,1
S2C_ElephantsDream_rep1,1786967421.728,1.0064,28500,19,1
S2C_ElephantsDream_rep1,1786967422.734,1.0064,45000,30,1
S2C_ElephantsDream_rep1,1786967423.74,1.0064,53841,36,1
S2C_ElephantsDream_rep1,1786967424.747,1.0064,0,0,0
S2C_ElephantsDream_rep1,1786967425.753,1.0064,15000,10,1
S2C_ElephantsDream_rep1,1786967426.76,1.0064,46500,31,1
S2C_ElephantsDream_rep1,1786967427.766,1.0069,52500,35,1
S2C_ElephantsDream_rep1,1786967428.773,1.0064,14830,10,1
S2C_ElephantsDream_rep1,1786967429.779,1.0064,21000,14,1
S2C_ElephantsDream_rep1,1786967430.786,1.0064,52500,35,1
S2C_ElephantsDream_rep1,1786967431.792,1.0064,49636,34,1
S2C_ElephantsDream_rep1,1786967432.799,1.0068,0,0,0
S2C_ElephantsDream_rep1,1786967433.805,1.0068,38832,26,1
S2C_ElephantsDream_rep1,1786967434.812,1.0064,46500,31,1
S2C_ElephantsDream_rep1,1786967435.818,1.0064,52500,35,1
S2C_ElephantsDream_rep1,1786967436.825,1.0063,54000,36,1
S2C_ElephantsDream_rep1,1786967437.831,1.0065,45000,30,1
S2C_ElephantsDream_rep1,1786967438.838,1.0067,52065,35,1
S2C_ElephantsDream_rep1,1786967439.845,1.007,49500,33,1
S2C_ElephantsDream_rep1,1786967440.852,1.0071,52500,35,1
S2C_ElephantsDream_rep1,1786967441.859,1.007,49081,33,1
S2C_ElephantsDream_rep1,1786967442.866,1.0069,49500,33,1
S2C_ElephantsDream_rep1,1786967443.872,1.0067,47885,32,1
S2C_ElephantsDream_rep1,1786967444.879,1.0066,48000,32,1
S2C_ElephantsDream_rep1,1786967445.886,1.0066,55500,37,1
S2C_ElephantsDream_rep1,1786967446.892,1.0069,47052,32,1
S2C_ElephantsDream_rep1,1786967447.899,1.007,48000,32,1
S2C_ElephantsDream_rep1,1786967448.906,1.0069,49500,33,1
S2C_ElephantsDream_rep1,1786967449.913,1.0068,53613,36,1
S2C_ElephantsDream_rep1,1786967450.92,1.0069,49500,33,1
S2C_ElephantsDream_rep1,1786967451.927,1.0069,48561,33,1
S2C_ElephantsDream_rep1,1786967452.934,1.0068,49500,33,1
