run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S3A_OfForestAndMen_rep1,1786972052.371,1.0001,0,0,0
S3A_OfForestAndMen_rep1,1786972053.38,1.0097,0,0,0
S3A_OfForestAndMen_rep1,1786972054.39,1.0097,0,0,0
S3A_OfForestAndMen_rep1,1786972055.401,1.0111,4927,6,1
S3A_OfForestAndMen_rep1,1786972056.411,1.0099,1552,2,2
S3A_OfForestAndMen_rep1,1786972057.421,1.01,21264,17,2
S3A_OfForestAndMen_rep1,1786972058.431,1.01,52500,35,1
S3A_OfForestAndMen_rep1,1786972059.441,1.0099,42000,28,1
S3A_OfForestAndMen_rep1,1786972060.451,1.01,37540,26,2
S3A_OfForestAndMen_rep1,1786972061.461,1.01,46500,31,1
S3A_OfForestAndMen_rep1,1786972062.471,1.0103,61500,41,1
S3A_OfForestAndMen_rep1,1786972063.481,1.01,41765,28,1
S3A_OfForestAndMen_rep1,1786972064.491,1.0101,52500,35,1
S3A_OfForestAndMen_rep1,1786972065.501,1.01,57827,39,1
S3A_OfForestAndMen_rep1,1786972066.511,1.0101,64607,44,1
S3A_OfForestAndMen_rep1,1786972067.525,1.014,46334,31,1
S3A_OfForestAndMen_rep1,1786972068.536,1.0101,67500,45,1
S3A_OfForestAndMen_rep1,1786972069.546,1.01,44491,30,1
S3A_OfForestAndMen_rep1,1786972070.555,1.0099,55500,37,1
S3A_OfForestAndMen_rep1,1786972071.565,1.01,49500,33,1
S3A_OfForestAndMen_rep1,1786972072.575,1.0099,54000,36,1
S3A_OfForestAndMen_rep1,1786972073.585,1.0094,35654,24,1
S3A_OfForestAndMen_rep1,1786972074.594,1.0094,46500,31,1
S3A_OfForestAndMen_rep1,1786972075.604,1.0095,60000,40,1
S3A_OfForestAndMen_rep1,1786972076.613,1.0094,59750,40,1
S3A_OfForestAndMen_rep1,1786972077.623,1.0101,85500,57,1
S3A_OfForestAndMen_rep1,1786972078.637,1.0137,75000,50,1
S3A_OfForestAndMen_rep1,1786972079.648,1.0114,51482,35,1
S3A_OfForestAndMen_rep1,1786972080.658,1.0098,76500,51,1
S3A_OfForestAndMen_rep1,1786972081.668,1.0104,83050,56,1
S3A_OfForestAndMen_rep1,1786972082.679,1.0104,75448,51,1
S3A_OfForestAndMen_rep1,1786972083.689,1.0098,58500,39,1
S3A_OfForestAndMen_rep1,1786972084.698,1.0098,70500,47,1
S3A_OfForestAndMen_rep1,1786972085.709,1.0103,45372,31,1
