run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S4B_OfForestAndMen_rep1,1786978651.282,1.0001,0,0,0
S4B_OfForestAndMen_rep1,1786978652.292,1.01,0,0,0
S4B_OfForestAndMen_rep1,1786978653.305,1.0131,0,0,0
S4B_OfForestAndMen_rep1,1786978654.317,1.0124,4927,6,1
S4B_OfForestAndMen_rep1,1786978655.33,1.0133,52,1,1
S4B_OfForestAndMen_rep1,1786978656.344,1.0133,231212,156,1
S4B_OfForestAndMen_rep1,1786978657.357,1.0132,1332334,890,1
S4B_OfForestAndMen_rep1,1786978658.37,1.0134,40,1,1
S4B_OfForestAndMen_rep1,1786978659.384,1.0136,0,0,0
S4B_OfForestAndMen_rep1,1786978660.397,1.0135,0,0,0
S4B_OfForestAndMen_rep1,1786978661.411,1.0134,106337,71,1
S4B_OfForestAndMen_rep1,1786978662.424,1.0133,2196207,1465,1
S4B_OfForestAndMen_rep1,1786978663.437,1.0133,0,0,0
S4B_OfForestAndMen_rep1,1786978664.451,1.0133,0,0,0
S4B_OfForestAndMen_rep1,1786978665.464,1.0136,270000,180,1
S4B_OfForestAndMen_rep1,1786978666.477,1.0126,1138641,760,1
S4B_OfForestAndMen_rep1,1786978667.489,1.0125,0,0,0
S4B_OfForestAndMen_rep1,1786978668.502,1.0132,0,0,0
S4B_OfForestAndMen_rep1,1786978669.517,1.0144,105000,70,1
S4B_OfForestAndMen_rep1,1786978670.531,1.0142,1435015,957,1
S4B_OfForestAndMen_rep1,1786978671.553,1.0218,0,0,0
S4B_OfForestAndMen_rep1,1786978672.566,1.0134,0,0,0
S4B_OfForestAndMen_rep1,1786978673.58,1.0137,105000,70,1
S4B_OfForestAndMen_rep1,1786978674.593,1.013,1500742,1001,1
S4B_OfForestAndMen_rep1,1786978675.606,1.0128,0,0,0
S4B_OfForestAndMen_rep1,1786978676.619,1.0129,0,0,0
S4B_OfForestAndMen_rep1,1786978677.633,1.0146,945000,630,1
S4B_OfForestAndMen_rep1,1786978678.648,1.0145,231817,155,1
S4B_OfForestAndMen_rep1,1786978679.661,1.013,0,0,0
S4B_OfForestAndMen_rep1,1786978680.674,1.013,0,0,0
S4B_OfForestAndMen_rep1,1786978681.687,1.013,728582,486,1
S4B_OfForestAndMen_rep1,1786978682.7,1.0129,0,0,0
S4B_OfForestAndMen_rep1,1786978683.712,1.0129,0,0,0
S4B_OfForestAndMen_rep1,1786978684.725,1.0129,0,0,0
S4B_OfForestAndMen_rep1,1786978685.738,1.0129,930885,621,1
S4B_OfForestAndMen_rep1,1786978686.751,1.013,0,0,0
S4B_OfForestAndMen_rep1,1786978687.764,1.0128,0,0,0
S4B_OfForestAndMen_rep1,1786978688.777,1.0129,0,0,0
S4B_OfForestAndMen_rep1,1786978689.79,1.0128,1297799,866,1
S4B_OfForestAndMen_rep1,1786978690.803,1.0129,0,0,0
S4B_OfForestAndMen_rep1,1786978691.816,1.0135,0,0,0
S4B_OfForestAndMen_rep1,1786978692.829,1.0132,0,0,0
S4B_OfForestAndMen_rep1,1786978693.842,1.0126,1743803,1163,1
S4B_OfForestAndMen_rep1,1786978694.855,1.0134,0,0,0
S4B_OfForestAndMen_rep1,1786978695.869,1.0134,0,0,0
S4B_OfForestAndMen_rep1,1786978696.882,1.0134,0,0,0
S4B_OfForestAndMen_rep1,1786978697.896,1.0138,1297799,866,1
S4B_OfForestAndMen_rep1,1786978698.909,1.0134,8165711,5447,1
S4B_OfForestAndMen_rep1,1786978699.923,1.0134,5118348,3413,1
S4B_OfForestAndMen_rep1,1786978700.936,1.0133,0,0,0
S4B_OfForestAndMen_rep1,1786978701.95,1.0138,0,0,0
S4B_OfForestAndMen_rep1,1786978702.964,1.0136,0,0,0
S4B_OfForestAndMen_rep1,1786978703.979,1.0158,1905000,1270,1
S4B_OfForestAndMen_rep1,1786978704.993,1.0134,670238,447,1
S4B_OfForestAndMen_rep1,1786978706.006,1.0134,0,0,0
S4B_OfForestAndMen_rep1,1786978707.021,1.015,0,0,0
S4B_OfForestAndMen_rep1,1786978708.035,1.0137,465000,310,1
S4B_OfForestAndMen_rep1,1786978709.048,1.0135,2116618,1412,1
S4B_OfForestAndMen_rep1,1786978710.062,1.0133,0,0,0
