run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S4C_BigBuckBunny_rep1,1786980221.42,1.0001,0,0,0
S4C_BigBuckBunny_rep1,1786980222.431,1.0109,0,0,0
S4C_BigBuckBunny_rep1,1786980223.441,1.0096,0,0,0
S4C_BigBuckBunny_rep1,1786980224.45,1.0096,5108,6,1
S4C_BigBuckBunny_rep1,1786980225.46,1.0098,52,1,1
S4C_BigBuckBunny_rep1,1786980226.483,1.0226,21439,17,2
S4C_BigBuckBunny_rep1,1786980227.497,1.0147,210000,140,1
S4C_BigBuckBunny_rep1,1786980228.512,1.015,1025025,684,1
S4C_BigBuckBunny_rep1,1786980229.53,1.0177,1173919,784,2
S4C_BigBuckBunny_rep1,1786980230.545,1.0147,6096378,4066,1
S4C_BigBuckBunny_rep1,1786980231.568,1.0231,5747693,3833,1
S4C_BigBuckBunny_rep1,1786980232.582,1.014,9160145,6107,1
S4C_BigBuckBunny_rep1,1786980233.6,1.0183,2409208,1607,1
S4C_BigBuckBunny_rep1,1786980234.614,1.0142,1041000,694,1
S4C_BigBuckBunny_rep1,1786980235.63,1.0157,1252907,836,1
S4C_BigBuckBunny_rep1,1786980236.646,1.0159,0,0,0
S4C_BigBuckBunny_rep1,1786980237.661,1.0152,0,0,0
S4C_BigBuckBunny_rep1,1786980238.676,1.0148,153000,102,1
S4C_BigBuckBunny_rep1,1786980239.69,1.0142,1682346,1122,1
S4C_BigBuckBunny_rep1,1786980240.705,1.0145,0,0,0
S4C_BigBuckBunny_rep1,1786980241.719,1.0148,0,0,0
S4C_BigBuckBunny_rep1,1786980242.734,1.0141,819000,546,1
S4C_BigBuckBunny_rep1,1786980243.748,1.0143,1448853,966,1
S4C_BigBuckBunny_rep1,1786980244.763,1.0148,0,0,0
S4C_BigBuckBunny_rep1,1786980245.777,1.0148,0,0,0
S4C_BigBuckBunny_rep1,1786980246.792,1.015,514500,343,1
S4C_BigBuckBunny_rep1,1786980247.807,1.0141,2717450,1812,1
S4C_BigBuckBunny_rep1,1786980248.82,1.0139,0,0,0
S4C_BigBuckBunny_rep1,1786980249.835,1.0148,0,0,0
S4C_BigBuckBunny_rep1,1786980250.85,1.0146,1438500,959,1
S4C_BigBuckBunny_rep1,1786980251.865,1.0149,1513380,1009,1
S4C_BigBuckBunny_rep1,1786980252.88,1.0151,0,0,0
S4C_BigBuckBunny_rep1,1786980253.895,1.0148,0,0,0
S4C_BigBuckBunny_rep1,1786980254.909,1.0147,336000,224,1
S4C_BigBuckBunny_rep1,1786980255.924,1.0148,400186,267,1
S4C_BigBuckBunny_rep1,1786980256.939,1.0148,0,0,0
S4C_BigBuckBunny_rep1,1786980257.954,1.0147,0,0,0
S4C_BigBuckBunny_rep1,1786980258.969,1.0155,168000,112,1
