run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
S5A_RedBullPlayStreets_rep1,0,0.0,1786985560.66,1786985572.028,0.840911,0.814403,0.094966,3.113963,1284355,867,2,12
S5A_RedBullPlayStreets_rep1,1,10.0,1786985572.028,1786985582.319,0.757024,0.18484,0.499011,1.09245,1155696,772,1,12
S5A_RedBullPlayStreets_rep1,2,20.0,1786985582.319,1786985592.319,0.681372,0.256005,0.324045,1.154639,867190,580,1,10
S5A_RedBullPlayStreets_rep1,3,30.0,1786985592.319,1786985602.319,0.540897,0.145901,0.341645,0.930598,757639,507,1,11
S5A_RedBullPlayStreets_rep1,4,40.0,1786985602.319,1786985612.319,0.673856,0.225983,0.365243,0.990566,944045,631,1,11
S5A_RedBullPlayStreets_rep1,5,50.0,1786985612.319,1786985622.319,0.755068,0.39727,0.0,1.154186,1058142,707,1,11
S5A_RedBullPlayStreets_rep1,6,60.0,1786985622.319,1786985632.319,0.554365,0.181336,0.200432,0.902557,775954,519,1,11
S5A_RedBullPlayStreets_rep1,7,70.0,1786985632.319,1786985642.319,0.625935,0.217756,0.211931,0.966548,797000,536,2,10
S5A_RedBullPlayStreets_rep1,8,80.0,1786985642.319,1786985652.319,0.605061,0.844113,0.0,2.491693,847637,571,2,11
S5A_RedBullPlayStreets_rep1,9,90.0,1786985652.319,1786985662.319,0.305632,0.493314,0.0,1.387691,428246,288,1,11
S5A_RedBullPlayStreets_rep1,10,100.0,1786985662.319,1786985672.319,0.669518,0.298805,0.0,1.108164,937403,625,1,11
S5A_RedBullPlayStreets_rep1,11,110.0,1786985672.319,1786985683.871,0.624297,0.214936,0.317491,1.00281,954363,639,1,12
S5A_RedBullPlayStreets_rep1,12,120.0,1786985683.871,1786985693.871,0.717696,0.2314,0.365315,1.060383,1005246,674,1,11
S5A_RedBullPlayStreets_rep1,13,130.0,1786985693.871,1786985703.871,0.466965,0.362894,0.0,1.130853,654130,438,1,11
S5A_RedBullPlayStreets_rep1,14,140.0,1786985703.871,1786985713.871,0.322645,0.324838,0.0,0.904375,452021,302,1,11
S5A_RedBullPlayStreets_rep1,15,150.0,1786985713.871,1786985723.871,0.411876,0.242763,0.0,0.82458,524415,351,1,10
S5A_RedBullPlayStreets_rep1,16,160.0,1786985723.871,1786985733.871,0.789749,0.221186,0.390469,1.086457,1107427,741,1,11
S5A_RedBullPlayStreets_rep1,17,170.0,1786985733.871,1786985743.871,0.3638,0.297925,0.0,0.754643,509284,341,1,11
S5A_RedBullPlayStreets_rep1,18,180.0,1786985743.871,1786985753.871,0.419903,0.355412,0.0,0.977333,588456,394,1,11
S5A_RedBullPlayStreets_rep1,19,190.0,1786985753.871,1786985763.871,0.518855,0.236141,0.0,0.846976,726772,486,1,11
S5A_RedBullPlayStreets_rep1,20,200.0,1786985763.871,1786985773.871,0.645001,0.189715,0.31824,0.907662,903016,604,1,11
S5A_RedBullPlayStreets_rep1,21,210.0,1786985773.871,1786985783.871,0.507339,0.334549,0.0,1.012956,646331,433,1,10
S5A_RedBullPlayStreets_rep1,22,220.0,1786985783.871,1786985793.871,0.410388,0.28652,0.0,1.014151,574732,384,1,11
S5A_RedBullPlayStreets_rep1,23,230.0,1786985793.871,1786985803.871,0.710549,0.135995,0.507075,1.014151,994953,665,1,11
S5A_RedBullPlayStreets_rep1,24,240.0,1786985803.871,1786985813.871,0.630397,0.204084,0.313686,0.977141,883568,590,1,11
S5A_RedBullPlayStreets_rep1,25,250.0,1786985813.871,1786985823.871,0.583297,0.452751,0.0,1.400871,816831,546,1,11
S5A_RedBullPlayStreets_rep1,26,260.0,1786985823.871,1786985833.871,0.758259,0.24373,0.328568,1.243425,965566,645,1,10
S5A_RedBullPlayStreets_rep1,27,270.0,1786985833.871,1786985843.871,0.617222,0.239468,0.153242,0.992468,864902,579,1,11
S5A_RedBullPlayStreets_rep1,28,280.0,1786985843.871,1786985853.871,0.418167,0.337861,0.0,1.025843,585510,394,1,11
S5A_RedBullPlayStreets_rep1,29,290.0,1786985853.871,1786985863.871,0.000885,0.001385,0.0,0.003145,1240,4,1,11
