run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
S5C_ElephantsDream_rep1,0,0.0,1786989319.528,1786989329.528,6.22174,4.257625,1.864782,16.778034,8742757,5834,2,11
S5C_ElephantsDream_rep1,1,10.0,1786989329.528,1786989339.528,28.64307,21.786249,0.0,61.33493,40197166,26806,1,11
S5C_ElephantsDream_rep1,2,20.0,1786989339.528,1786989349.528,5.102513,7.066275,0.0,18.834781,7172444,4782,1,11
S5C_ElephantsDream_rep1,3,30.0,1786989349.528,1786989359.528,4.928911,8.703145,0.0,25.207298,6302337,4202,1,10
S5C_ElephantsDream_rep1,4,40.0,1786989359.528,1786989369.528,6.280927,7.948258,0.0,20.285699,8825397,5885,1,11
S5C_ElephantsDream_rep1,5,50.0,1786989369.528,1786989379.528,7.774645,10.812137,0.0,32.223416,10925217,7284,1,11
S5C_ElephantsDream_rep1,6,60.0,1786989379.528,1786989389.528,8.635123,14.052457,0.0,32.044948,12119121,8081,1,11
S5C_ElephantsDream_rep1,7,70.0,1786989389.528,1786989399.528,5.363407,10.567976,0.0,31.855084,7531976,5025,1,11
S5C_ElephantsDream_rep1,8,80.0,1786989399.528,1786989409.528,6.67392,2.61423,1.68296,11.918918,8522738,5685,1,10
S5C_ElephantsDream_rep1,9,90.0,1786989409.528,1786989419.528,4.613626,4.955164,0.0,14.348948,6476315,4320,1,11
S5C_ElephantsDream_rep1,10,100.0,1786989419.528,1786989429.528,2.961651,4.692447,0.0,11.680674,4166604,2780,1,11
S5C_ElephantsDream_rep1,11,110.0,1786989429.528,1786989439.528,2.531262,5.470412,0.0,18.403966,3551941,2370,1,11
S5C_ElephantsDream_rep1,12,120.0,1786989439.528,1786989449.528,4.576925,7.947106,0.0,25.949328,5861191,3909,1,10
S5C_ElephantsDream_rep1,13,130.0,1786989449.528,1786989459.528,1.840855,2.871464,0.0,7.369111,2583805,1724,1,11
S5C_ElephantsDream_rep1,14,140.0,1786989459.528,1786989469.528,2.492831,3.652064,0.0,10.024279,3500165,2335,1,11
S5C_ElephantsDream_rep1,15,150.0,1786989469.528,1786989479.528,1.327615,2.729876,0.0,7.189226,1866922,1245,1,11
S5C_ElephantsDream_rep1,16,160.0,1786989479.528,1786989489.528,2.332623,3.362427,0.0,8.751369,3275764,2185,1,11
S5C_ElephantsDream_rep1,17,170.0,1786989489.528,1786989499.528,2.157173,3.542858,0.0,10.870814,2754331,1837,1,10
S5C_ElephantsDream_rep1,18,180.0,1786989499.528,1786989509.528,2.627929,3.61237,0.0,9.799039,3687555,2460,1,11
S5C_ElephantsDream_rep1,19,190.0,1786989509.528,1786989519.528,2.428886,3.999151,0.0,10.678011,3410520,2275,1,11
S5C_ElephantsDream_rep1,20,200.0,1786989519.528,1786989529.528,2.153568,3.472342,0.0,8.79582,3023740,2018,1,11
S5C_ElephantsDream_rep1,21,210.0,1786989529.528,1786989539.528,2.92974,4.776947,0.0,14.173882,4115090,2745,1,11
S5C_ElephantsDream_rep1,22,220.0,1786989539.528,1786989549.528,3.428923,4.931197,0.0,14.173882,4378324,2920,1,10
S5C_ElephantsDream_rep1,23,230.0,1786989549.528,1786989559.528,1.817572,3.360595,0.0,11.007503,2552453,1702,1,11
S5C_ElephantsDream_rep1,24,240.0,1786989559.528,1786989569.528,0.001139,0.001507,0.0,0.003134,1600,4,1,11
S5C_ElephantsDream_rep1,25,250.0,1786989569.528,1786989579.528,0.0,0.0,0.0,0.0,0,0,0,11
S5C_ElephantsDream_rep1,26,260.0,1786989579.528,1786989589.528,0.0,0.0,0.0,0.0,0,0,0,11
S5C_ElephantsDream_rep1,27,270.0,1786989589.528,1786989599.528,0.0,0.0,0.0,0.0,0,0,0,10
S5C_ElephantsDream_rep1,28,280.0,1786989599.528,1786989609.528,3.7e-05,0.000117,0.0,0.000407,52,1,1,11
S5C_ElephantsDream_rep1,29,290.0,1786989609.528,1786989619.528,2.9e-05,9e-05,0.0,0.000314,40,1,1,11
