run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S5C_RedBullPlayStreets_rep1,1786989941.444,1.0001,0,0,0
S5C_RedBullPlayStreets_rep1,1786989942.458,1.0137,0,0,0
S5C_RedBullPlayStreets_rep1,1786989943.471,1.0136,0,0,0
S5C_RedBullPlayStreets_rep1,1786989944.485,1.0137,4728,6,1
S5C_RedBullPlayStreets_rep1,1786989945.499,1.014,48014,36,1
S5C_RedBullPlayStreets_rep1,1786989946.52,1.0213,560178,374,1
S5C_RedBullPlayStreets_rep1,1786989947.542,1.0221,775500,517,1
S5C_RedBullPlayStreets_rep1,1786989948.563,1.0211,800473,535,2
S5C_RedBullPlayStreets_rep1,1786989949.585,1.0215,868500,579,1
S5C_RedBullPlayStreets_rep1,1786989950.606,1.0211,765849,511,1
S5C_RedBullPlayStreets_rep1,1786989951.627,1.0207,973500,649,1
S5C_RedBullPlayStreets_rep1,1786989952.65,1.0236,1063500,709,1
S5C_RedBullPlayStreets_rep1,1786989953.671,1.0203,1079319,720,1
S5C_RedBullPlayStreets_rep1,1786989954.691,1.0207,1069681,714,1
S5C_RedBullPlayStreets_rep1,1786989955.711,1.0202,1630500,1087,1
S5C_RedBullPlayStreets_rep1,1786989956.732,1.0201,1752911,1169,1
S5C_RedBullPlayStreets_rep1,1786989957.752,1.0205,2521829,1682,1
S5C_RedBullPlayStreets_rep1,1786989958.772,1.0205,2573971,1717,1
S5C_RedBullPlayStreets_rep1,1786989959.794,1.0217,0,0,0
S5C_RedBullPlayStreets_rep1,1786989960.815,1.0204,0,0,0
S5C_RedBullPlayStreets_rep1,1786989961.843,1.0284,15000,10,1
S5C_RedBullPlayStreets_rep1,1786989962.864,1.0214,1935514,1291,1
S5C_RedBullPlayStreets_rep1,1786989963.886,1.0214,0,0,0
S5C_RedBullPlayStreets_rep1,1786989964.907,1.0215,0,0,0
S5C_RedBullPlayStreets_rep1,1786989965.929,1.0214,54000,36,1
S5C_RedBullPlayStreets_rep1,1786989966.95,1.0214,2050765,1368,1
S5C_RedBullPlayStreets_rep1,1786989967.972,1.0214,0,0,0
S5C_RedBullPlayStreets_rep1,1786989968.993,1.0214,0,0,0
S5C_RedBullPlayStreets_rep1,1786989970.014,1.0214,63000,42,1
S5C_RedBullPlayStreets_rep1,1786989971.037,1.0229,2011757,1342,1
S5C_RedBullPlayStreets_rep1,1786989972.057,1.0202,0,0,0
S5C_RedBullPlayStreets_rep1,1786989973.08,1.0223,0,0,0
S5C_RedBullPlayStreets_rep1,1786989974.1,1.0205,312000,208,1
S5C_RedBullPlayStreets_rep1,1786989975.121,1.0212,1850867,1234,1
S5C_RedBullPlayStreets_rep1,1786989976.144,1.0229,0,0,0
S5C_RedBullPlayStreets_rep1,1786989977.166,1.0214,0,0,0
S5C_RedBullPlayStreets_rep1,1786989978.192,1.0262,30000,20,1
S5C_RedBullPlayStreets_rep1,1786989979.212,1.0201,5232254,3490,1
S5C_RedBullPlayStreets_rep1,1786989980.231,1.0191,9354437,6238,1
S5C_RedBullPlayStreets_rep1,1786989981.25,1.0191,10068330,6714,1
S5C_RedBullPlayStreets_rep1,1786989982.271,1.0205,11497201,7667,1
S5C_RedBullPlayStreets_rep1,1786989983.291,1.0205,13440882,8962,1
S5C_RedBullPlayStreets_rep1,1786989984.312,1.0211,4224508,2817,1
S5C_RedBullPlayStreets_rep1,1786989985.333,1.0208,0,0,0
