run_id,window_index,t_start,mean_o22,stall_s,label
FASE2_s2_BigBuckBunny,0,0.0,4.3738,1.423,Critical
FASE2_s2_BigBuckBunny,1,10.0,3.5601,0,Good
FASE2_s2_BigBuckBunny,2,20.0,4.42,0,Excellent
FASE2_s2_BigBuckBunny,3,30.0,4.4415,0,Excellent
FASE2_s2_BigBuckBunny,4,40.0,4.4546,0,Excellent
FASE2_s2_BigBuckBunny,5,50.0,4.4665,0,Excellent
FASE2_s2_BigBuckBunny,6,60.0,4.4273,0,Excellent
FASE2_s2_BigBuckBunny,7,70.0,4.4053,0,Excellent
FASE2_s2_BigBuckBunny,8,80.0,4.4053,0,Excellent
FASE2_s2_BigBuckBunny,9,90.0,4.4053,0,Excellent
FASE2_s2_BigBuckBunny,10,100.0,4.4053,0,Excellent
FASE2_s2_BigBuckBunny,11,110.0,4.4053,0,Excellent
FASE2_s2_BigBuckBunny,12,120.0,4.4053,0,Excellent
FASE2_s2_BigBuckBunny,13,130.0,4.4053,0,Excellent
FASE2_s2_BigBuckBunny,14,140.0,4.3835,0,Excellent
FASE2_s2_BigBuckBunny,15,150.0,4.3835,0,Excellent
FASE2_s2_BigBuckBunny,16,160.0,4.412,0,Excellent
FASE2_s2_BigBuckBunny,17,170.0,4.4785,0,Excellent
FASE2_s2_BigBuckBunny,18,180.0,4.4785,0,Excellent
FASE2_s2_BigBuckBunny,19,190.0,4.4785,0,Excellent
FASE2_s2_BigBuckBunny,20,200.0,4.4109,0,Excellent
FASE2_s2_BigBuckBunny,21,210.0,4.3936,0,Excellent
FASE2_s2_BigBuckBunny,22,220.0,4.4357,0,Excellent
FASE2_s2_BigBuckBunny,23,230.0,4.4357,0,Excellent
FASE2_s2_BigBuckBunny,24,240.0,4.4656,0,Excellent
FASE2_s2_BigBuckBunny,25,250.0,4.4785,0,Excellent
FASE2_s2_BigBuckBunny,26,260.0,4.4785,0,Excellent
FASE2_s2_BigBuckBunny,27,270.0,4.4785,0,Excellent
FASE2_s2_BigBuckBunny,28,280.0,4.4785,0,Excellent
FASE2_s2_BigBuckBunny,29,290.0,4.4785,0,Excellent
