run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
MC_s12_bola_Valkaama,0,0.0,1789974062.516,1789974072.866,0.121708,0.188019,0.0,0.643188,160037,168,4,102,67.890749,238.930668,4.166667,7,372.679164,626.810059,246.099171,42,0.004043,0.059899,0.095477,0.23751,0.121708,0.0,168,0.121854,0.998802,160037,0.627451
MC_s12_bola_Valkaama,1,10.0,1789974072.866,1789974088.081,0.053838,0.086379,0.0,0.387274,103159,122,2,148,120.730473,385.489807,1.639344,2,492.329593,1095.693145,306.545462,51,0.0,0.063813,0.102961,0.236819,-0.06787,0.442354,-46,0.081614,0.659666,263196,0.675676
MC_s12_bola_Valkaama,2,20.0,1789974088.081,1789974098.081,0.061635,0.103079,0.0,0.363369,78346,97,2,98,88.629753,371.252094,15.463918,15,255.604517,603.905636,164.634421,31,0.23636,0.025909,0.065697,0.242246,0.007797,1.144823,-25,0.076004,0.810944,341542,0.683673
MC_s12_bola_Valkaama,3,30.0,1789974098.081,1789974108.081,0.057843,0.092739,0.0,0.36139,72723,92,2,97,137.789266,412.943765,9.782609,9,231.70228,306.148331,94.968242,36,0.0,0.07822,0.087127,0.241544,-0.003792,0.938477,-5,0.072016,0.803197,414265,0.649485
MC_s12_bola_Valkaama,4,40.0,1789974108.081,1789974118.081,0.060389,0.106616,0.0,0.36,76066,91,2,97,122.689993,470.83148,10.989011,10,197.320988,298.448414,95.187023,34,0.004004,0.117158,0.126533,0.36,0.002546,1.044016,-1,0.069914,0.863761,490331,0.701031
MC_s12_bola_Valkaama,5,50.0,1789974118.081,1789974128.081,0.155747,0.135715,0.0,0.481233,196513,222,2,97,83.556333,143.643708,8.108108,18,197.076167,322.814991,84.118779,70,0.238999,0.178314,0.118065,0.459418,0.095358,2.579062,131,0.082988,1.876741,686844,0.340206
MC_s12_bola_Valkaama,6,60.0,1789974128.081,1789974138.081,0.163096,0.213071,0.0,1.071039,206009,229,4,97,36.54152,166.702915,10.043668,23,159.522911,402.997369,123.602605,40,0.0,0.003491,0.010278,0.033749,0.007349,1.047185,7,0.093573,1.742981,892853,0.556701
MC_s12_bola_Valkaama,7,70.0,1789974138.081,1789974148.081,0.046632,0.07838,0.0,0.243445,58684,74,3,96,97.687182,445.677475,2.702703,2,426.226598,1072.49778,348.691329,28,0.0,0.05292,0.072535,0.233423,-0.116464,0.285917,-155,0.088104,0.529284,951537,0.697917
MC_s12_bola_Valkaama,8,80.0,1789974148.081,1789974158.081,0.093604,0.108197,0.0,0.348145,119150,130,2,97,135.868018,388.418023,0.0,0,415.059601,986.394261,312.836597,49,0.233423,0.113958,0.118499,0.291904,0.046972,2.007291,56,0.088681,1.055514,1070687,0.525773
MC_s12_bola_Valkaama,9,90.0,1789974158.081,1789974168.081,0.1043,0.15356,0.0,0.957557,131264,130,2,96,65.132413,194.424523,0.0,0,414.14108,1037.464921,337.092346,39,0.0,0.063859,0.210907,0.957557,0.010696,1.114269,0,0.090155,1.156896,1201951,0.59375
MC_s12_bola_Valkaama,10,100.0,1789974168.081,1789974178.081,0.038972,0.191429,0.0,1.184857,48965,40,2,96,38.473059,307.44633,2.5,1,186.792689,377.488244,186.227042,4,0.0,0.002238,0.00823,0.033652,-0.065328,0.373653,-90,0.08573,0.45459,1250916,0.9375
MC_s12_bola_Valkaama,11,110.0,1789974178.081,1789974188.081,0.04737,0.088825,0.0,0.466845,59901,70,2,96,218.862771,873.544387,1.428571,1,2114.259125,1500.660778,8509.019875,27,0.118473,0.056125,0.07777,0.232977,0.008398,1.215488,30,0.08269,0.572862,1310817,0.729167
MC_s12_bola_Valkaama,12,120.0,1789974188.081,1789974198.081,0.07678,0.096565,0.0,0.236947,96782,106,2,96,151.830823,405.00868,0.0,0,433.093212,790.498519,212.79637,40,0.126496,0.110411,0.110424,0.2332,0.02941,1.620857,36,0.082249,0.933507,1407599,0.572917
MC_s12_bola_Valkaama,13,130.0,1789974198.081,1789974208.081,0.114286,0.156802,0.0,0.577039,145608,145,3,97,150.523342,240.565316,0.0,0,364.030514,515.746436,185.861542,39,0.0,0.092078,0.143046,0.538904,0.037506,1.488487,39,0.084465,1.353057,1553207,0.608247
MC_s12_bola_Valkaama,14,140.0,1789974208.081,1789974218.081,0.062614,0.34696,0.0,2.048457,79338,65,2,95,9.206829,0.0,0.0,0,0.295536,0.304242,0.011396,3,0.0,0.065072,0.34433,1.887094,-0.051672,0.547871,-80,0.083125,0.753251,1632545,0.968421
MC_s12_bola_Valkaama,15,150.0,1789974218.081,1789974228.081,0.039295,0.271329,0.0,2.110494,50201,41,2,96,9.347903,0.0,0.0,0,0.882217,0.917582,0.035365,2,0.0,0.057303,0.303218,1.661784,-0.023319,0.627575,-24,0.080491,0.488191,1682746,0.979167
MC_s12_bola_Valkaama,16,160.0,1789974228.081,1789974238.081,0.240251,1.673461,0.0,15.626566,304548,233,2,96,4.782405,0.0,0.0,0,0.291689,0.389943,0.07699,3,0.0,0.089382,0.472965,2.592076,0.200956,6.114035,192,0.089628,2.680535,1987294,0.96875
MC_s12_bola_Valkaama,17,170.0,1789974238.081,1789974248.081,0.058721,0.172122,0.0,0.937132,74365,63,2,96,68.798252,560.920438,1.587302,1,193.526969,625.942682,242.157663,11,0.0,0.117491,0.201143,0.608411,-0.18153,0.244415,-170,0.087954,0.667633,2061659,0.875
MC_s12_bola_Valkaama,18,180.0,1789974248.081,1789974258.081,0.078446,0.122784,0.0,0.459355,99279,103,2,96,168.98216,645.898087,0.970874,1,353.831271,771.816208,265.636314,36,0.231871,0.071868,0.11897,0.345831,0.019725,1.33591,40,0.087467,0.896864,2160938,0.645833
MC_s12_bola_Valkaama,19,190.0,1789974258.081,1789974268.081,0.081447,0.137911,0.0,0.687711,101903,104,2,95,102.222171,325.045942,0.961538,1,494.743863,772.009531,270.627051,35,0.0,0.091087,0.181854,0.687711,0.003001,1.038256,1,0.08717,0.934347,2262841,0.663158
MC_s12_bola_Valkaama,20,200.0,1789974268.081,1789974278.081,0.072055,0.103791,0.0,0.459355,91247,111,2,96,101.450579,292.236722,10.810811,12,414.10241,962.249624,279.476883,45,0.0,0.081144,0.137786,0.459355,-0.009392,0.884686,7,0.086463,0.833362,2354088,0.59375
MC_s12_bola_Valkaama,21,210.0,1789974278.081,1789974288.706,0.076582,0.146104,0.0,0.770986,102831,131,2,101,73.439159,255.270169,25.19084,33,631.279488,1065.337686,378.110766,28,0.0,0.089615,0.128427,0.47303,0.004527,1.062827,20,0.086023,0.89025,2456919,0.613861
MC_s12_bola_Valkaama,22,220.0,1789974288.706,1789974304.012,0.027061,0.057721,0.0,0.236746,52228,71,2,146,96.711868,487.750863,15.492958,11,622.886083,968.405869,341.643654,30,0.0,0.027158,0.053271,0.163709,-0.049521,0.35336,-60,0.082282,0.328881,2509147,0.80137
MC_s12_bola_Valkaama,23,230.0,1789974304.012,1789974314.244,0.063105,0.107371,0.0,0.685109,81890,96,2,98,146.060657,453.178037,4.166667,4,459.712913,791.873744,274.549209,41,0.0,0.090336,0.16226,0.685109,0.036044,2.331954,25,0.081497,0.774323,2591037,0.632653
MC_s12_bola_Valkaama,24,240.0,1789974314.244,1789974324.244,0.069758,0.167043,0.0,1.011466,87617,100,2,95,61.045506,263.124207,19.0,19,447.62812,858.070037,379.663836,20,0.0,0.047697,0.11616,0.344522,0.006653,1.105427,4,0.081048,0.8607,2678654,0.747368
MC_s12_bola_Valkaama,25,250.0,1789974324.244,1789974334.244,0.048543,0.105508,0.0,0.458485,61087,62,2,95,112.707112,506.872642,1.612903,1,535.846882,997.171064,416.829782,20,0.0,0.05385,0.087705,0.231212,-0.021215,0.695877,-38,0.079857,0.607874,2739741,0.778947
MC_s12_bola_Valkaama,26,260.0,1789974334.244,1789974344.244,0.044208,0.085306,0.0,0.458485,56327,64,2,96,112.805734,405.849656,0.0,0,572.6684,1071.936027,379.051095,24,0.0,0.033517,0.060313,0.230775,-0.004335,0.910698,2,0.078586,0.562543,2796068,0.729167
MC_s12_bola_Valkaama,27,270.0,1789974344.244,1789974354.244,0.051056,0.105767,0.0,0.458051,64200,64,2,95,99.551409,436.090411,0.0,0,584.648312,1050.158623,425.438962,22,0.117353,0.051256,0.10657,0.457618,0.006848,1.154904,0,0.07764,0.657599,2860268,0.768421
MC_s12_bola_Valkaama,28,280.0,1789974354.244,1789974364.244,0.048042,0.111579,0.0,0.567947,60379,66,2,95,103.200657,428.092499,1.515152,1,478.136298,1169.868468,407.296535,22,0.0,0.047594,0.141582,0.567947,-0.003014,0.940967,2,0.076662,0.626673,2920647,0.778947
