run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
MC_s13_bola_BigBuckBunny,0,0.0,1789974838.682,1789974850.505,0.124944,0.135428,0.0,0.486375,77.589431,181.318954,10.045662,22,233.456676,444.902242,120.782887,66,185082,219,2,115
MC_s13_bola_BigBuckBunny,1,10.0,1789974850.505,1789974860.505,0.180673,0.219828,0.0,0.97371,45.716589,107.275815,17.689531,49,190.225054,311.736235,78.805442,56,230010,277,2,99
MC_s13_bola_BigBuckBunny,2,20.0,1789974860.505,1789974870.505,0.06037,0.198843,0.0,0.973385,49.227055,406.341895,25.773196,25,126.673496,168.802769,38.921994,11,76050,97,2,98
MC_s13_bola_BigBuckBunny,3,30.0,1789974870.505,1789974880.505,0.042734,0.096154,0.0,0.480466,102.40774,554.918126,9.836066,6,438.873117,885.935539,345.452184,20,53911,61,2,98
MC_s13_bola_BigBuckBunny,4,40.0,1789974880.505,1789974890.505,0.042789,0.087201,0.0,0.352868,107.396299,465.731362,1.5625,1,412.166488,635.454958,240.359106,24,54081,64,2,98
MC_s13_bola_BigBuckBunny,5,50.0,1789974890.505,1789974900.505,0.06743,0.106496,0.0,0.278879,71.440238,319.658708,0.0,0,533.461392,1139.445594,382.902677,31,84766,95,3,97
MC_s13_bola_BigBuckBunny,6,60.0,1789974900.505,1789974910.505,0.209575,0.286442,0.0,1.192,43.417289,231.383765,1.282051,3,163.299799,270.517304,163.123693,41,264368,234,4,97
MC_s13_bola_BigBuckBunny,7,70.0,1789974910.505,1789974920.505,0.070238,0.214204,0.0,1.075581,37.3728,307.110923,0.0,0,107.408458,215.40731,86.989856,12,89102,75,2,97
MC_s13_bola_BigBuckBunny,8,80.0,1789974920.505,1789974930.505,0.105444,0.276739,0.0,1.426769,50.563456,364.309356,0.0,0,118.654757,269.670771,101.458867,15,133073,110,2,97
MC_s13_bola_BigBuckBunny,9,90.0,1789974930.505,1789974940.505,0.096895,0.134429,0.0,0.468637,111.342705,612.99158,0.757576,1,256.132073,480.947212,132.884193,39,122609,132,4,97
MC_s13_bola_BigBuckBunny,10,100.0,1789974940.505,1789974950.505,0.084448,0.144751,0.0,0.467739,83.004471,335.909743,1.785714,2,148.76471,242.076326,63.540469,29,105873,112,2,96
MC_s13_bola_BigBuckBunny,11,110.0,1789974950.505,1789974960.505,0.28384,0.180041,0.0,0.699599,88.604215,231.468854,0.0,0,166.730716,322.870066,75.754507,76,357897,351,2,96
MC_s13_bola_BigBuckBunny,12,120.0,1789974960.505,1789974970.505,0.292337,0.251076,0.0,0.93102,58.578619,92.954569,0.0,0,185.749712,285.574604,67.521564,67,368824,367,2,96
MC_s13_bola_BigBuckBunny,13,130.0,1789974970.505,1789974980.505,0.204398,0.206156,0.0,0.576426,80.432273,210.869616,0.389105,1,219.672207,322.825278,67.768337,52,258045,257,2,96
MC_s13_bola_BigBuckBunny,14,140.0,1789974980.505,1789974990.505,0.490228,0.584912,0.0,2.355395,30.851805,147.472559,0.375235,2,109.883222,150.830872,51.887584,49,619192,533,2,96
MC_s13_bola_BigBuckBunny,15,150.0,1789974990.505,1789975000.505,0.897712,0.296479,0.34616,1.500133,26.989314,41.738492,0.0,0,118.852331,142.298094,28.630016,96,1134235,945,2,96
MC_s13_bola_BigBuckBunny,16,160.0,1789975000.505,1789975010.505,0.474287,0.262289,0.0,1.040457,48.848407,79.580765,0.0,0,121.476077,156.862397,24.514975,80,599648,541,2,96
MC_s13_bola_BigBuckBunny,17,170.0,1789975010.505,1789975020.505,0.396099,0.160653,0.0,0.689697,64.810709,72.471061,0.0,0,124.481968,141.503153,28.657911,91,502117,474,2,96
MC_s13_bola_BigBuckBunny,18,180.0,1789975020.505,1789975030.505,0.481157,0.185171,0.109991,1.034545,57.723036,68.955527,0.0,0,122.919526,141.854583,30.836746,93,605016,555,2,95
MC_s13_bola_BigBuckBunny,19,190.0,1789975030.505,1789975040.505,0.608431,1.571481,0.0,14.014323,17.419028,47.95096,0.757576,5,105.059787,141.520451,33.266889,44,777271,660,2,96
MC_s13_bola_BigBuckBunny,20,200.0,1789975040.505,1789975050.505,0.584172,1.193103,0.0,3.645217,12.752575,67.216821,0.0,0,58.118956,78.623079,19.407258,19,737662,569,2,95
MC_s13_bola_BigBuckBunny,21,210.0,1789975050.505,1789975060.505,2.69333,0.535424,1.587269,4.079624,8.345113,13.652843,0.0,0,77.21064,86.088947,9.62328,95,3405282,2537,2,95
MC_s13_bola_BigBuckBunny,22,220.0,1789975060.505,1789975070.505,2.110075,1.091571,0.0,4.083465,11.237499,30.974202,0.0,0,72.816086,85.890301,9.042194,81,2666037,2020,2,95
MC_s13_bola_BigBuckBunny,23,230.0,1789975070.505,1789975080.505,1.84763,1.130932,0.0,3.741353,10.349177,21.081453,0.05291,1,70.543156,85.014365,12.066909,74,2338978,1890,2,95
MC_s13_bola_BigBuckBunny,24,240.0,1789975080.505,1789975090.505,2.04534,1.298377,0.0,3.982723,9.087175,29.756856,0.099453,2,70.283633,90.175722,15.274202,69,2564706,2011,2,94
MC_s13_bola_BigBuckBunny,25,250.0,1789975090.505,1789975100.505,2.146177,0.556374,0.903477,3.518493,11.305483,20.723192,0.181901,4,68.16457,90.278408,13.744653,95,2731102,2199,2,95
MC_s13_bola_BigBuckBunny,26,260.0,1789975100.505,1789975110.505,1.456525,0.351956,0.903477,2.258542,18.755433,20.543368,0.0,0,81.073001,85.855849,3.394217,94,1836684,1462,2,94
MC_s13_bola_BigBuckBunny,27,270.0,1789975110.505,1789975120.505,1.979836,0.887684,0.0,3.602013,13.983564,28.175367,0.0,0,67.364975,87.54005,17.180968,92,2499009,2010,2,94
MC_s13_bola_BigBuckBunny,28,280.0,1789975120.505,1789975130.505,1.003594,1.374595,0.0,3.61447,11.076733,51.669246,0.099404,1,65.308503,90.207099,20.376991,35,1265313,1006,2,94
MC_s13_bola_BigBuckBunny,29,290.0,1789975130.505,1789975140.505,0.002274,0.011502,0.0,0.068229,26.559145,349.549962,0.0,0,19.451003,45.543423,19.979218,6,2886,12,2,95
