run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
MC_s14_bola_TearsOfSteel,0,0.0,1789967896.452,1789967906.452,0.098173,0.137283,0.0,0.470515,181.328856,549.460725,0.724638,1,653.88681,1734.634511,478.077194,49,123754,138,4,98
MC_s14_bola_TearsOfSteel,1,10.0,1789967906.452,1789967977.258,0.115154,1.356722,0.0,35.531826,254.181626,1387.572033,2.219873,21,750.216812,1586.939183,489.904158,203,1022702,946,4,688
MC_s14_bola_TearsOfSteel,2,20.0,1789967977.258,1789967999.955,0.070281,0.105414,0.0,0.349482,186.454874,796.537486,8.294931,18,1121.31072,1789.621494,674.99065,76,199665,217,3,218
MC_s14_bola_TearsOfSteel,3,30.0,1789967999.955,1789968013.483,0.356137,2.990037,0.0,34.406059,183.318933,564.383875,1.930502,10,678.872866,1457.655139,501.433902,62,608419,518,4,131
MC_s14_bola_TearsOfSteel,4,40.0,1789968013.483,1789968045.233,0.065093,0.094382,0.0,0.349147,178.792724,563.890218,0.34965,1,868.382572,1785.2372,490.194311,112,258919,286,3,304
MC_s14_bola_TearsOfSteel,5,50.0,1789968045.233,1789968089.187,0.111304,1.497309,0.0,30.619084,280.71242,1356.583587,1.890034,11,846.555289,1794.387153,613.261705,120,609912,582,4,417
MC_s14_bola_TearsOfSteel,6,60.0,1789968089.187,1789968103.115,0.173486,1.155995,0.0,13.350699,229.454815,626.333863,2.090592,6,632.642671,1414.935738,420.244423,59,303170,287,4,132
MC_s14_bola_TearsOfSteel,7,70.0,1789968103.115,1789968125.919,0.25875,2.722319,0.0,40.050075,250.952719,642.980197,0.916031,6,696.924948,1619.082404,498.260248,103,739865,655,3,215
MC_s14_bola_TearsOfSteel,8,80.0,1789968125.919,1789968135.919,0.116492,0.130221,0.0,0.655942,262.665644,765.371405,0.625,1,451.429374,1045.751524,295.881652,57,148289,160,3,95
MC_s14_bola_TearsOfSteel,9,90.0,1789968135.919,1789968153.408,0.123362,0.138571,0.0,0.453758,244.924291,645.402485,0.355872,1,502.668927,834.542015,284.906992,99,270515,281,3,164
MC_s14_bola_TearsOfSteel,10,100.0,1789968153.408,1789968181.072,0.213263,1.668617,0.0,26.8797,252.238956,664.682725,2.188782,16,476.134225,1068.40924,313.185687,142,737677,731,4,259
MC_s14_bola_TearsOfSteel,11,110.0,1789968181.072,1789968191.072,0.344386,0.210534,0.0,0.682587,100.729846,221.725332,0.2457,1,254.016178,287.256292,57.334721,77,438720,407,4,95
MC_s14_bola_TearsOfSteel,12,120.0,1789968191.072,1789968201.072,0.074024,0.161987,0.0,0.680673,34.708613,252.244653,0.0,0,274.303872,319.962162,106.050289,23,93273,88,4,94
