run_id,window_index,t_start,mean_o22,stall_s,label
MC_s2_bola_Valkaama,0,0.0,4.0769,0.384,Degraded
MC_s2_bola_Valkaama,1,10.0,4.2545,0,Excellent
MC_s2_bola_Valkaama,2,20.0,3.9702,0,Good
MC_s2_bola_Valkaama,3,30.0,3.7806,0,Good
MC_s2_bola_Valkaama,4,40.0,3.7806,0,Good
MC_s2_bola_Valkaama,5,50.0,4.2407,0,Excellent
MC_s2_bola_Valkaama,6,60.0,4.3767,0,Excellent
MC_s2_bola_Valkaama,7,70.0,4.3432,0,Excellent
MC_s2_bola_Valkaama,8,80.0,4.3432,0,Excellent
MC_s2_bola_Valkaama,9,90.0,4.3432,0,Excellent
MC_s2_bola_Valkaama,10,100.0,2.4852,2.659,Critical
MC_s2_bola_Valkaama,11,110.0,4.1717,0.053,Degraded
MC_s2_bola_Valkaama,12,120.0,4.2545,0,Excellent
MC_s2_bola_Valkaama,13,130.0,4.2545,0,Excellent
MC_s2_bola_Valkaama,14,140.0,4.3128,0,Excellent
MC_s2_bola_Valkaama,15,150.0,4.4057,0,Excellent
MC_s2_bola_Valkaama,16,160.0,4.4018,0,Excellent
MC_s2_bola_Valkaama,17,170.0,4.4018,0,Excellent
MC_s2_bola_Valkaama,18,180.0,4.4203,0,Excellent
MC_s2_bola_Valkaama,19,190.0,3.0473,0.67,Degraded
MC_s2_bola_Valkaama,20,200.0,3.591,0,Good
MC_s2_bola_Valkaama,21,210.0,3.5123,0,Good
MC_s2_bola_Valkaama,22,220.0,3.7806,0,Good
MC_s2_bola_Valkaama,23,230.0,3.8369,0,Good
MC_s2_bola_Valkaama,24,240.0,4.4248,0,Excellent
MC_s2_bola_Valkaama,25,250.0,4.4778,0,Excellent
MC_s2_bola_Valkaama,26,260.0,4.4652,0,Excellent
MC_s2_bola_Valkaama,27,270.0,4.4652,0,Excellent
MC_s2_bola_Valkaama,28,280.0,4.4652,0,Excellent
MC_s2_bola_Valkaama,29,290.0,4.4652,0,Excellent
