run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
MC_s3_bola_BigBuckBunny,0,0.0,1789972534.014,1789972544.125,0.177457,0.146197,0.0,0.475019,226763,230,2,99,85.981344,148.939864,0.0,0,314.217785,564.499936,179.107837,67,0.474097,0.239759,0.152538,0.475019,0.177457,0.0,230,0.177349,1.000609,226763,0.333333
MC_s3_bola_BigBuckBunny,1,10.0,1789972544.125,1789972554.125,0.291319,1.24909,0.0,12.227393,370228,355,2,98,41.128917,187.286023,4.788732,17,204.743952,403.075379,123.76258,40,0.0,0.132583,0.236838,0.824412,0.113862,1.641631,125,0.234836,1.240521,596991,0.571429
MC_s3_bola_BigBuckBunny,2,20.0,1789972554.125,1789972564.125,0.076322,0.117431,0.0,0.485442,96609,114,2,98,85.791982,287.6448,14.912281,17,236.573609,475.20828,166.991354,39,0.0,0.045485,0.085262,0.357829,-0.214997,0.261988,-241,0.182133,0.419045,693600,0.622449
MC_s3_bola_BigBuckBunny,3,30.0,1789972564.125,1789972575.988,0.196679,0.616441,0.0,6.514884,294705,299,2,116,69.144219,205.982901,8.695652,26,164.14801,315.325946,113.837312,69,0.0,0.13475,0.309916,1.072868,0.120357,2.576963,185,0.186251,1.055989,988305,0.396552
MC_s3_bola_BigBuckBunny,4,40.0,1789972575.988,1789972585.988,0.102592,0.290852,0.0,1.555771,128381,106,2,97,38.411788,316.560957,0.0,0,73.796829,175.001739,64.306882,13,0.352868,0.102179,0.24988,1.085116,-0.094087,0.521622,-193,0.170231,0.602663,1116686,0.865979
MC_s3_bola_BigBuckBunny,5,50.0,1789972585.988,1789972595.988,0.265242,0.252691,0.0,0.825247,336794,323,4,98,86.006799,328.475713,0.0,0,158.735827,269.282647,67.148434,61,0.234995,0.312585,0.184566,0.703691,0.16265,2.585406,217,0.18565,1.428721,1453480,0.367347
MC_s3_bola_BigBuckBunny,6,60.0,1789972595.988,1789972606.092,0.354193,1.228814,0.0,12.298826,451101,432,2,98,65.9016,155.249656,1.157407,5,184.970245,285.146899,67.765668,63,0.0,0.561111,2.226618,12.298826,0.088951,1.335358,109,0.209203,1.693059,1904581,0.316327
MC_s3_bola_BigBuckBunny,7,70.0,1789972606.092,1789972616.092,0.130864,0.255113,0.0,1.194379,165693,155,2,97,65.428855,353.560655,0.645161,1,93.824834,124.032346,27.016492,24,0.353846,0.375181,0.279818,1.046462,-0.223329,0.369471,-277,0.199695,0.655319,2070274,0.731959
MC_s3_bola_BigBuckBunny,8,80.0,1789972616.092,1789972626.092,0.104842,0.168438,0.0,0.584923,132566,128,2,97,72.57189,289.73527,0.78125,1,105.371239,116.733071,12.093423,28,0.349147,0.097497,0.195881,0.583241,-0.026022,0.801152,-27,0.189368,0.553642,2202840,0.649485
MC_s3_bola_BigBuckBunny,9,90.0,1789972626.092,1789972636.898,0.42887,2.386709,0.0,24.342397,582539,475,2,104,45.25092,230.056595,0.631579,3,108.595807,159.386077,41.536326,30,0.0,0.115691,0.359426,1.618715,0.324028,4.090632,347,0.214391,2.00041,2785379,0.692308
MC_s3_bola_BigBuckBunny,10,100.0,1789972636.898,1789972646.898,0.411882,0.299694,0.0,1.188802,522431,454,2,97,63.971904,163.446174,0.0,0,133.119284,164.698903,31.186952,73,0.349147,0.490378,0.171083,0.698293,-0.016988,0.960389,-21,0.231962,1.775644,3307810,0.237113
MC_s3_bola_BigBuckBunny,11,110.0,1789972646.898,1789972656.898,0.446112,0.242701,0.0,0.698964,561875,496,2,96,49.824099,64.83717,0.0,0,150.644348,164.360974,15.061237,82,0.696957,0.444915,0.236213,0.697625,0.03423,1.083106,42,0.249362,1.789014,3869685,0.135417
MC_s3_bola_BigBuckBunny,12,120.0,1789972656.898,1789972666.898,0.502918,0.193555,0.0,0.698293,638453,567,2,97,51.259238,58.312497,0.0,0,138.914135,164.223827,18.191234,94,0.348478,0.501858,0.218057,0.697625,0.056806,1.127336,71,0.268526,1.872884,4508138,0.030928
MC_s3_bola_BigBuckBunny,13,130.0,1789972666.898,1789972676.898,0.567052,1.406087,0.0,14.047648,712553,621,2,96,41.908748,54.161072,0.966184,6,135.797005,140.81812,18.435922,79,0.0,0.696476,2.537732,14.047648,0.064134,1.127524,54,0.289313,1.959995,5220691,0.177083
MC_s3_bola_BigBuckBunny,14,140.0,1789972676.898,1789972686.898,0.403171,0.323215,0.0,1.384627,512290,444,3,97,50.472088,149.519715,0.0,0,148.467028,182.645438,48.007056,69,0.46551,0.470692,0.143395,0.926622,-0.163881,0.710995,-177,0.296803,1.358379,5732981,0.28866
MC_s3_bola_BigBuckBunny,15,150.0,1789972686.898,1789972696.898,0.537496,0.207785,0.0583,0.997481,680152,673,2,96,44.037443,57.38846,0.0,0,138.844791,176.459764,43.733706,96,0.466399,0.522466,0.200171,0.997481,0.134325,1.333171,229,0.311626,1.724811,6413133,0.0
MC_s3_bola_BigBuckBunny,16,160.0,1789972696.898,1789972706.898,0.540594,0.209383,0.232312,0.932798,681172,673,2,96,45.001292,57.55327,0.0,0,140.683094,194.888128,39.25232,96,0.465954,0.717778,0.228054,0.932798,0.003098,1.005764,0,0.324835,1.664211,7094305,0.0
MC_s3_bola_BigBuckBunny,17,170.0,1789972706.898,1789972716.898,0.608251,0.234442,0.231212,0.93369,766109,760,2,96,38.417667,54.823707,0.0,0,127.952916,167.218444,43.719321,96,0.910196,0.582603,0.234969,0.932798,0.067657,1.125153,87,0.340289,1.787454,7860414,0.0
