run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
MC_s4_dynamic_BigBuckBunny,1789985971.241,0.1001,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985971.342,0.1013,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985971.444,0.1025,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985971.545,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985971.647,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985971.748,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985971.849,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985971.95,0.1013,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.052,0.102,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.153,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.254,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.356,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.457,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.558,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.659,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.76,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.861,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985972.962,0.1013,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.063,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.165,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.266,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.367,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.468,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.569,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.67,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.771,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.872,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985973.974,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.075,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.176,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.277,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.378,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.479,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.58,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.681,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.782,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.884,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985974.985,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.086,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.187,0.101,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.288,0.1009,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.389,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.49,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.591,0.1012,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.692,0.1011,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.794,0.1014,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.895,0.1015,0,0,0,0,0,0
MC_s4_dynamic_BigBuckBunny,1789985975.997,0.1016,0,0,0,0,0,0
