run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
MC_s4_dynamic_RedBullPlayStreets,0,0.0,1789968279.784,1789968322.626,0.213199,1.820251,0.0,37.153224,90.912807,266.521622,0.862069,9,428.683327,870.591813,223.201735,189,1144235,1044,3,416
MC_s4_dynamic_RedBullPlayStreets,1,10.0,1789968322.626,1789968332.626,0.215578,0.201453,0.0,0.706421,67.575051,135.986944,0.0,0,272.595058,383.282549,75.190635,58,272668,257,2,98
MC_s4_dynamic_RedBullPlayStreets,2,20.0,1789968332.626,1789968342.626,0.208917,0.204163,0.0,0.705736,117.858076,153.065987,0.403226,1,265.718522,409.932907,113.853467,59,261575,248,2,97
MC_s4_dynamic_RedBullPlayStreets,3,30.0,1789968342.626,1789968352.626,0.184473,0.186653,0.0,0.706421,68.537969,154.686773,0.0,0,349.182315,563.853767,126.515427,57,234192,241,4,98
MC_s4_dynamic_RedBullPlayStreets,4,40.0,1789968352.626,1789968362.626,0.088157,0.393851,0.0,3.729527,43.741948,279.367324,4.347826,5,237.713892,331.928902,91.632113,15,110902,115,2,97
MC_s4_dynamic_RedBullPlayStreets,5,50.0,1789968362.626,1789968372.626,0.119274,0.172915,0.0,0.701657,125.388701,492.561942,0.0,0,211.529745,241.204884,170.248319,40,151011,144,2,97
MC_s4_dynamic_RedBullPlayStreets,6,60.0,1789968372.626,1789968382.626,0.1369,0.133221,0.0,0.467292,63.64683,142.95707,0.0,0,181.928794,239.054252,66.569094,51,173932,176,3,97
MC_s4_dynamic_RedBullPlayStreets,7,70.0,1789968382.626,1789968392.626,0.146702,0.134748,0.0,0.466845,73.763067,163.489332,0.0,0,172.98404,237.913207,70.437313,56,184428,182,2,96
MC_s4_dynamic_RedBullPlayStreets,8,80.0,1789968392.626,1789968402.626,0.388098,1.264456,0.0,10.866769,54.646178,100.444514,0.894855,4,213.068356,356.036304,94.479169,61,487907,447,2,96
MC_s4_dynamic_RedBullPlayStreets,9,90.0,1789968402.626,1789968412.626,0.12269,0.845583,0.0,5.959809,1.771045,0.0,0.0,0,1.00346,1.076577,0.073117,2,155679,120,2,97
