run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
MC_s5_bola_Valkaama,0,0.0,1789983705.985,1789983715.985,0.532728,0.19828,0.0,0.964995,45.014757,54.529919,0.436047,3,120.409258,154.250119,30.986559,95,678445,688,4,99
MC_s5_bola_Valkaama,1,10.0,1789983715.985,1789983725.985,0.619244,1.896931,0.0,18.789864,33.007073,57.724307,1.783265,13,103.382781,154.265665,33.562416,70,778963,729,2,98
MC_s5_bola_Valkaama,2,20.0,1789983725.985,1789983735.985,0.277227,0.559628,0.0,2.111315,30.754005,222.027354,3.703704,12,83.984658,122.028425,28.586639,21,348534,324,2,98
MC_s5_bola_Valkaama,3,30.0,1789983735.985,1789983745.985,0.390831,0.60705,0.0,2.111315,22.752262,167.777426,3.036876,14,114.545451,156.648259,27.072842,32,492502,461,2,98
MC_s5_bola_Valkaama,4,40.0,1789983745.985,1789983755.985,0.143087,0.193025,0.0,0.707794,68.424029,359.97541,9.59596,19,161.869386,255.750037,61.773065,42,180707,198,2,98
MC_s5_bola_Valkaama,5,50.0,1789983755.985,1789983768.948,0.321192,0.25116,0.0,0.969302,30.184402,78.11608,16.772152,106,91.036747,205.676467,54.159752,105,527251,632,4,127
MC_s5_bola_Valkaama,6,60.0,1789983768.948,1789983778.948,0.169634,0.150472,0.0,0.599923,83.645995,306.112533,16.544118,45,147.320841,248.43336,69.365791,74,213918,272,4,97
MC_s5_bola_Valkaama,7,70.0,1789983778.948,1789983789.997,0.167806,0.148215,0.0,0.597742,63.072539,120.890433,13.261649,37,149.107204,238.052857,71.775812,80,234189,279,2,107
MC_s5_bola_Valkaama,8,80.0,1789983789.997,1789983799.997,0.252855,0.203454,0.0,0.719617,45.223917,200.982426,15.425532,58,106.210028,172.494543,47.409338,69,320037,376,2,97
MC_s5_bola_Valkaama,9,90.0,1789983799.997,1789983809.997,0.276549,0.188166,0.0,1.308253,61.730345,118.932157,6.534091,23,173.334368,328.431855,96.516759,81,346226,352,2,96
MC_s5_bola_Valkaama,10,100.0,1789983809.997,1789983820.168,0.120594,0.146213,0.0,0.469087,83.305778,235.572805,0.0,0,245.683304,359.266473,116.453771,44,155910,158,2,99
MC_s5_bola_Valkaama,11,110.0,1789983820.168,1789983830.168,0.132176,0.151093,0.0,0.467739,78.829493,168.808571,0.0,0,282.663124,362.783272,94.910841,44,165873,166,2,96
MC_s5_bola_Valkaama,12,120.0,1789983830.168,1789983840.168,0.054978,0.149209,0.0,1.179866,100.39554,395.213102,7.407407,6,218.226881,321.471135,143.311005,25,69676,81,2,97
MC_s5_bola_Valkaama,13,130.0,1789983840.168,1789983850.168,0.037711,0.078113,0.0,0.233646,112.365297,535.859382,0.0,0,355.60063,656.589455,285.91519,22,47353,53,2,96
MC_s5_bola_Valkaama,14,140.0,1789983850.168,1789983860.168,0.045501,0.077619,0.0,0.233423,125.242342,457.90411,1.369863,1,480.332779,987.633716,294.028302,30,57306,73,3,96
MC_s5_bola_Valkaama,15,150.0,1789983860.168,1789983870.168,0.079215,0.102201,0.0,0.315422,97.617935,274.858,0.0,0,387.52167,890.794512,275.183677,41,100371,109,2,96
MC_s5_bola_Valkaama,16,160.0,1789983870.168,1789983880.168,0.068996,0.180983,0.0,1.17698,147.123608,910.234521,1.136364,1,282.049846,909.838473,242.286176,20,87751,88,3,96
MC_s5_bola_Valkaama,17,170.0,1789983880.168,1789983890.168,0.046522,0.116965,0.0,0.462863,121.855427,754.47959,1.612903,1,186.104325,366.779831,125.738202,15,58306,62,2,95
MC_s5_bola_Valkaama,18,180.0,1789983890.168,1789983900.168,0.059732,0.165043,0.0,1.17535,110.840072,632.288329,0.0,0,163.478906,303.961891,104.103822,17,74982,78,2,95
MC_s5_bola_Valkaama,19,190.0,1789983900.168,1789983910.168,0.480106,0.447751,0.0,1.776061,35.630974,131.26786,0.0,0,123.083416,173.606536,42.68966,58,613275,527,2,96
MC_s5_bola_Valkaama,20,200.0,1789983910.168,1789983920.168,0.646708,0.289533,0.0,1.14316,35.504898,53.502837,0.0,0,161.598275,173.133618,30.166201,91,814401,660,2,95
MC_s5_bola_Valkaama,21,210.0,1789983920.168,1789983930.168,0.374786,0.240276,0.0,0.916569,56.651549,90.162257,0.0,0,148.529891,172.684494,25.958692,80,473073,429,2,95
MC_s5_bola_Valkaama,22,220.0,1789983930.168,1789983940.168,0.488338,0.198538,0.0,1.02967,51.396227,57.73031,0.0,0,138.636083,147.662714,25.169159,92,616839,548,2,95
MC_s5_bola_Valkaama,23,230.0,1789983940.168,1789983950.168,0.256318,0.694333,0.0,5.622846,26.97599,178.652765,2.142857,6,88.04949,147.624258,39.160903,23,325419,280,2,95
MC_s5_bola_Valkaama,24,240.0,1789983950.168,1789983960.168,0.165647,0.574202,0.0,2.833771,18.526634,131.996096,0.0,0,45.570719,82.615371,18.563447,8,211420,175,2,95
MC_s5_bola_Valkaama,25,250.0,1789983960.168,1789983970.168,0.934943,0.761299,0.0,2.836432,20.639287,63.231245,0.0,0,79.970505,95.918502,13.781531,60,1173012,936,2,94
MC_s5_bola_Valkaama,26,260.0,1789983970.168,1789983980.168,2.150643,7.133689,0.0,58.000823,12.241224,25.477165,0.458295,10,78.686408,95.798929,18.273943,67,2726374,2182,2,95
MC_s5_bola_Valkaama,27,270.0,1789983980.168,1789983990.168,0.803951,5.076321,0.0,41.955042,0.548044,0.0,0.0,0,0.631449,1.174254,0.392078,3,1022839,771,2,94
MC_s5_bola_Valkaama,28,280.0,1789983990.168,1789984000.168,0.85898,5.821411,0.0,40.86714,7.42094,0.0,0.0,0,11.513941,43.748253,18.61444,4,1080451,815,2,94
MC_s5_bola_Valkaama,29,290.0,1789984000.168,1789984010.168,0.002281,0.011699,0.0,0.067612,31.196895,453.712928,0.0,0,19.090121,45.447798,16.921397,5,2874,12,2,94
