run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
MC_s5_dynamic_TearsOfSteel,0,0.0,1789981390.153,1789981400.153,1.110114,0.357594,0.039494,1.896031,36.816528,62.43388,0.284293,4,91.365605,131.466237,55.187436,97,1403252,1407,5,98
MC_s5_dynamic_TearsOfSteel,1,10.0,1789981400.153,1789981410.153,1.206158,1.253373,0.0,12.810029,33.631333,121.479016,1.167582,17,75.307694,121.746744,22.542962,88,1521007,1456,4,98
MC_s5_dynamic_TearsOfSteel,2,20.0,1789981410.153,1789981420.153,0.387724,0.512233,0.0,1.430973,31.995288,158.066441,5.434783,25,99.721367,153.572428,41.18464,42,488718,460,2,98
MC_s5_dynamic_TearsOfSteel,3,30.0,1789981420.153,1789981430.153,0.59316,0.355839,0.0,1.429105,117.297549,582.046076,5.430464,41,114.545905,154.408123,29.007676,91,755300,755,4,99
MC_s5_dynamic_TearsOfSteel,4,40.0,1789981430.153,1789981440.153,0.4358,0.833772,0.0,7.772284,72.517421,486.314994,9.29368,50,148.736672,211.15053,45.473359,64,549353,538,4,98
MC_s5_dynamic_TearsOfSteel,5,50.0,1789981440.153,1789981450.153,0.325697,0.161068,0.0,0.716812,76.243924,239.130223,15.605749,76,94.524021,179.437468,43.26684,90,408062,487,4,97
MC_s5_dynamic_TearsOfSteel,6,60.0,1789981450.153,1789981460.153,0.28571,0.143998,0.0,0.72699,137.163117,614.728785,13.301663,56,129.765363,228.460349,58.025162,95,361477,421,4,98
MC_s5_dynamic_TearsOfSteel,7,70.0,1789981460.153,1789981470.153,0.247549,0.169965,0.0,0.725087,72.38026,145.796682,16.290727,65,178.773162,266.747847,61.974692,88,314698,399,6,98
MC_s5_dynamic_TearsOfSteel,8,80.0,1789981470.153,1789981481.405,0.349255,0.16576,0.0,0.725087,80.504501,111.708813,12.733447,75,180.229576,254.347126,54.786588,107,491354,589,4,108
MC_s5_dynamic_TearsOfSteel,9,90.0,1789981481.405,1789981492.174,0.566872,2.11373,0.0,22.029098,107.314655,436.729971,9.706258,76,177.818736,362.366032,106.30589,99,775825,783,4,105
MC_s5_dynamic_TearsOfSteel,10,100.0,1789981492.174,1789981502.174,0.250682,0.155255,0.0,0.46999,160.04139,343.402685,0.0,0,380.277036,620.837183,122.350231,78,317258,318,4,97
MC_s5_dynamic_TearsOfSteel,11,110.0,1789981502.174,1789981515.382,0.17775,0.168191,0.0,0.584361,164.574826,494.872873,0.334448,1,410.547696,647.512312,176.024331,79,295006,299,4,127
MC_s5_dynamic_TearsOfSteel,12,120.0,1789981515.382,1789981530.846,0.328574,2.440726,0.0,29.966762,143.482218,338.338101,1.401051,8,396.342006,876.890428,233.880654,84,641032,571,4,149
MC_s5_dynamic_TearsOfSteel,13,130.0,1789981530.846,1789981550.741,0.078052,0.091085,0.0,0.26738,230.178012,503.088929,1.6,4,545.904875,1056.17733,319.686127,100,194615,250,4,190
MC_s5_dynamic_TearsOfSteel,14,140.0,1789981550.741,1789981563.914,0.425378,1.979809,0.0,20.688792,139.516705,360.665727,1.26183,8,322.599253,636.122788,215.337692,85,704528,634,4,126
MC_s5_dynamic_TearsOfSteel,15,150.0,1789981563.914,1789981573.914,0.292956,0.213698,0.0,0.807155,132.584824,391.789814,0.58651,2,260.663118,305.235409,77.270821,72,370155,341,4,96
MC_s5_dynamic_TearsOfSteel,16,160.0,1789981573.914,1789981584.713,0.514588,1.587306,0.0,16.389506,108.575158,354.038507,1.589825,10,221.622339,306.242064,100.551656,82,704896,629,4,104
MC_s5_dynamic_TearsOfSteel,17,170.0,1789981584.713,1789981594.713,0.806729,0.302693,0.0,1.268159,45.944523,78.323454,0.0,0,136.834865,173.073841,35.874614,90,1010258,871,4,95
