run_id,window_index,t_start,mean_o22,stall_s,label
MC_s6_dynamic_TearsOfSteel,0,0.0,3.14,4.618,Critical
MC_s6_dynamic_TearsOfSteel,1,10.0,2.4969,6.188,Critical
MC_s6_dynamic_TearsOfSteel,2,20.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,3,30.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,4,40.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,5,50.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,6,60.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,7,70.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,8,80.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,9,90.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,10,100.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,11,110.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,12,120.0,2.4969,6.004,Critical
MC_s6_dynamic_TearsOfSteel,13,130.0,2.4969,8.541,Critical
MC_s6_dynamic_TearsOfSteel,14,140.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,15,150.0,2.4969,14.876,Critical
MC_s6_dynamic_TearsOfSteel,16,160.0,2.4969,35.838,Critical
MC_s6_dynamic_TearsOfSteel,17,170.0,2.4969,10.453,Critical
MC_s6_dynamic_TearsOfSteel,18,180.0,2.4969,0,Degraded
MC_s6_dynamic_TearsOfSteel,19,190.0,2.4969,4.655,Critical
MC_s6_dynamic_TearsOfSteel,20,200.0,2.4969,0,Degraded
