run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
MC_s7_bola_RedBullPlayStreets,0,0.0,1789986408.956,1789986418.956,0.802823,5.326898,0.0,50.673749,1060310,844,4,98,10.867345,74.157959,0.7109,6,132.352112,260.740297,115.760761,15,0.0,0.391434,2.107936,11.743019,0.802823,0.0,844,0.841892,0.953594,1060310,0.836735
MC_s7_bola_RedBullPlayStreets,1,10.0,1789986418.956,1789986428.956,0.261707,1.64907,0.0,11.759922,329772,250,2,98,1.507225,0.0,0.0,0,0.605176,0.783588,0.248418,3,0.0,0.377689,2.033916,11.330661,-0.541116,0.325983,-594,0.551614,0.474439,1390082,0.969388
MC_s7_bola_RedBullPlayStreets,2,20.0,1789986428.956,1789986438.956,0.37879,2.133686,0.0,13.121088,477026,361,2,98,1.29271,0.0,0.0,0,0.761371,0.887339,0.091487,3,0.0,0.43737,2.355307,13.121088,0.117083,1.447382,111,0.49365,0.767325,1867108,0.969388
MC_s7_bola_RedBullPlayStreets,3,30.0,1789986438.956,1789986448.956,0.245372,1.700318,0.0,12.257165,309746,234,2,98,0.923509,0.0,0.0,0,0.775973,0.788436,0.012462,2,0.0,0.408572,2.200228,12.257165,-0.133418,0.647778,-127,0.431337,0.568864,2176854,0.979592
MC_s7_bola_RedBullPlayStreets,4,40.0,1789986448.956,1789986458.956,0.125729,0.263561,0.0,1.136077,158158,176,4,97,81.168483,499.679667,13.068182,23,261.186621,393.310917,129.451419,29,0.0,0.041781,0.175477,0.941794,-0.119643,0.512402,-58,0.370312,0.339522,2335012,0.701031
MC_s7_bola_RedBullPlayStreets,5,50.0,1789986458.956,1789986468.956,0.242147,0.392944,0.0,1.521463,305212,317,2,97,52.951704,200.695345,6.624606,21,265.689517,374.1559,96.541382,41,0.350829,0.32169,0.465883,1.521463,0.116418,1.925944,141,0.348868,0.694093,2640224,0.608247
MC_s7_bola_RedBullPlayStreets,6,60.0,1789986468.956,1789986478.956,0.254574,0.305169,0.0,1.082887,321728,337,2,97,46.987204,112.442628,4.154303,14,245.716639,349.753429,99.863841,51,0.004004,0.237024,0.307684,0.824485,0.012427,1.05132,20,0.335397,0.759023,2961952,0.494845
MC_s7_bola_RedBullPlayStreets,7,70.0,1789986478.956,1789986489.318,0.26823,0.355511,0.0,1.381985,351934,382,4,100,59.893031,130.480466,7.068063,27,251.096169,372.270826,142.546375,60,0.465954,0.366643,0.406825,1.381985,0.013656,1.053643,45,0.326691,0.821051,3313886,0.47
MC_s7_bola_RedBullPlayStreets,8,80.0,1789986489.318,1789986499.318,0.299358,0.37871,0.0,1.164885,378722,387,2,96,41.218824,92.282445,2.325581,9,282.364622,384.915409,102.580993,51,0.926171,0.275966,0.358189,1.146819,0.031128,1.11605,5,0.323694,0.924818,3692608,0.458333
MC_s7_bola_RedBullPlayStreets,9,90.0,1789986499.318,1789986509.318,0.664675,0.512227,0.0,2.133435,839749,979,2,96,25.640603,93.714445,18.692543,183,77.811136,247.047132,80.303515,72,0.706008,0.993669,0.338037,1.536305,0.365317,2.220335,592,0.357661,1.858394,4532357,0.239583
MC_s7_bola_RedBullPlayStreets,10,100.0,1789986509.318,1789986519.318,1.25782,0.598787,0.0,2.996835,1588763,1900,2,96,14.53708,23.626787,21.052632,400,49.649909,59.990263,10.043896,94,0.935901,0.819079,0.238992,1.170902,0.593145,1.892383,921,0.43922,2.863758,6121120,0.020833
