run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
MC_s7_dynamic_Valkaama,0,0.0,1789979465.909,1789979475.909,0.198376,1.208582,0.0,11.229183,12.282988,97.083935,9.821429,22,204.279697,360.492963,147.851708,12,249780,224,3,98
MC_s7_dynamic_Valkaama,1,10.0,1789979475.909,1789979485.909,0.095166,0.659355,0.0,4.701946,3.170905,0.0,0.0,0,0.698886,1.079925,0.381039,2,119843,92,2,98
MC_s7_dynamic_Valkaama,2,20.0,1789979485.909,1789979495.909,0.121963,0.737361,0.0,5.46814,7.717238,0.0,0.0,0,0.524415,0.934483,0.293052,3,154139,120,2,98
MC_s7_dynamic_Valkaama,3,30.0,1789979495.909,1789979505.909,0.122567,0.844737,0.0,5.954806,3.055781,0.0,0.0,0,0.237306,0.267723,0.030417,2,153294,119,2,97
MC_s7_dynamic_Valkaama,4,40.0,1789979505.909,1789979515.909,0.073949,0.233735,0.0,1.167459,154.012424,1038.809566,9.90099,10,3685.021938,45248.205158,11554.566998,14,93828,101,2,98
MC_s7_dynamic_Valkaama,5,50.0,1789979515.909,1789979525.909,0.307593,0.41645,0.0,1.513662,74.477079,265.307576,5.722071,21,272.845133,370.635659,61.819325,50,388073,367,4,97
MC_s7_dynamic_Valkaama,6,60.0,1789979525.909,1789979535.909,0.373169,0.560779,0.0,1.96975,34.635847,110.506028,2.518892,10,224.121438,345.001419,92.104447,35,471492,397,4,97
MC_s7_dynamic_Valkaama,7,70.0,1789979535.909,1789979545.909,0.263723,0.428523,0.0,1.855019,33.611732,170.592411,8.791209,32,316.330968,394.70382,90.274114,37,331678,364,2,96
MC_s7_dynamic_Valkaama,8,80.0,1789979545.909,1789979555.909,0.17935,0.266721,0.0,0.956952,55.361493,178.113628,4.897959,12,286.643021,377.892843,100.528126,42,226131,245,2,96
MC_s7_dynamic_Valkaama,9,90.0,1789979555.909,1789979565.909,0.898565,1.739272,0.0,14.48623,27.901926,80.33715,12.892282,152,71.971147,284.368719,75.353293,95,1134900,1179,2,96
MC_s7_dynamic_Valkaama,10,100.0,1789979565.909,1789979575.909,0.563232,0.179842,0.123241,1.022559,23.383052,27.148846,17.094017,140,46.230039,58.300873,6.608429,96,711088,819,2,96
MC_s7_dynamic_Valkaama,11,110.0,1789979575.909,1789979585.909,0.649299,0.284498,0.0,1.535695,25.40095,41.327236,15.857605,147,52.894193,68.096901,32.301547,94,819941,927,4,96
MC_s7_dynamic_Valkaama,12,120.0,1789979585.909,1789979595.909,0.51531,0.756278,0.0,2.078934,187.581404,1234.618307,0.829187,5,82.475281,178.244818,127.751766,42,651931,603,3,96
MC_s7_dynamic_Valkaama,13,130.0,1789979595.909,1789979605.909,0.233803,0.34785,0.0,0.926603,59.607382,392.881944,0.0,0,91.194658,105.112863,13.193566,32,296422,294,2,96
MC_s7_dynamic_Valkaama,14,140.0,1789979605.909,1789979615.909,0.929066,0.785933,0.0,4.163709,26.339857,39.927539,1.955556,22,78.833601,96.773692,14.83008,81,1170249,1125,2,95
MC_s7_dynamic_Valkaama,15,150.0,1789979615.909,1789979625.909,3.126599,11.866823,0.709015,118.633858,12.718524,17.576006,3.494125,113,75.140985,93.075709,14.367145,96,3968611,3234,2,96
MC_s7_dynamic_Valkaama,16,160.0,1789979625.909,1789979635.909,1.656458,0.35818,1.05418,2.288485,15.224666,16.49755,0.0,0,72.39125,90.021818,6.353695,95,2084296,1661,2,95
MC_s7_dynamic_Valkaama,17,170.0,1789979635.909,1789979645.909,1.565118,0.388383,0.844773,2.290654,16.451498,20.301855,0.0,0,75.34614,90.08721,8.838234,95,1969703,1574,2,95
MC_s7_dynamic_Valkaama,18,180.0,1789979645.909,1789979655.909,1.88536,5.335417,0.0,41.812196,25.27624,46.071788,0.513611,10,81.102373,90.151309,24.374885,89,2387036,1947,2,95
MC_s7_dynamic_Valkaama,19,190.0,1789979655.909,1789979665.909,0.926926,1.248094,0.0,3.418374,11.171877,50.585284,0.103413,1,58.92388,90.263116,22.765163,36,1178169,967,2,96
MC_s7_dynamic_Valkaama,20,200.0,1789979665.909,1789979675.909,0.786894,1.037221,0.0,2.954657,18.269353,122.575968,0.0,0,71.497414,99.198604,17.136658,37,996627,781,2,95
MC_s7_dynamic_Valkaama,21,210.0,1789979675.909,1789979685.909,0.763908,2.30901,0.0,21.486723,26.658404,204.8293,7.109005,60,94.996571,139.010757,35.300861,37,957006,844,3,94
MC_s7_dynamic_Valkaama,22,220.0,1789979685.909,1789979695.909,0.810453,0.532721,0.0,1.652982,17.811913,24.613758,13.66782,158,122.107159,136.843336,15.826222,71,1027185,1156,2,95
MC_s7_dynamic_Valkaama,23,230.0,1789979695.909,1789979705.909,1.26738,0.285343,0.451025,2.339062,16.216493,22.89505,13.006757,231,121.458005,137.867332,19.371355,95,1604664,1776,2,95
MC_s7_dynamic_Valkaama,24,240.0,1789979705.909,1789979715.909,1.016685,0.431619,0.199139,1.983158,22.006497,49.262181,14.066852,202,115.521087,137.30226,19.858594,94,1278634,1436,2,94
MC_s7_dynamic_Valkaama,25,250.0,1789979715.909,1789979725.909,0.563656,0.598065,0.0,2.196131,24.265448,106.56276,12.594458,100,103.661979,137.67335,24.159245,58,715503,794,2,95
MC_s7_dynamic_Valkaama,26,260.0,1789979725.909,1789979735.909,0.384107,1.012746,0.0,4.378441,11.363915,71.244151,4.592902,22,22.931407,34.572944,4.606485,14,481473,479,2,94
MC_s7_dynamic_Valkaama,27,270.0,1789979735.909,1789979745.909,0.967602,0.857387,0.0,2.892319,27.338066,155.527405,2.77118,35,45.628739,69.526762,14.697832,62,1226506,1263,2,95
MC_s7_dynamic_Valkaama,28,280.0,1789979745.909,1789979755.909,1.497854,0.598659,0.457228,2.892319,16.090486,27.79895,2.615385,51,47.730367,74.086787,14.264938,94,1881829,1950,2,94
MC_s7_dynamic_Valkaama,29,290.0,1789979755.909,1789979765.909,1.394644,1.349294,0.0,4.297057,15.035477,70.128261,3.954155,69,27.056617,47.755832,15.454866,63,1775869,1745,2,95
