run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
MC_s8_bola_TearsOfSteel,1789973626.278,0.1001,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973626.38,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973626.482,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973626.583,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973626.684,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973626.786,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973626.887,0.1017,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973626.989,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.091,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.192,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.293,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.395,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.496,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.598,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.699,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.801,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973627.902,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.004,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.105,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.207,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.308,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.409,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.511,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.612,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.714,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.815,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973628.917,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.018,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.12,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.221,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.322,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.424,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.526,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.627,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.728,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.831,0.103,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973629.933,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.034,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.136,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.237,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.339,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.441,0.1028,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.543,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.644,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.746,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.847,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973630.95,0.1027,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.052,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.153,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.254,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.356,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.457,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.559,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.66,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.761,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.863,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973631.965,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.066,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.167,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.269,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.37,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.472,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.573,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.675,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.776,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.878,0.1016,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973632.979,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.08,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.182,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.283,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.385,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.486,0.1015,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.588,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.689,0.1013,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.79,0.1014,0,0,0,0,0,0
MC_s8_bola_TearsOfSteel,1789973633.892,0.1016,0,0,0,0,0,0
