run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
MC_s9_dynamic_BigBuckBunny,0,0.0,1789984870.357,1789984880.893,0.348251,0.158051,0.0,0.48031,63.246225,76.977946,0.0,0,187.110949,250.868689,46.370582,94,462460,459,2,103
MC_s9_dynamic_BigBuckBunny,1,10.0,1789984880.893,1789984890.893,0.564787,2.274357,0.0,16.735575,20.225145,128.451523,0.680272,4,80.141705,138.656704,43.864228,23,719276,588,2,98
MC_s9_dynamic_BigBuckBunny,2,20.0,1789984890.893,1789984900.893,0.312334,0.563087,0.0,1.904947,29.529112,186.030152,0.0,0,96.200321,139.147,44.362532,25,395297,312,2,98
MC_s9_dynamic_BigBuckBunny,3,30.0,1789984900.893,1789984910.893,0.814524,0.579426,0.0,2.15876,22.59648,75.454271,0.0,0,106.068832,148.385764,24.329315,69,1031302,821,2,98
MC_s9_dynamic_BigBuckBunny,4,40.0,1789984910.893,1789984920.893,0.829019,0.321586,0.13938,1.350602,29.284821,46.819477,0.0,0,128.354852,148.508439,26.21652,97,1039511,848,2,97
MC_s9_dynamic_BigBuckBunny,5,50.0,1789984920.893,1789984930.893,0.58757,0.22851,0.0,0.981563,38.737693,44.301888,0.0,0,129.569926,147.789317,18.597701,97,746456,650,2,98
MC_s9_dynamic_BigBuckBunny,6,60.0,1789984930.893,1789984940.893,0.935506,2.81781,0.0,24.37172,17.773615,42.55372,3.802281,40,88.317743,118.127049,32.118494,53,1177112,1052,2,97
MC_s9_dynamic_BigBuckBunny,7,70.0,1789984940.893,1789984950.893,0.190244,0.718939,0.0,3.865511,5.391999,49.554417,0.487805,1,51.197813,72.518759,19.056563,7,239313,205,2,97
MC_s9_dynamic_BigBuckBunny,8,80.0,1789984950.893,1789984960.893,0.180336,0.499729,0.0,2.909007,52.60266,356.076983,0.0,0,69.50923,87.948478,16.390068,19,227184,194,2,97
MC_s9_dynamic_BigBuckBunny,9,90.0,1789984960.893,1789984970.893,0.333522,0.638886,0.0,5.294231,71.043881,258.139288,1.052632,4,104.020302,127.782865,43.520752,47,420651,380,2,97
MC_s9_dynamic_BigBuckBunny,10,100.0,1789984970.893,1789984980.893,0.604528,0.263643,0.0,1.165364,42.747001,84.075579,0.0,0,109.602789,127.534125,13.260631,87,764936,679,2,97
MC_s9_dynamic_BigBuckBunny,11,110.0,1789984980.893,1789984991.514,0.702148,0.260217,0.041499,1.393956,38.371868,55.202544,0.0,0,112.471275,127.784245,19.78251,103,942588,826,2,103
MC_s9_dynamic_BigBuckBunny,12,120.0,1789984991.514,1789985001.678,0.745346,0.276575,0.091571,1.392598,38.561843,50.459875,0.0,0,109.717095,123.896666,16.985987,98,955189,834,2,98
MC_s9_dynamic_BigBuckBunny,13,130.0,1789985001.678,1789985011.678,0.895669,0.293181,0.0,1.278772,23.751039,29.464868,0.0,0,108.718495,127.953448,17.306989,92,1136898,970,2,97
MC_s9_dynamic_BigBuckBunny,14,140.0,1789985011.678,1789985021.678,0.102408,0.239728,0.0,0.959693,48.072312,314.714503,14.893617,21,96.427509,202.139756,29.654168,19,129312,141,2,96
MC_s9_dynamic_BigBuckBunny,15,150.0,1789985021.678,1789985031.678,0.375088,0.159031,0.07071,0.839616,65.078401,160.612831,15.76087,87,96.023693,105.470489,6.851146,97,474493,552,2,97
MC_s9_dynamic_BigBuckBunny,16,160.0,1789985031.678,1789985041.678,0.45684,0.168531,0.089876,0.931925,46.195773,59.644385,13.40694,85,95.688134,103.530104,5.962294,97,578992,634,2,97
MC_s9_dynamic_BigBuckBunny,17,170.0,1789985041.678,1789985051.678,0.347644,1.010059,0.0,5.209281,13.543234,49.855625,3.274559,13,68.296938,102.120353,35.163486,26,435900,397,2,96
MC_s9_dynamic_BigBuckBunny,18,180.0,1789985051.678,1789985061.678,2.256524,2.419647,0.0,6.025239,6.751312,59.370186,0.508806,13,43.696213,62.240894,11.103384,47,2861858,2555,2,97
MC_s9_dynamic_BigBuckBunny,19,190.0,1789985061.678,1789985071.678,4.125292,1.35204,0.920456,6.025239,4.897877,15.24097,0.415628,20,52.055742,70.185807,11.258574,97,5237364,4812,2,97
