run_id,window_index,t_start,mean_o22,stall_s,label
S2D_BigBuckBunny_rep1,0,0.0,2.6841,18.201,Critical
S2D_BigBuckBunny_rep1,1,10.0,1.5841,0,Critical
S2D_BigBuckBunny_rep1,2,20.0,1.5483,0,Critical
S2D_BigBuckBunny_rep1,3,30.0,1.4457,0,Critical
S2D_BigBuckBunny_rep1,4,40.0,1.4457,0,Critical
S2D_BigBuckBunny_rep1,5,50.0,1.9657,0,Critical
S2D_BigBuckBunny_rep1,6,60.0,1.9636,0,Critical
S2D_BigBuckBunny_rep1,7,70.0,1.6343,0,Critical
S2D_BigBuckBunny_rep1,8,80.0,1.5923,0,Critical
S2D_BigBuckBunny_rep1,9,90.0,1.5923,0,Critical
S2D_BigBuckBunny_rep1,10,100.0,2.0537,0,Degraded
S2D_BigBuckBunny_rep1,11,110.0,1.6512,0,Critical
S2D_BigBuckBunny_rep1,12,120.0,1.5483,0,Critical
S2D_BigBuckBunny_rep1,13,130.0,1.5923,0,Critical
S2D_BigBuckBunny_rep1,14,140.0,1.6175,0,Critical
S2D_BigBuckBunny_rep1,15,150.0,2.0705,0,Degraded
S2D_BigBuckBunny_rep1,16,160.0,1.6175,0,Critical
S2D_BigBuckBunny_rep1,17,170.0,1.4603,0,Critical
S2D_BigBuckBunny_rep1,18,180.0,1.4457,0,Critical
S2D_BigBuckBunny_rep1,19,190.0,1.4457,0,Critical
S2D_BigBuckBunny_rep1,20,200.0,2.1397,0.276,Degraded
S2D_BigBuckBunny_rep1,21,210.0,1.6007,0,Critical
S2D_BigBuckBunny_rep1,22,220.0,1.6175,0,Critical
S2D_BigBuckBunny_rep1,23,230.0,1.5923,0,Critical
S2D_BigBuckBunny_rep1,24,240.0,1.5923,0,Critical
S2D_BigBuckBunny_rep1,25,250.0,2.2697,0,Degraded
S2D_BigBuckBunny_rep1,26,260.0,1.5296,0,Critical
S2D_BigBuckBunny_rep1,27,270.0,1.5776,0,Critical
S2D_BigBuckBunny_rep1,28,280.0,1.5923,0,Critical
