run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,active_flows
S2D_ElephantsDream_rep1,1787072775.085,1.0001,0,0,0,0,0
S2D_ElephantsDream_rep1,1787072776.093,1.0081,0,0,0,0,0
S2D_ElephantsDream_rep1,1787072777.099,1.0057,0,0,0,0,0
S2D_ElephantsDream_rep1,1787072778.105,1.0057,10220,12,0,142998.0,2
S2D_ElephantsDream_rep1,1787072779.111,1.0059,26832,18,1,68509251.0,1
S2D_ElephantsDream_rep1,1787072780.12,1.0089,19500,13,1,104081139.0,1
S2D_ElephantsDream_rep1,1787072781.128,1.0088,16500,11,0,128671174.0,1
S2D_ElephantsDream_rep1,1787072782.137,1.0088,22540,16,0,149134073.9,2
S2D_ElephantsDream_rep1,1787072783.146,1.0083,15092,12,0,204406473.3,2
S2D_ElephantsDream_rep1,1787072784.154,1.0084,22540,16,0,169586266.0,2
S2D_ElephantsDream_rep1,1787072785.163,1.0091,18000,12,0,154197333.0,1
S2D_ElephantsDream_rep1,1787072786.172,1.0086,18000,12,0,154523467.0,1
S2D_ElephantsDream_rep1,1787072787.18,1.0084,21000,14,0,155502038.0,1
S2D_ElephantsDream_rep1,1787072788.188,1.0085,13500,9,0,155493980.0,1
S2D_ElephantsDream_rep1,1787072789.199,1.0102,24000,16,0,152676529.0,1
S2D_ElephantsDream_rep1,1787072790.209,1.01,16500,11,0,154828140.0,1
S2D_ElephantsDream_rep1,1787072791.219,1.01,19500,13,0,156456959.0,1
S2D_ElephantsDream_rep1,1787072792.236,1.0172,19500,13,0,154902485.0,1
S2D_ElephantsDream_rep1,1787072793.245,1.0089,16500,11,0,155533000.0,1
S2D_ElephantsDream_rep1,1787072794.254,1.0089,19500,13,0,151088758.0,1
S2D_ElephantsDream_rep1,1787072795.262,1.0086,18000,12,0,153462043.0,1
S2D_ElephantsDream_rep1,1787072796.271,1.0084,20280,14,0,144806935.0,1
S2D_ElephantsDream_rep1,1787072797.28,1.009,18052,13,0,142730304.0,1
S2D_ElephantsDream_rep1,1787072798.288,1.0084,21000,14,0,148953154.0,1
S2D_ElephantsDream_rep1,1787072799.297,1.0084,18000,12,0,152547209.0,1
S2D_ElephantsDream_rep1,1787072800.305,1.0085,13821,11,0,131736401.0,1
S2D_ElephantsDream_rep1,1787072801.314,1.0084,21000,14,0,138831537.0,1
S2D_ElephantsDream_rep1,1787072802.322,1.0084,19615,15,0,134915159.0,1
S2D_ElephantsDream_rep1,1787072803.33,1.0085,16500,11,0,143837924.0,1
S2D_ElephantsDream_rep1,1787072804.339,1.0089,19500,13,0,146564800.0,1
S2D_ElephantsDream_rep1,1787072805.348,1.0085,22500,15,0,146249443.0,1
S2D_ElephantsDream_rep1,1787072806.356,1.0084,16198,12,0,132619503.0,1
S2D_ElephantsDream_rep1,1787072807.365,1.0084,19502,15,0,123699641.0,1
S2D_ElephantsDream_rep1,1787072808.373,1.0085,15052,11,0,128447070.0,1
S2D_ElephantsDream_rep1,1787072809.382,1.0085,22500,15,0,139364747.0,1
S2D_ElephantsDream_rep1,1787072810.39,1.0085,13342,10,0,136539876.0,1
S2D_ElephantsDream_rep1,1787072811.399,1.0085,22500,15,0,142439373.0,1
S2D_ElephantsDream_rep1,1787072812.408,1.0089,19822,14,0,138253653.0,1
S2D_ElephantsDream_rep1,1787072813.416,1.009,15052,11,0,132724246.0,1
S2D_ElephantsDream_rep1,1787072814.425,1.009,22500,15,0,140905796.0,1
S2D_ElephantsDream_rep1,1787072815.435,1.0091,16500,11,0,146784875.0,1
S2D_ElephantsDream_rep1,1787072816.444,1.009,18229,14,0,129402764.0,1
S2D_ElephantsDream_rep1,1787072817.453,1.009,19998,14,0,134826531.0,1
S2D_ElephantsDream_rep1,1787072818.461,1.0089,22500,15,0,147772493.0,1
S2D_ElephantsDream_rep1,1787072819.471,1.0092,14726,11,0,136417865.0,1
S2D_ElephantsDream_rep1,1787072820.48,1.009,22500,15,0,142278019.0,1
S2D_ElephantsDream_rep1,1787072821.489,1.009,15000,10,0,144072379.0,1
S2D_ElephantsDream_rep1,1787072822.498,1.0089,19066,13,0,144592124.0,1
S2D_ElephantsDream_rep1,1787072823.506,1.0088,15052,11,0,138719949.0,1
S2D_ElephantsDream_rep1,1787072824.515,1.009,22500,15,0,143269188.0,1
S2D_ElephantsDream_rep1,1787072825.524,1.0091,20481,15,0,139494026.0,1
S2D_ElephantsDream_rep1,1787072826.533,1.009,15000,10,0,142612477.0,1
S2D_ElephantsDream_rep1,1787072827.542,1.009,23949,16,0,137986579.0,1
S2D_ElephantsDream_rep1,1787072828.551,1.0089,15052,11,0,135470871.0,1
S2D_ElephantsDream_rep1,1787072829.56,1.009,22500,15,0,142036821.0,1
S2D_ElephantsDream_rep1,1787072830.569,1.009,12821,10,0,135604517.0,1
S2D_ElephantsDream_rep1,1787072831.578,1.0089,22500,15,0,142086099.0,1
S2D_ElephantsDream_rep1,1787072832.587,1.0093,20637,14,0,140828493.0,1
S2D_ElephantsDream_rep1,1787072833.598,1.0105,15052,11,0,132565779.0,1
S2D_ElephantsDream_rep1,1787072834.607,1.0091,22500,15,0,140846342.0,1
S2D_ElephantsDream_rep1,1787072835.616,1.0092,13073,9,0,139309311.0,1
S2D_ElephantsDream_rep1,1787072836.625,1.009,15040,11,0,136370788.0,1
S2D_ElephantsDream_rep1,1787072837.634,1.0089,24000,16,0,140632365.0,1
S2D_ElephantsDream_rep1,1787072838.642,1.0084,9998,7,0,141226052.0,1
S2D_ElephantsDream_rep1,1787072839.652,1.0091,0,0,0,0,0
S2D_ElephantsDream_rep1,1787072840.66,1.0089,0,0,0,0,0
S2D_ElephantsDream_rep1,1787072841.669,1.009,30000,20,0,204798562.0,1
S2D_ElephantsDream_rep1,1787072842.678,1.0089,18000,12,0,174995297.0,1
S2D_ElephantsDream_rep1,1787072843.687,1.0084,22500,15,0,164590088.0,1
S2D_ElephantsDream_rep1,1787072844.696,1.0089,16200,12,0,147394965.0,1
S2D_ElephantsDream_rep1,1787072845.707,1.011,18000,12,0,149276572.0,1
S2D_ElephantsDream_rep1,1787072846.717,1.01,19500,13,0,152352329.0,1
S2D_ElephantsDream_rep1,1787072847.725,1.0085,21000,14,0,152569333.0,1
