run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,total_bytes,total_packets,active_flows,n_samples
S5A_TearsOfSteel_rep1,0,0.0,1787089057.354,1787089067.354,0.868529,0.381622,0.383679,1.364864,33.752545,49.078257,4.945718,41,1225999,829,2,11
S5A_TearsOfSteel_rep1,1,10.0,1787089067.354,1787089077.354,0.612275,0.261178,0.0,1.030755,26.454397,43.183425,3.965517,23,865535,580,2,11
S5A_TearsOfSteel_rep1,2,20.0,1787089077.354,1787089087.354,0.763954,0.257414,0.443623,1.20316,43.276013,93.326615,3.862069,28,1080654,725,2,11
S5A_TearsOfSteel_rep1,3,30.0,1787089087.354,1787089097.354,0.56014,0.240286,0.233895,1.110895,57.682261,139.765116,6.016598,29,719116,482,2,10
S5A_TearsOfSteel_rep1,4,40.0,1787089097.354,1787089107.354,0.452547,0.308653,0.0,0.949906,33.915363,77.250557,5.348837,23,639600,430,2,11
S5A_TearsOfSteel_rep1,5,50.0,1787089107.354,1787089117.354,0.536548,0.276731,0.128118,0.907662,52.653105,154.890111,4.724409,24,758148,508,2,11
S5A_TearsOfSteel_rep1,6,60.0,1787089117.354,1787089127.354,0.67149,0.601113,0.0,2.41974,27.851681,76.67494,4.231975,27,949958,638,3,11
S5A_TearsOfSteel_rep1,7,70.0,1787089127.354,1787089137.354,0.400135,0.387256,0.0,1.132075,21.322029,59.678016,5.217391,18,514367,345,2,10
S5A_TearsOfSteel_rep1,8,80.0,1787089137.354,1787089147.354,1.403071,0.64505,0.548896,3.211965,21.540428,53.755818,4.576144,61,1983761,1333,2,11
S5A_TearsOfSteel_rep1,9,90.0,1787089147.354,1787089157.354,0.788189,0.279753,0.431026,1.260234,40.721243,66.15351,5.354752,40,1114413,747,2,11
S5A_TearsOfSteel_rep1,10,100.0,1787089157.354,1787089167.354,0.821988,0.530914,0.0,1.454917,21.224498,57.831276,4.090268,29,1056069,709,2,10
S5A_TearsOfSteel_rep1,11,110.0,1787089167.354,1787089177.354,0.910346,0.348168,0.338258,1.57741,29.731585,53.878752,3.953488,34,1287459,860,2,11
S5A_TearsOfSteel_rep1,12,120.0,1787089177.354,1787089187.354,0.785888,0.367873,0.315114,1.57741,35.904275,51.443947,5.38358,40,1110439,743,2,11
S5A_TearsOfSteel_rep1,13,130.0,1787089187.354,1787089197.354,1.076187,0.42703,0.648018,1.934647,33.711112,55.310972,3.729146,38,1522477,1019,2,11
S5A_TearsOfSteel_rep1,14,140.0,1787089197.354,1787089207.354,0.820521,0.334474,0.303797,1.294712,42.46291,76.900608,5.397727,38,1054444,704,2,10
S5A_TearsOfSteel_rep1,15,150.0,1787089207.354,1787089217.354,0.990896,0.391508,0.383399,1.468727,29.404306,51.544812,2.454642,23,1401900,937,2,11
S5A_TearsOfSteel_rep1,16,160.0,1787089217.354,1787089227.354,0.661006,0.31027,0.0,1.225323,23.079467,40.807936,3.84,24,934327,625,1,11
S5A_TearsOfSteel_rep1,17,170.0,1787089227.354,1787089237.354,0.894824,0.375245,0.533488,1.748767,27.434043,39.150986,3.431953,29,1264892,845,2,11
S5A_TearsOfSteel_rep1,18,180.0,1787089237.354,1787089247.354,1.16994,0.39775,0.546247,1.81578,27.045238,37.98583,3.677932,37,1504653,1006,2,10
S5A_TearsOfSteel_rep1,19,190.0,1787089247.354,1787089257.354,0.76746,0.396857,0.326944,1.633606,36.278362,65.413555,4.689655,34,1084573,725,2,11
S5A_TearsOfSteel_rep1,20,200.0,1787089257.354,1787089267.354,0.917563,0.366078,0.478413,1.723663,34.535026,65.782826,4.152249,36,1298036,867,2,11
S5A_TearsOfSteel_rep1,21,210.0,1787089267.354,1787089277.354,0.953382,0.523239,0.280565,2.102214,36.112224,68.355131,4.151404,34,1224335,819,2,10
S5A_TearsOfSteel_rep1,22,220.0,1787089277.354,1787089287.354,0.745922,0.342223,0.164488,1.337823,30.495109,52.816885,4.526167,32,1055013,707,2,11
S5A_TearsOfSteel_rep1,23,230.0,1787089287.354,1787089297.354,0.537313,0.214184,0.115322,0.805369,43.926693,90.491696,6.102362,31,759419,508,2,11
S5A_TearsOfSteel_rep1,24,240.0,1787089297.354,1787089307.354,0.7618,0.276485,0.32349,1.209865,41.827479,129.90506,4.166667,30,1076894,720,2,11
S5A_TearsOfSteel_rep1,25,250.0,1787089307.354,1787089317.354,0.748361,0.234064,0.391988,1.257642,43.492639,70.746646,5.287714,34,961855,643,2,10
S5A_TearsOfSteel_rep1,26,260.0,1787089317.354,1787089327.354,0.648945,0.295938,0.324813,1.463503,48.645824,149.415711,5.700326,35,918112,614,2,11
S5A_TearsOfSteel_rep1,27,270.0,1787089327.354,1787089337.354,0.743117,0.270547,0.324813,1.154856,51.132778,149.415711,5.681818,40,1051061,704,2,11
S5A_TearsOfSteel_rep1,28,280.0,1787089337.354,1787089347.354,0.557346,0.319475,0.186952,1.283048,48.536153,73.69755,6.471816,31,716322,479,2,10
S5A_TearsOfSteel_rep1,29,290.0,1787089347.354,1787089357.354,0.057963,0.117727,0.0,0.338818,130.076084,414.50737,9.375,6,81859,64,2,11
