run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,active_flows
S5C_OfForestAndMen_rep1,1787092806.276,1.0001,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092807.297,1.0203,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092808.317,1.0201,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092809.337,1.0202,4927,6,2,5715725.0,1
S5C_OfForestAndMen_rep1,1787092810.358,1.0207,226344,154,96,2373598.0,1
S5C_OfForestAndMen_rep1,1787092811.389,1.0315,424906,285,206,3917867.0,1
S5C_OfForestAndMen_rep1,1787092812.421,1.0315,667624,446,328,3758935.0,1
S5C_OfForestAndMen_rep1,1787092813.452,1.0314,762596,510,355,2684726.7,2
S5C_OfForestAndMen_rep1,1787092814.484,1.0316,834000,556,370,2753858.0,1
S5C_OfForestAndMen_rep1,1787092815.515,1.0316,824359,550,395,2330953.0,1
S5C_OfForestAndMen_rep1,1787092816.547,1.0318,895084,597,414,3810075.0,1
S5C_OfForestAndMen_rep1,1787092817.579,1.0319,1066500,711,499,2544954.0,1
S5C_OfForestAndMen_rep1,1787092818.612,1.0326,1035256,691,510,1636453.0,1
S5C_OfForestAndMen_rep1,1787092819.643,1.0311,1203123,803,592,1068143.0,1
S5C_OfForestAndMen_rep1,1787092820.674,1.0307,1523939,1016,794,2442495.0,1
S5C_OfForestAndMen_rep1,1787092821.706,1.0328,958967,640,532,1401544.0,1
S5C_OfForestAndMen_rep1,1787092822.738,1.0314,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092823.768,1.0298,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092824.797,1.0298,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092825.827,1.0301,1297799,866,652,1334453.0,1
S5C_OfForestAndMen_rep1,1787092826.859,1.0312,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092827.889,1.0306,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092828.921,1.0315,6000,4,2,338719397.0,1
S5C_OfForestAndMen_rep1,1787092829.953,1.0325,1754228,1170,910,2649522.0,1
S5C_OfForestAndMen_rep1,1787092830.986,1.0328,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092832.018,1.0317,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092833.049,1.0316,18000,12,8,212725334.0,1
S5C_OfForestAndMen_rep1,1787092834.08,1.0306,1844387,1230,981,1453369.0,1
S5C_OfForestAndMen_rep1,1787092835.115,1.0348,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092836.146,1.0317,0,0,0,0,0
S5C_OfForestAndMen_rep1,1787092837.178,1.0318,96000,64,44,11347857.0,1
