run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,active_flows
S5C_TearsOfSteel_rep1,1787093432.579,1.0001,0,0,0,0,0
S5C_TearsOfSteel_rep1,1787093433.612,1.033,0,0,0,0,0
S5C_TearsOfSteel_rep1,1787093434.643,1.0307,0,0,0,0,0
S5C_TearsOfSteel_rep1,1787093435.672,1.0295,4582,5,0,6184463.0,1
S5C_TearsOfSteel_rep1,1787093436.704,1.0316,237394,165,102,4893982.4,3
S5C_TearsOfSteel_rep1,1787093437.735,1.0312,494468,331,221,4544791.0,2
S5C_TearsOfSteel_rep1,1787093438.765,1.0299,373160,250,152,6914137.0,2
S5C_TearsOfSteel_rep1,1787093439.795,1.03,444040,297,157,5653103.6,2
S5C_TearsOfSteel_rep1,1787093440.825,1.0302,520500,347,208,4131294.0,1
S5C_TearsOfSteel_rep1,1787093441.857,1.0319,542913,362,252,4231464.0,1
S5C_TearsOfSteel_rep1,1787093442.889,1.0323,693000,462,304,2942661.0,1
S5C_TearsOfSteel_rep1,1787093443.921,1.0319,749202,500,326,3185215.0,1
S5C_TearsOfSteel_rep1,1787093444.954,1.0323,897953,599,411,3502881.7,2
S5C_TearsOfSteel_rep1,1787093445.986,1.0328,1393500,929,645,1368423.0,1
S5C_TearsOfSteel_rep1,1787093447.019,1.0326,1661151,1109,916,4076022.6,2
S5C_TearsOfSteel_rep1,1787093448.051,1.032,182427,122,76,6576472.0,1
S5C_TearsOfSteel_rep1,1787093449.083,1.0323,0,0,0,0,0
S5C_TearsOfSteel_rep1,1787093450.119,1.0357,346500,231,122,5634873.0,1
S5C_TearsOfSteel_rep1,1787093451.151,1.0324,348721,233,134,5239491.0,1
S5C_TearsOfSteel_rep1,1787093452.182,1.0307,98714,66,39,5450025.0,1
S5C_TearsOfSteel_rep1,1787093453.216,1.034,36000,24,14,55437174.0,1
S5C_TearsOfSteel_rep1,1787093454.247,1.0307,522000,348,219,4569177.0,1
S5C_TearsOfSteel_rep1,1787093455.279,1.0321,361167,241,157,5276199.0,1
S5C_TearsOfSteel_rep1,1787093456.309,1.0304,18059,13,8,6290466.0,1
S5C_TearsOfSteel_rep1,1787093457.34,1.0305,229500,153,94,3568636.0,1
S5C_TearsOfSteel_rep1,1787093458.371,1.0308,463995,310,192,3358825.0,1
S5C_TearsOfSteel_rep1,1787093459.401,1.0305,98440,66,46,7803986.0,1
S5C_TearsOfSteel_rep1,1787093460.434,1.0326,0,0,0,0,0
S5C_TearsOfSteel_rep1,1787093461.467,1.0336,97500,65,35,9527988.0,1
S5C_TearsOfSteel_rep1,1787093462.499,1.032,615061,411,269,3518127.0,1
S5C_TearsOfSteel_rep1,1787093463.531,1.0316,98682,66,50,5662789.0,1
S5C_TearsOfSteel_rep1,1787093464.564,1.0332,0,0,0,0,0
S5C_TearsOfSteel_rep1,1787093465.598,1.0338,516000,344,232,2036047.0,1
S5C_TearsOfSteel_rep1,1787093466.63,1.032,925093,617,463,12854569.0,1
S5C_TearsOfSteel_rep1,1787093467.66,1.0302,65714,44,42,7685266.0,1
S5C_TearsOfSteel_rep1,1787093468.691,1.0304,0,0,0,0,0
