run_id,window_index,t_start,mean_o22,stall_s,label
S2C_OfForestAndMen_rep1,0,0.0,3.3414,5.716,Critical
S2C_OfForestAndMen_rep1,1,10.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,2,20.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,3,30.0,2.9206,0,Degraded
S2C_OfForestAndMen_rep1,4,40.0,2.8394,0,Degraded
S2C_OfForestAndMen_rep1,5,50.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,6,60.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,7,70.0,2.8965,0,Degraded
S2C_OfForestAndMen_rep1,8,80.0,2.3668,0,Degraded
S2C_OfForestAndMen_rep1,9,90.0,2.8127,0,Degraded
S2C_OfForestAndMen_rep1,10,100.0,2.8357,0,Degraded
S2C_OfForestAndMen_rep1,11,110.0,2.4255,0,Degraded
S2C_OfForestAndMen_rep1,12,120.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,13,130.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,14,140.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,15,150.0,2.9035,0,Degraded
S2C_OfForestAndMen_rep1,16,160.0,2.3769,0,Degraded
S2C_OfForestAndMen_rep1,17,170.0,2.8127,0,Degraded
S2C_OfForestAndMen_rep1,18,180.0,2.8127,0,Degraded
S2C_OfForestAndMen_rep1,19,190.0,2.899,0,Degraded
S2C_OfForestAndMen_rep1,20,200.0,2.827,0,Degraded
S2C_OfForestAndMen_rep1,21,210.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,22,220.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,23,230.0,2.8924,0,Degraded
S2C_OfForestAndMen_rep1,24,240.0,2.8381,0,Degraded
S2C_OfForestAndMen_rep1,25,250.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,26,260.0,2.8572,0,Degraded
S2C_OfForestAndMen_rep1,27,270.0,2.8643,0,Degraded
S2C_OfForestAndMen_rep1,28,280.0,2.8763,0,Degraded
S2C_OfForestAndMen_rep1,29,290.0,2.8321,0,Degraded
