run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
S2D_TearsOfSteel_rep1,0,0.0,1787115725.664,1787115743.455,0.152635,0.009801,0.136758,0.170089,290.65876,751.941019,0.280899,1,635.939603,941.91261,193.737209,18,351357,356,6,18
S2D_TearsOfSteel_rep1,1,10.0,1787115743.455,1787115782.662,0.150602,0.013896,0.121512,0.181379,317.700135,815.134835,0.147275,1,636.59615,888.204402,118.87215,39,751567,679,4,39
S2D_TearsOfSteel_rep1,2,20.0,1787115782.662,1787115801.044,0.151492,0.009761,0.141902,0.177639,326.320874,612.801529,0.573066,2,615.005689,951.084503,189.351098,19,368410,349,4,19
S2D_TearsOfSteel_rep1,3,30.0,1787115801.044,1787115826.288,0.151952,0.009964,0.142167,0.178503,226.441245,450.657865,0.398406,2,662.506452,975.436229,210.225963,26,505642,502,4,26
S2D_TearsOfSteel_rep1,4,40.0,1787115826.288,1787115853.097,0.151905,0.010831,0.141885,0.1706,281.821145,667.27898,0.0,0,603.62331,951.769545,202.317707,27,525319,523,4,27
S2D_TearsOfSteel_rep1,5,50.0,1787115853.097,1787115878.838,0.151379,0.011096,0.136181,0.170122,312.375938,655.238146,0.0,0,633.077761,951.904474,219.247335,26,503905,503,4,26
S2D_TearsOfSteel_rep1,6,60.0,1787115878.838,1787115889.207,0.153221,0.010696,0.137722,0.169754,355.611603,569.938697,0.452489,1,719.468632,951.933882,194.246816,11,215636,221,4,11
S2D_TearsOfSteel_rep1,7,70.0,1787115889.207,1787115914.141,0.152707,0.01194,0.133375,0.170384,247.808045,479.983818,0.19685,1,631.535458,951.816157,203.420616,26,507987,508,4,26
S2D_TearsOfSteel_rep1,8,80.0,1787115914.141,1787115933.403,0.15233,0.01013,0.143049,0.170317,342.249245,756.88914,0.0,0,646.630348,974.418132,220.194531,19,370472,369,4,19
S2D_TearsOfSteel_rep1,9,90.0,1787115933.403,1787115956.528,0.152228,0.011463,0.130407,0.170351,314.113058,597.202389,0.0,0,650.444052,951.812041,224.071784,24,467708,467,4,24
S2D_TearsOfSteel_rep1,10,100.0,1787115956.528,1787115975.853,0.152484,0.010436,0.142561,0.170351,307.784084,511.605801,0.0,0,663.683288,951.870873,217.697787,20,390705,388,4,20
S2D_TearsOfSteel_rep1,11,110.0,1787115975.853,1787115999.942,0.151557,0.010299,0.141981,0.170334,290.460939,539.008697,0.0,0,629.796524,957.048636,224.129702,24,465607,464,4,24
S2D_TearsOfSteel_rep1,12,120.0,1787115999.942,1787116024.335,0.151828,0.010399,0.142603,0.167118,288.620254,686.085202,0.0,0,614.33999,951.851682,205.373184,25,485886,483,4,25
S2D_TearsOfSteel_rep1,13,130.0,1787116024.335,1787116034.335,0.111083,0.062675,0.023451,0.166419,542.146944,589.197572,0.0,0,906.009302,974.38896,68.379658,2,42704,42,4,3
