run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
S3A_ElephantsDream_rep1,0,0.0,1787116989.155,1787117000.994,0.181893,0.058578,0.107833,0.274827,86.483099,111.82307,19.469027,66,227.743056,247.253275,9.674074,12,280152,339,2,12
S3A_ElephantsDream_rep1,1,10.0,1787117000.994,1787117010.994,0.303904,0.067648,0.203778,0.459071,58.637511,76.746874,20.898438,107,232.093454,255.937811,13.313671,11,429027,512,2,11
S3A_ElephantsDream_rep1,2,20.0,1787117010.994,1787117020.994,0.180668,0.138003,0.0,0.331226,52.005603,119.099666,26.5625,85,240.987491,278.579026,22.50712,8,255172,320,2,11
S3A_ElephantsDream_rep1,3,30.0,1787117020.994,1787117030.994,0.092935,0.136216,0.0,0.387923,216.309453,1397.322091,29.411765,45,7717.921897,45209.808783,16766.901767,6,119290,153,2,10
S3A_ElephantsDream_rep1,4,40.0,1787117030.994,1787117040.994,0.114811,0.137995,0.0,0.398458,110.500079,320.550655,25.490196,52,227.271737,256.008635,27.488608,5,162093,204,4,11
S3A_ElephantsDream_rep1,5,50.0,1787117040.994,1787117050.994,0.391542,0.270956,0.0,0.731215,49.796099,252.092129,29.136164,199,224.496306,256.008635,26.745733,9,553198,683,2,11
S3A_ElephantsDream_rep1,6,60.0,1787117050.994,1787117060.994,0.511176,0.193861,0.231424,0.914691,35.672269,71.664193,26.785714,240,228.511339,247.380944,13.370839,11,721725,896,4,11
S3A_ElephantsDream_rep1,7,70.0,1787117060.994,1787117070.994,0.227058,0.072462,0.108877,0.326992,71.833821,109.79084,22.284123,80,225.015833,251.039148,15.95615,10,291729,359,2,10
S3A_ElephantsDream_rep1,8,80.0,1787117070.994,1787117081.918,0.228529,0.052932,0.108877,0.301531,73.8278,92.021079,12.958435,53,238.262349,269.959309,14.893621,12,351827,409,2,12
S3A_ElephantsDream_rep1,9,90.0,1787117081.918,1787117091.918,0.311538,0.062869,0.193645,0.424717,55.26468,67.170132,20.715631,110,232.676408,254.561711,10.682183,11,440008,531,2,11
S3A_ElephantsDream_rep1,10,100.0,1787117091.918,1787117101.918,0.394044,0.261408,0.0,0.8426,43.225914,199.388056,27.287066,173,216.984935,241.976423,27.829177,8,506436,634,2,10
S3A_ElephantsDream_rep1,11,110.0,1787117101.918,1787117111.918,0.151118,0.175828,0.0,0.429742,25.30495,91.90342,31.135531,85,227.756787,258.144501,17.787588,5,213451,273,2,11
S3A_ElephantsDream_rep1,12,120.0,1787117111.918,1787117121.918,0.169268,0.204759,0.0,0.540049,64.036057,269.419167,27.574751,83,224.280388,278.510424,28.828864,6,239111,301,2,11
S3A_ElephantsDream_rep1,13,130.0,1787117121.918,1787117131.918,0.44982,0.265806,0.0,0.879283,40.83393,188.440017,27.8402,223,235.904673,256.9023,13.974402,9,635740,801,2,11
S3A_ElephantsDream_rep1,14,140.0,1787117131.918,1787117141.918,0.666177,0.57095,0.0,1.449091,41.337099,201.619116,35.845588,390,229.110311,245.198974,10.617243,6,855259,1088,2,10
S3A_ElephantsDream_rep1,15,150.0,1787117141.918,1787117151.918,0.310182,0.409257,0.0,1.11496,25.2211,131.632569,33.873874,188,216.097402,220.458117,3.87655,5,438453,555,2,11
S3A_ElephantsDream_rep1,16,160.0,1787117151.918,1787117161.918,0.576118,0.912564,0.0,3.149413,29.945682,111.172817,37.123421,382,209.625788,221.917042,14.717579,6,813395,1029,2,11
S3A_ElephantsDream_rep1,17,170.0,1787117161.918,1787117171.918,1.315412,0.649223,0.851015,3.149413,15.380176,24.269588,35.865874,845,234.007236,242.706193,7.343371,11,1858260,2356,2,11
S3A_ElephantsDream_rep1,18,180.0,1787117171.918,1787117181.918,0.99727,0.177007,0.651041,1.271255,18.316558,29.612264,32.653061,528,234.437477,243.712918,5.229151,10,1281478,1617,2,10
S3A_ElephantsDream_rep1,19,190.0,1787117181.918,1787117191.918,0.83706,0.708499,0.0,2.380996,16.072671,59.42571,35.337341,529,229.745297,241.392324,5.829127,8,1183553,1497,2,11
S3A_ElephantsDream_rep1,20,200.0,1787117191.918,1787117201.918,0.545079,0.647578,0.0,1.671049,21.924087,93.962051,38.217213,373,213.092498,237.089575,19.591942,6,770120,976,2,11
S3A_ElephantsDream_rep1,21,210.0,1787117201.918,1787117211.918,0.927601,0.771016,0.0,2.248156,33.860188,169.498418,38.498498,641,230.840162,241.819325,7.928897,7,1310068,1665,2,11
S3A_ElephantsDream_rep1,22,220.0,1787117211.918,1787117221.918,1.85026,0.74733,0.968891,3.398826,10.168598,18.224191,38.362069,1157,236.204439,254.629578,7.791265,10,2376788,3016,2,10
S3A_ElephantsDream_rep1,23,230.0,1787117221.918,1787117231.918,1.389429,1.471354,0.0,3.868382,21.899412,163.207349,41.084337,1023,230.363944,287.651317,27.253934,8,1960965,2490,2,11
S3A_ElephantsDream_rep1,24,240.0,1787117231.918,1787117241.918,1.188198,1.389541,0.0,4.03291,21.051279,133.943656,38.94885,830,226.178875,261.26106,19.514854,7,1680480,2131,2,11
S3A_ElephantsDream_rep1,25,250.0,1787117241.918,1787117251.918,0.464399,0.491224,0.0,1.512338,55.294001,165.055021,32.70073,224,233.535189,252.709829,17.493878,8,596899,685,4,10
S3A_ElephantsDream_rep1,26,260.0,1787117251.918,1787117268.521,0.310724,0.110694,0.155779,0.557103,55.475184,79.208911,21.022067,181,230.41012,264.920739,15.071969,18,718750,861,2,18
S3A_ElephantsDream_rep1,27,270.0,1787117268.521,1787117281.228,0.25374,0.166055,0.0,0.544056,64.291792,199.399161,19.585253,85,232.458001,276.296853,17.84715,10,358875,434,6,11
