run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
S5B_BigBuckBunny_rep1,1787132037.234,1.0001,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132038.275,1.0406,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132039.315,1.0406,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132040.356,1.0408,12530,23,3,1178245.1,4814843.1,4
S5B_BigBuckBunny_rep1,1787132041.398,1.0418,358895,445,68,3842200.6,5834011.0,2
S5B_BigBuckBunny_rep1,1787132042.461,1.0634,440728,528,72,3622402.9,4979766.1,2
S5B_BigBuckBunny_rep1,1787132043.525,1.0642,341884,417,61,6207508.8,6020565.4,3
S5B_BigBuckBunny_rep1,1787132044.59,1.0645,243788,297,50,22929179.2,8374056.1,4
S5B_BigBuckBunny_rep1,1787132045.651,1.0612,293352,352,48,5410494.4,6972417.6,2
S5B_BigBuckBunny_rep1,1787132046.716,1.0645,370338,447,66,5127002.3,4904210.2,2
S5B_BigBuckBunny_rep1,1787132047.777,1.0612,405208,484,63,5049763.4,5794104.0,2
S5B_BigBuckBunny_rep1,1787132048.838,1.0613,288349,355,52,6522834.8,6652757.3,2
S5B_BigBuckBunny_rep1,1787132049.903,1.0645,368620,435,57,5563057.7,5369030.1,2
S5B_BigBuckBunny_rep1,1787132050.964,1.0617,398272,473,72,4865230.8,5169853.0,2
S5B_BigBuckBunny_rep1,1787132052.03,1.0657,516512,626,102,3027768.6,5013527.3,2
S5B_BigBuckBunny_rep1,1787132053.073,1.043,364062,441,74,2568674.2,6514150.9,2
S5B_BigBuckBunny_rep1,1787132054.119,1.0466,401088,488,76,4297329.8,5517154.6,2
S5B_BigBuckBunny_rep1,1787132055.163,1.0434,404614,490,71,2938377.9,5665043.2,2
S5B_BigBuckBunny_rep1,1787132056.213,1.0503,362408,442,74,8585281.0,5104532.9,2
S5B_BigBuckBunny_rep1,1787132057.277,1.0638,332352,403,61,3800872.8,5830410.2,2
S5B_BigBuckBunny_rep1,1787132058.322,1.0455,376035,450,72,4690826.3,5904291.3,2
S5B_BigBuckBunny_rep1,1787132059.371,1.0485,336236,409,69,20195428.8,7251410.7,2
S5B_BigBuckBunny_rep1,1787132060.416,1.0446,438768,534,84,3668306.6,4775752.5,2
S5B_BigBuckBunny_rep1,1787132061.46,1.0442,449597,536,68,8039221.2,4530405.0,2
S5B_BigBuckBunny_rep1,1787132062.524,1.0643,390212,473,73,6854273.8,5267460.8,2
S5B_BigBuckBunny_rep1,1787132063.593,1.0685,470829,568,85,2476258.4,5001860.2,2
S5B_BigBuckBunny_rep1,1787132064.659,1.0661,288284,356,60,8482761.3,8027092.5,2
S5B_BigBuckBunny_rep1,1787132065.725,1.0659,408736,495,75,4231707.2,5310465.8,2
S5B_BigBuckBunny_rep1,1787132066.785,1.0603,410866,499,70,6027388.3,4620143.1,2
S5B_BigBuckBunny_rep1,1787132067.849,1.0638,519568,616,86,5326760.7,4695980.3,2
S5B_BigBuckBunny_rep1,1787132068.917,1.068,287664,342,49,5896277.8,4457728.9,2
S5B_BigBuckBunny_rep1,1787132069.985,1.068,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132071.031,1.0461,336204,409,57,5267178.0,5797550.6,2
S5B_BigBuckBunny_rep1,1787132072.075,1.0438,365276,440,67,5491185.5,6369964.2,2
S5B_BigBuckBunny_rep1,1787132073.12,1.0452,319483,378,48,8993019.9,5535242.9,2
S5B_BigBuckBunny_rep1,1787132074.165,1.0453,54700,66,7,23080170.3,5153188.9,2
S5B_BigBuckBunny_rep1,1787132075.233,1.0679,513548,629,100,4646782.8,4657018.3,2
S5B_BigBuckBunny_rep1,1787132076.281,1.0478,486907,586,71,3500308.7,4300812.7,2
S5B_BigBuckBunny_rep1,1787132077.326,1.0449,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132078.37,1.0442,11308,14,3,185459057.5,8602733.3,2
S5B_BigBuckBunny_rep1,1787132079.415,1.0449,364484,447,73,9201846.0,5360327.7,2
S5B_BigBuckBunny_rep1,1787132080.481,1.0661,477824,588,97,3980269.0,5791942.6,2
S5B_BigBuckBunny_rep1,1787132081.548,1.067,226196,270,37,27592947.4,7371015.9,2
S5B_BigBuckBunny_rep1,1787132082.616,1.0683,78336,97,13,11916042.6,5141100.7,2
S5B_BigBuckBunny_rep1,1787132083.682,1.0662,134944,161,21,5404821.0,18211568.0,2
S5B_BigBuckBunny_rep1,1787132084.748,1.0654,369732,448,71,9015098.5,5384234.4,2
S5B_BigBuckBunny_rep1,1787132085.81,1.0627,361440,439,66,5381435.1,7076020.6,2
S5B_BigBuckBunny_rep1,1787132086.877,1.0664,481816,586,75,4237266.1,4631574.3,2
S5B_BigBuckBunny_rep1,1787132087.937,1.06,56914,72,15,2872098.8,4054835.8,2
S5B_BigBuckBunny_rep1,1787132089.003,1.0664,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132090.072,1.0687,6849,8,0,330179365.5,8804457.7,2
S5B_BigBuckBunny_rep1,1787132091.121,1.0488,469980,576,75,3979751.6,3784317.3,2
S5B_BigBuckBunny_rep1,1787132092.164,1.0439,288944,347,49,5560354.8,7418402.4,2
S5B_BigBuckBunny_rep1,1787132093.215,1.0509,384676,457,62,9112780.6,5624742.3,2
S5B_BigBuckBunny_rep1,1787132094.26,1.0444,432120,523,78,6910954.5,4898362.0,2
S5B_BigBuckBunny_rep1,1787132095.321,1.0611,390608,459,60,3594765.6,5521576.3,2
S5B_BigBuckBunny_rep1,1787132096.385,1.0643,396588,484,69,2734862.8,5719166.7,2
S5B_BigBuckBunny_rep1,1787132097.453,1.0675,530335,643,103,2164542.5,4878510.4,2
S5B_BigBuckBunny_rep1,1787132098.523,1.0709,357674,423,60,31684590.7,6246846.7,2
S5B_BigBuckBunny_rep1,1787132099.597,1.0732,514728,619,99,5055154.0,4880004.9,2
S5B_BigBuckBunny_rep1,1787132100.642,1.0449,83668,99,11,11826112.5,23042579.5,2
S5B_BigBuckBunny_rep1,1787132101.687,1.0454,259589,310,51,8407465.9,7529185.4,2
S5B_BigBuckBunny_rep1,1787132102.738,1.0507,380280,458,60,4975233.1,5001577.4,2
S5B_BigBuckBunny_rep1,1787132103.783,1.0452,441088,539,96,4078496.7,5735208.6,2
S5B_BigBuckBunny_rep1,1787132104.844,1.0613,438186,538,79,2699355.6,4957475.3,2
S5B_BigBuckBunny_rep1,1787132105.906,1.062,433218,524,80,3931204.9,5636361.4,2
S5B_BigBuckBunny_rep1,1787132106.973,1.0664,411308,489,70,2878489.7,4949484.0,2
S5B_BigBuckBunny_rep1,1787132108.039,1.0664,391431,470,65,4044184.8,5512155.1,2
S5B_BigBuckBunny_rep1,1787132109.109,1.0699,325884,384,55,2207968.7,8066135.5,2
S5B_BigBuckBunny_rep1,1787132110.153,1.0437,433156,527,88,4267100.4,5541817.1,2
S5B_BigBuckBunny_rep1,1787132111.199,1.0469,512558,612,89,3184588.2,4806898.8,2
S5B_BigBuckBunny_rep1,1787132112.245,1.0453,450256,543,94,3092248.3,5653345.5,2
S5B_BigBuckBunny_rep1,1787132113.288,1.0438,260199,318,50,5594566.3,5163688.5,2
S5B_BigBuckBunny_rep1,1787132114.356,1.0673,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132115.422,1.0662,232436,290,41,8233278.6,7319766.7,2
S5B_BigBuckBunny_rep1,1787132116.488,1.0662,144349,178,26,66474322.8,5458742.3,2
S5B_BigBuckBunny_rep1,1787132117.554,1.0657,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132118.626,1.0718,248060,310,57,4696306.6,4420764.7,2
S5B_BigBuckBunny_rep1,1787132119.697,1.0712,348557,419,82,3261976.7,6392283.4,2
S5B_BigBuckBunny_rep1,1787132120.761,1.0639,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132121.821,1.0608,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132122.887,1.0657,176748,217,35,3468284.9,4477930.1,2
S5B_BigBuckBunny_rep1,1787132123.954,1.0669,151555,184,27,2825662.2,7457885.0,2
S5B_BigBuckBunny_rep1,1787132125.019,1.0653,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132126.089,1.0699,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132127.154,1.0642,256228,307,40,3313761.6,5164698.5,2
S5B_BigBuckBunny_rep1,1787132128.219,1.0656,176645,209,34,7354599.6,5025463.2,2
S5B_BigBuckBunny_rep1,1787132129.282,1.063,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132130.342,1.0604,67284,83,12,29253164.0,6734693.7,2
S5B_BigBuckBunny_rep1,1787132131.408,1.0653,266956,322,38,6207947.9,6135280.9,2
S5B_BigBuckBunny_rep1,1787132132.454,1.0459,313437,376,56,6631100.1,6389359.8,2
S5B_BigBuckBunny_rep1,1787132133.498,1.0444,246740,296,38,20501439.4,8456788.7,2
S5B_BigBuckBunny_rep1,1787132134.543,1.0452,302952,366,53,9475658.7,6901753.8,2
S5B_BigBuckBunny_rep1,1787132135.589,1.0457,519149,630,105,6554066.3,4494810.9,2
S5B_BigBuckBunny_rep1,1787132136.654,1.0648,338368,409,56,4035761.3,6150740.4,2
S5B_BigBuckBunny_rep1,1787132137.7,1.0465,544271,662,101,4395008.0,4341925.4,2
S5B_BigBuckBunny_rep1,1787132138.747,1.0465,454260,556,85,4586752.8,5534446.1,2
S5B_BigBuckBunny_rep1,1787132139.791,1.0439,455558,550,77,3788777.2,4519115.4,2
S5B_BigBuckBunny_rep1,1787132140.835,1.0441,460928,561,86,2656174.2,4602682.1,2
S5B_BigBuckBunny_rep1,1787132141.908,1.0728,393400,478,75,5310058.8,5805882.6,2
S5B_BigBuckBunny_rep1,1787132142.951,1.0436,343752,414,65,22445102.4,6126626.1,2
S5B_BigBuckBunny_rep1,1787132143.995,1.0441,408916,496,78,2590100.6,6468402.1,2
S5B_BigBuckBunny_rep1,1787132145.039,1.0439,455344,554,93,2600963.3,4802973.5,2
S5B_BigBuckBunny_rep1,1787132146.084,1.0447,314821,385,72,5646155.3,7644523.2,2
S5B_BigBuckBunny_rep1,1787132147.151,1.0665,370460,437,55,6274367.6,4839839.0,2
S5B_BigBuckBunny_rep1,1787132148.216,1.0656,453924,555,75,5830046.8,5736678.7,2
S5B_BigBuckBunny_rep1,1787132149.278,1.0616,361828,436,54,2555897.4,4326548.3,2
S5B_BigBuckBunny_rep1,1787132150.339,1.0615,125724,147,16,6413406.3,5916548.5,2
S5B_BigBuckBunny_rep1,1787132151.403,1.0634,399392,483,79,6519442.3,5137770.0,2
S5B_BigBuckBunny_rep1,1787132152.469,1.0662,436708,521,76,2079937.0,4963913.7,2
S5B_BigBuckBunny_rep1,1787132153.536,1.0666,323316,392,51,4040914.9,5866202.6,2
S5B_BigBuckBunny_rep1,1787132154.605,1.0692,133882,159,17,12093644.0,7370289.8,2
S5B_BigBuckBunny_rep1,1787132155.671,1.0665,472012,564,85,4019154.5,4643139.5,2
S5B_BigBuckBunny_rep1,1787132156.739,1.0676,314932,378,51,4315966.1,7102602.8,2
S5B_BigBuckBunny_rep1,1787132157.801,1.0618,263037,310,43,3665791.7,6438083.4,2
S5B_BigBuckBunny_rep1,1787132158.865,1.064,391044,479,69,2956620.5,4157488.0,2
S5B_BigBuckBunny_rep1,1787132159.931,1.0664,455084,546,83,5780119.9,5004037.7,2
S5B_BigBuckBunny_rep1,1787132160.994,1.0628,326640,399,66,7335198.1,6996721.6,2
S5B_BigBuckBunny_rep1,1787132162.06,1.0666,144339,184,24,51499878.5,6673200.2,2
S5B_BigBuckBunny_rep1,1787132163.13,1.0692,425288,509,75,5559348.8,4891677.5,2
S5B_BigBuckBunny_rep1,1787132164.195,1.0655,420672,505,76,5032961.3,4453645.2,2
S5B_BigBuckBunny_rep1,1787132165.258,1.0633,401424,478,60,8969574.9,4557941.2,2
S5B_BigBuckBunny_rep1,1787132166.323,1.0648,303774,367,66,5094468.0,3962909.7,2
S5B_BigBuckBunny_rep1,1787132167.391,1.0675,329060,394,60,3054866.9,6478964.5,2
S5B_BigBuckBunny_rep1,1787132168.459,1.068,451060,542,91,5748374.4,6236316.4,2
S5B_BigBuckBunny_rep1,1787132169.53,1.0716,400178,486,95,2940594.2,4946490.8,2
S5B_BigBuckBunny_rep1,1787132170.598,1.0682,144840,175,22,4218318.9,5223615.1,2
S5B_BigBuckBunny_rep1,1787132171.664,1.0658,304888,375,55,5326018.6,6202972.9,2
S5B_BigBuckBunny_rep1,1787132172.733,1.0686,368684,450,72,5616289.0,6899072.0,2
S5B_BigBuckBunny_rep1,1787132173.798,1.0655,327428,394,52,7201180.1,5711546.0,2
S5B_BigBuckBunny_rep1,1787132174.862,1.0639,430996,523,79,4764099.8,5156686.1,2
S5B_BigBuckBunny_rep1,1787132175.926,1.064,359455,441,63,4041993.2,5477403.1,2
S5B_BigBuckBunny_rep1,1787132176.994,1.068,298160,357,53,17124699.6,6818193.8,2
S5B_BigBuckBunny_rep1,1787132178.06,1.0658,468912,560,74,3477623.4,4991213.1,2
S5B_BigBuckBunny_rep1,1787132179.132,1.072,420292,502,71,6745771.0,5169426.5,2
S5B_BigBuckBunny_rep1,1787132180.201,1.0692,545564,663,99,4770420.1,3969718.1,2
S5B_BigBuckBunny_rep1,1787132181.252,1.051,332220,395,55,5928570.5,6197948.2,2
S5B_BigBuckBunny_rep1,1787132182.297,1.0453,504861,612,84,2994081.0,4377605.8,2
S5B_BigBuckBunny_rep1,1787132183.344,1.0465,270428,331,44,5627843.2,6168141.1,2
S5B_BigBuckBunny_rep1,1787132184.39,1.0457,324184,387,51,4440800.2,7147124.5,2
S5B_BigBuckBunny_rep1,1787132185.458,1.0688,365911,442,65,6505423.6,5170451.8,2
S5B_BigBuckBunny_rep1,1787132186.528,1.0693,327508,397,52,4747329.9,5515421.6,2
S5B_BigBuckBunny_rep1,1787132187.6,1.0724,336864,407,53,5243402.6,5947756.1,2
S5B_BigBuckBunny_rep1,1787132188.646,1.0456,361972,434,68,3439706.3,5628697.8,2
S5B_BigBuckBunny_rep1,1787132189.691,1.0456,427889,519,73,5962761.3,4549227.1,2
S5B_BigBuckBunny_rep1,1787132190.739,1.0474,467312,560,84,6453700.7,4851738.9,2
S5B_BigBuckBunny_rep1,1787132191.785,1.046,350508,427,59,4013200.4,6327263.4,2
S5B_BigBuckBunny_rep1,1787132192.848,1.0632,369912,450,68,3144831.0,5890251.5,2
S5B_BigBuckBunny_rep1,1787132193.912,1.0643,225128,271,41,15184142.0,9444961.7,2
S5B_BigBuckBunny_rep1,1787132194.98,1.0673,368445,439,69,2976851.0,3776273.5,2
S5B_BigBuckBunny_rep1,1787132196.044,1.0639,253060,304,40,5327319.6,10487413.9,2
S5B_BigBuckBunny_rep1,1787132197.12,1.0761,394560,477,66,3526003.6,4525180.3,2
S5B_BigBuckBunny_rep1,1787132198.163,1.0436,343953,418,62,6388235.7,5750818.3,2
S5B_BigBuckBunny_rep1,1787132199.213,1.0499,437628,516,83,7218839.1,5335822.0,2
S5B_BigBuckBunny_rep1,1787132200.257,1.0439,265856,325,47,24142649.3,7903759.3,2
S5B_BigBuckBunny_rep1,1787132201.302,1.0448,242574,290,46,2733710.1,5025677.0,2
S5B_BigBuckBunny_rep1,1787132202.364,1.0622,9756,12,2,146410395.5,6789608.3,2
S5B_BigBuckBunny_rep1,1787132203.427,1.0632,127396,161,33,12058675.8,14253820.4,5
S5B_BigBuckBunny_rep1,1787132204.471,1.0439,83999,108,28,16340753.0,12135689.8,3
S5B_BigBuckBunny_rep1,1787132205.515,1.0439,112,2,0,776898.5,1090622257.0,2
S5B_BigBuckBunny_rep1,1787132206.56,1.0447,3563,5,0,296098469.0,8865655.9,2
S5B_BigBuckBunny_rep1,1787132207.606,1.0462,197349,240,35,5192524.9,10136926.3,2
S5B_BigBuckBunny_rep1,1787132208.674,1.0684,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132209.742,1.0677,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132210.804,1.0622,211917,257,40,4544710.6,5497329.2,2
S5B_BigBuckBunny_rep1,1787132211.868,1.0632,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132212.929,1.0613,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132213.997,1.0682,0,0,0,0,0,0
S5B_BigBuckBunny_rep1,1787132215.063,1.0657,195527,231,32,5701370.4,7786260.4,2
S5B_BigBuckBunny_rep1,1787132216.133,1.0701,317974,392,60,8652157.1,5833604.5,2
S5B_BigBuckBunny_rep1,1787132217.196,1.0632,465752,570,92,16708273.2,5111809.0,2
S5B_BigBuckBunny_rep1,1787132218.259,1.0634,474429,572,76,4238087.7,4227841.6,2
