run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s10_OfForestAndMen,0,0.0,1788996081.6,1788996091.6,1.013416,0.075075,0.870568,1.182681,24.191748,40.598703,0.0,0,138.95536,166.241062,16.517058,31,1296858,1057,4,31
CONT_s10_OfForestAndMen,1,10.0,1788996091.6,1788996101.6,1.015352,0.079971,0.815006,1.182681,30.302534,49.464835,0.0,0,147.051093,189.023828,19.408155,31,1284380,1073,4,31
CONT_s10_OfForestAndMen,2,20.0,1788996101.6,1788996111.6,1.355585,1.771424,0.0,11.151836,21.689807,42.365618,0.840336,12,128.002505,178.362302,35.506179,31,1767997,1428,4,32
CONT_s10_OfForestAndMen,3,30.0,1788996111.6,1788996122.751,1.079746,0.054458,0.991797,1.21208,42.32232,90.807491,0.0,0,131.834393,185.70745,47.772142,34,1535664,1394,6,34
CONT_s10_OfForestAndMen,4,40.0,1788996122.751,1788996132.751,1.074846,0.051361,0.948263,1.192024,39.686286,51.651112,0.0,0,142.070532,178.44791,27.011203,32,1415859,1232,5,32
CONT_s10_OfForestAndMen,5,50.0,1788996132.751,1788996142.751,0.988341,0.275099,0.0,1.202366,16.363328,18.23824,0.0,0,108.124422,111.713397,7.794141,29,1254637,1007,2,31
CONT_s10_OfForestAndMen,6,60.0,1788996142.751,1788996152.751,0.44537,0.79694,0.0,4.223382,33.514182,124.489199,1.93133,9,100.066009,170.510391,58.760481,14,578482,466,2,31
CONT_s10_OfForestAndMen,7,70.0,1788996152.751,1788996162.751,0.846285,0.067193,0.719406,1.021502,46.074881,87.924253,0.0,0,156.21263,183.559373,22.827096,31,1091965,1000,6,31
CONT_s10_OfForestAndMen,8,80.0,1788996162.751,1788996172.751,0.855642,0.055098,0.744657,0.985643,42.551099,57.355237,0.0,0,135.780847,171.211038,39.392716,32,1129882,1118,6,32
CONT_s10_OfForestAndMen,9,90.0,1788996172.751,1788996182.751,0.528241,0.412381,0.0,1.113069,18.772591,77.226479,0.0,0,89.097343,131.909916,19.007402,20,684318,659,2,31
CONT_s10_OfForestAndMen,10,100.0,1788996182.751,1788996192.751,0.354911,0.484498,0.0,2.416965,41.322215,199.217459,2.793296,10,191.185343,252.069169,82.186157,15,442608,358,2,30
CONT_s10_OfForestAndMen,11,110.0,1788996192.751,1788996202.751,0.573783,0.079234,0.405995,0.711646,35.672406,43.071461,0.0,0,202.794999,250.839954,30.297105,32,759812,622,2,32
CONT_s10_OfForestAndMen,12,120.0,1788996202.751,1788996212.751,0.578013,0.08509,0.441406,0.75355,41.816377,59.730522,0.0,0,212.736776,251.196262,29.530546,31,745500,617,4,31
CONT_s10_OfForestAndMen,13,130.0,1788996212.751,1788996222.751,1.923091,7.64568,0.382016,43.797519,66.993279,121.809865,4.677804,98,252.045513,325.378528,65.515228,31,2506921,2095,6,31
CONT_s10_OfForestAndMen,14,140.0,1788996222.751,1788996232.751,0.444502,0.068082,0.250338,0.56,73.167798,105.337124,2.692308,14,220.680534,317.308094,83.539137,31,568431,520,4,31
CONT_s10_OfForestAndMen,15,150.0,1788996232.751,1788996242.751,0.318741,0.23684,0.0,0.722059,48.148767,114.07019,0.0,0,235.837474,292.349633,60.629509,22,419139,337,2,32
CONT_s10_OfForestAndMen,16,160.0,1788996242.751,1788996252.751,0.4524,0.088072,0.327167,0.5651,44.926473,53.308525,0.0,0,254.052357,266.13674,26.644429,31,577626,467,2,31
CONT_s10_OfForestAndMen,17,170.0,1788996252.751,1788996262.751,0.451683,0.085944,0.353,0.587659,41.982462,44.414912,0.0,0,255.697883,266.095892,21.994849,32,590329,475,2,32
CONT_s10_OfForestAndMen,18,180.0,1788996262.751,1788996272.751,0.2681,0.227506,0.0,0.619874,50.999387,152.24579,0.0,0,240.280406,358.032847,100.65565,19,345566,277,2,31
CONT_s10_OfForestAndMen,19,190.0,1788996272.751,1788996282.751,0.20547,0.034329,0.146458,0.296849,62.68375,152.24579,4.605263,14,381.122011,539.068469,89.419137,30,267600,304,2,31
CONT_s10_OfForestAndMen,20,200.0,1788996282.751,1788996292.87,0.194018,0.0765,0.0,0.421337,63.265977,102.830466,8.333333,25,293.088757,507.599662,142.924912,30,254710,300,3,32
CONT_s10_OfForestAndMen,21,210.0,1788996292.87,1788996302.87,0.20236,0.028711,0.152173,0.2648,82.704145,145.115609,9.538462,31,302.889113,590.135761,181.2685,31,256805,325,4,31
CONT_s10_OfForestAndMen,22,220.0,1788996302.87,1788996312.87,0.200357,0.08073,0.0,0.501303,70.280232,94.897016,8.0,22,333.728075,489.547103,107.049182,30,257441,275,2,31
CONT_s10_OfForestAndMen,23,230.0,1788996312.87,1788996322.87,0.117108,0.127194,0.0,0.501303,108.533068,289.544314,4.347826,6,463.62131,846.692671,273.81018,20,155710,138,2,32
CONT_s10_OfForestAndMen,24,240.0,1788996322.87,1788996332.87,0.097217,0.127504,0.0,0.388546,125.002985,301.286435,0.0,0,310.624059,852.53179,269.487955,14,122793,100,2,31
CONT_s10_OfForestAndMen,25,250.0,1788996332.87,1788996342.87,0.125013,0.090542,0.0,0.376997,194.816867,301.797809,0.735294,1,413.407046,690.910202,289.192071,25,160840,136,2,31
CONT_s10_OfForestAndMen,26,260.0,1788996342.87,1788996352.87,0.146916,0.035733,0.045279,0.25975,150.10487,171.239375,0.0,0,494.966039,684.92452,233.605106,30,190644,170,4,31
CONT_s10_OfForestAndMen,27,270.0,1788996352.87,1788996362.87,0.144637,0.027367,0.075939,0.222592,199.808515,297.640277,0.5,1,611.763965,1024.959293,255.361804,31,187179,200,4,31
CONT_s10_OfForestAndMen,28,280.0,1788996362.87,1788996372.87,0.096195,0.071508,0.0,0.223574,183.74789,389.594895,0.0,0,602.284751,1036.982182,357.692667,21,123415,129,4,31
CONT_s10_OfForestAndMen,29,290.0,1788996372.87,1788996382.87,0.002222,0.006408,0.0,0.021844,99.830561,650.107679,0.0,0,18.869438,25.272847,10.60543,4,2901,12,2,31
