run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s12_ElephantsDream,0,0.0,1788991480.794,1788991495.818,0.199891,0.03796,0.142635,0.254776,379907,386,5,51,0.228528,0.204397,0.036954,0.247812,0.199891,0.0,386,0.199938,0.999765,379907,0.0
CONT_s12_ElephantsDream,1,10.0,1788991495.818,1788991505.818,1.197624,5.18869,0.155121,30.99476,1501985,1302,5,34,0.421524,0.412951,0.040482,0.507899,0.997733,5.991385,916,0.593145,2.019108,1881892,0.0
CONT_s12_ElephantsDream,2,20.0,1788991505.818,1788991515.818,0.406678,0.033982,0.333833,0.486362,528199,593,4,35,0.411113,0.404429,0.021717,0.456073,-0.790946,0.339571,-709,0.538982,0.75453,2410091,0.0
CONT_s12_ElephantsDream,3,30.0,1788991515.818,1788991525.818,0.407395,0.03663,0.32957,0.477486,520542,604,6,34,0.388686,0.404918,0.029952,0.447512,0.000717,1.001763,11,0.50974,0.799221,2930633,0.0
CONT_s12_ElephantsDream,4,40.0,1788991525.818,1788991535.818,0.407803,0.025563,0.362639,0.456444,538232,613,5,35,0.412617,0.412038,0.023035,0.456444,0.000408,1.001001,9,0.490711,0.831045,3468865,0.0
CONT_s12_ElephantsDream,5,50.0,1788991535.818,1788991545.818,0.209364,0.20417,0.0,0.612116,266583,293,4,34,0.121185,0.233923,0.184353,0.612116,-0.198439,0.513395,-320,0.448108,0.467218,3735448,0.411765
CONT_s12_ElephantsDream,6,60.0,1788991545.818,1788991555.818,0.178208,0.056733,0.117775,0.253505,231990,216,4,35,0.1639,0.177198,0.050875,0.250905,-0.031156,0.851187,-77,0.411582,0.432983,3967438,0.0
CONT_s12_ElephantsDream,7,70.0,1788991555.818,1788991565.818,0.179725,0.086131,0.0,0.363148,231218,197,2,34,0.179327,0.17276,0.098279,0.353165,0.001517,1.008513,-19,0.384319,0.467645,4198656,0.117647
CONT_s12_ElephantsDream,8,80.0,1788991565.818,1788991575.818,0.128154,0.127051,0.0,0.425504,163443,138,2,34,0.425504,0.071142,0.131753,0.425504,-0.051571,0.713056,-59,0.357908,0.358064,4362099,0.441176
CONT_s12_ElephantsDream,9,90.0,1788991575.818,1788991585.818,0.112434,0.134402,0.0,0.425504,143463,115,2,34,0.0,0.126976,0.130535,0.415662,-0.01572,0.877335,-23,0.33428,0.336347,4505562,0.5
CONT_s12_ElephantsDream,10,100.0,1788991585.818,1788991595.818,0.642119,2.775154,0.0,16.564604,849663,692,4,34,0.260183,0.263991,0.03615,0.319895,0.529685,5.711075,577,0.362679,1.770489,5355225,0.382353
CONT_s12_ElephantsDream,11,110.0,1788991595.818,1788991605.818,0.257515,0.026635,0.210242,0.332245,333278,336,7,35,0.247042,0.252476,0.019634,0.312393,-0.384604,0.401039,-356,0.354233,0.726965,5688503,0.0
CONT_s12_ElephantsDream,12,120.0,1788991605.818,1788991615.818,0.258296,0.027378,0.223585,0.3343,335315,340,4,35,0.243511,0.253139,0.024665,0.323405,0.000781,1.003033,4,0.347048,0.744266,6023818,0.0
CONT_s12_ElephantsDream,13,130.0,1788991615.818,1788991625.818,2.071143,10.889693,0.0,64.615515,2665951,2080,4,34,0.0,0.117993,0.353519,1.17855,1.812847,8.018487,1740,0.466506,4.439692,8689769,0.411765
CONT_s12_ElephantsDream,14,140.0,1788991625.818,1788991635.818,1.967625,2.426381,0.0,10.14497,2568542,1990,4,35,0.002783,2.386425,2.422505,7.56289,-0.103518,0.950019,-90,0.56488,3.483262,11258311,0.257143
