run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s13_RedBullPlayStreets,0,0.0,1789002602.688,1789002612.688,1.094328,3.29006,0.0,18.116664,1403191,1192,5,28,0.56516,0.103306,0.198965,0.56516,1.094328,0.0,1192,1.089963,1.004005,1403191,0.285714
CONT_s13_RedBullPlayStreets,1,10.0,1789002612.688,1789002622.688,0.330626,0.164682,0.0,0.630528,438476,521,3,29,0.0,0.264408,0.209704,0.616939,-0.763702,0.302127,-671,0.703867,0.469728,1841667,0.103448
CONT_s13_RedBullPlayStreets,2,20.0,1789002622.688,1789002632.688,0.200892,0.2048,0.0,0.631237,252668,304,4,27,0.4307,0.363912,0.158337,0.601745,-0.129734,0.607611,-217,0.541207,0.371193,2094335,0.37037
CONT_s13_RedBullPlayStreets,3,30.0,1789002632.688,1789002642.688,0.226852,0.211532,0.0,0.511843,296687,357,2,28,0.438987,0.29449,0.208767,0.505514,0.02596,1.129224,53,0.461608,0.491439,2391022,0.428571
CONT_s13_RedBullPlayStreets,4,40.0,1789002642.688,1789002655.34,0.244526,0.107583,0.126672,0.564787,396954,452,7,35,0.203354,0.189851,0.046292,0.270462,0.017674,1.07791,95,0.409917,0.596526,2787976,0.0
CONT_s13_RedBullPlayStreets,5,50.0,1789002655.34,1789002666.485,0.19016,0.030052,0.130735,0.267426,279388,281,5,32,0.20112,0.190857,0.019659,0.203863,-0.054366,0.777668,-171,0.370876,0.512732,3067364,0.0
CONT_s13_RedBullPlayStreets,6,60.0,1789002666.485,1789002677.392,1.710248,8.472778,0.0,47.329507,2526740,1956,4,30,0.320762,0.10315,0.184469,0.504442,1.520088,8.993732,1675,0.578502,2.956339,5594104,0.466667
CONT_s13_RedBullPlayStreets,7,70.0,1789002677.392,1789002687.392,0.44943,0.070888,0.320762,0.642516,586402,499,4,28,0.496026,0.455947,0.0873,0.642516,-1.260818,0.262786,-1457,0.563175,0.798029,6180506,0.0
CONT_s13_RedBullPlayStreets,8,80.0,1789002687.392,1789002697.392,0.445303,0.057051,0.324979,0.532657,560135,472,2,27,0.414364,0.450794,0.061462,0.532657,-0.004127,0.990817,-27,0.550959,0.808233,6740641,0.0
CONT_s13_RedBullPlayStreets,9,90.0,1789002697.392,1789002707.392,0.379707,0.169988,0.0,0.673192,509252,428,2,29,0.352025,0.364209,0.21376,0.673192,-0.065596,0.852694,-44,0.534097,0.710933,7249893,0.137931
CONT_s13_RedBullPlayStreets,10,100.0,1789002707.392,1789002717.392,0.945363,1.433601,0.0,8.217117,1252154,1069,4,28,0.954696,0.967044,0.032796,1.011179,0.565656,2.489717,641,0.571844,1.653183,8502047,0.071429
