run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
CONT_s13_TheSwissAccount,0,0.0,1789013374.36,1789013384.36,0.34617,0.132811,0.011476,0.659206,457724,558,2,24
CONT_s13_TheSwissAccount,1,10.0,1789013384.36,1789013394.36,0.331122,0.088762,0.144086,0.455339,421101,508,2,23
CONT_s13_TheSwissAccount,2,20.0,1789013394.36,1789013404.36,0.246205,0.187038,0.0,0.583723,327002,389,2,24
CONT_s13_TheSwissAccount,3,30.0,1789013404.36,1789013414.36,0.275426,0.151531,0.0,0.583723,352158,407,4,23
CONT_s13_TheSwissAccount,4,40.0,1789013414.36,1789013424.36,0.190436,0.029666,0.141985,0.251758,256005,268,6,24
CONT_s13_TheSwissAccount,5,50.0,1789013424.36,1789013434.36,2.01247,8.548435,0.15776,42.108017,2553908,2019,4,23
CONT_s13_TheSwissAccount,6,60.0,1789013434.36,1789013444.36,2.107357,8.531503,0.0,42.108017,2676959,2081,4,23
CONT_s13_TheSwissAccount,7,70.0,1789013444.36,1789013454.36,0.446999,0.052248,0.387013,0.552378,584208,485,4,23
CONT_s13_TheSwissAccount,8,80.0,1789013454.36,1789013464.36,0.384198,0.146668,0.0,0.542017,492264,410,2,23
CONT_s13_TheSwissAccount,9,90.0,1789013464.36,1789013474.36,0.302533,0.210482,0.0,0.563086,407230,346,4,24
CONT_s13_TheSwissAccount,10,100.0,1789013474.36,1789013484.36,2.227659,6.25906,0.441561,31.571986,2948310,2376,6,23
CONT_s13_TheSwissAccount,11,110.0,1789013484.36,1789013494.36,0.965767,0.050258,0.87248,1.106745,1259897,1176,6,23
CONT_s13_TheSwissAccount,12,120.0,1789013494.36,1789013504.36,0.829324,0.308248,0.0,1.005811,1076515,986,4,23
CONT_s13_TheSwissAccount,13,130.0,1789013504.36,1789013514.36,0.780542,0.357922,0.0,1.023048,1019861,884,4,23
CONT_s13_TheSwissAccount,14,140.0,1789013514.36,1789013524.36,2.122364,7.233709,0.0,35.956813,2867569,2290,4,23
CONT_s13_TheSwissAccount,15,150.0,1789013524.36,1789013534.36,1.270532,0.054804,1.187299,1.39752,1707323,1361,2,24
CONT_s13_TheSwissAccount,16,160.0,1789013534.36,1789013544.36,1.268801,0.069391,1.151628,1.401455,1634294,1356,4,23
CONT_s13_TheSwissAccount,17,170.0,1789013544.36,1789013554.36,1.280884,0.069929,1.145577,1.463677,1658894,1453,6,23
CONT_s13_TheSwissAccount,18,180.0,1789013554.36,1789013564.36,1.270796,0.075162,1.075352,1.463677,1650512,1507,6,23
CONT_s13_TheSwissAccount,19,190.0,1789013564.36,1789013574.36,1.002692,1.128458,0.0,4.834247,1306855,1117,4,23
CONT_s13_TheSwissAccount,20,200.0,1789013574.36,1789013584.36,2.603149,1.206029,0.0,3.32826,3445464,2627,4,23
CONT_s13_TheSwissAccount,21,210.0,1789013584.36,1789013594.36,3.191693,0.116096,3.012584,3.421775,4135322,3173,4,23
CONT_s13_TheSwissAccount,22,220.0,1789013594.36,1789013604.36,2.934103,0.646627,1.133213,3.422123,3838775,3265,5,23
CONT_s13_TheSwissAccount,23,230.0,1789013604.36,1789013614.36,2.889795,0.82435,0.0,3.304028,3894556,3254,5,24
CONT_s13_TheSwissAccount,24,240.0,1789013614.36,1789013624.36,2.532947,5.217105,0.0,26.022534,3342568,2742,2,23
CONT_s13_TheSwissAccount,25,250.0,1789013624.36,1789013634.36,2.934633,0.118148,2.763399,3.234865,3796455,3221,5,23
CONT_s13_TheSwissAccount,26,260.0,1789013634.36,1789013644.36,2.921023,0.097426,2.686796,3.096494,3764808,3331,6,23
CONT_s13_TheSwissAccount,27,270.0,1789013644.36,1789013654.36,2.476595,0.982051,0.0,3.060365,3327179,2611,4,24
CONT_s13_TheSwissAccount,28,280.0,1789013654.36,1789013664.36,1.939422,1.191749,0.0,3.045811,2530477,1927,2,23
CONT_s13_TheSwissAccount,29,290.0,1789013664.36,1789013674.36,0.77791,1.277046,0.0,3.055585,1006408,833,2,23
