run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
CONT_s13_Valkaama,0,0.0,1789017232.105,1789017242.105,0.92104,1.789228,0.10996,9.271503,1213111,1102,6,23
CONT_s13_Valkaama,1,10.0,1789017242.105,1789017252.105,0.244445,0.111529,0.10996,0.520932,325815,393,4,23
CONT_s13_Valkaama,2,20.0,1789017252.105,1789017262.105,0.168869,0.197786,0.0,0.48182,214095,267,3,22
CONT_s13_Valkaama,3,30.0,1789017262.105,1789017272.105,0.398295,0.09884,0.007576,0.518295,529828,612,3,23
CONT_s13_Valkaama,4,40.0,1789017272.105,1789017282.105,0.229066,0.101366,0.025636,0.441049,305329,338,5,23
CONT_s13_Valkaama,5,50.0,1789017282.105,1789017292.105,0.192241,0.024014,0.156865,0.245861,245896,254,5,22
CONT_s13_Valkaama,6,60.0,1789017292.105,1789017302.105,0.207617,0.330619,0.0,1.703204,275349,272,5,23
CONT_s13_Valkaama,7,70.0,1789017302.105,1789017312.105,0.052855,0.104873,0.0,0.363717,67729,57,2,22
CONT_s13_Valkaama,8,80.0,1789017312.105,1789017322.105,0.037976,0.083993,0.0,0.260271,51148,51,4,23
CONT_s13_Valkaama,9,90.0,1789017322.105,1789017332.105,0.266303,0.225676,0.0,0.534262,338208,277,2,22
CONT_s13_Valkaama,10,100.0,1789017332.105,1789017342.105,1.545515,4.579567,0.391498,22.999578,2064773,1797,4,23
CONT_s13_Valkaama,11,110.0,1789017342.105,1789017352.105,0.962287,0.048691,0.832528,1.076914,1241200,1147,6,22
CONT_s13_Valkaama,12,120.0,1789017352.105,1789017362.105,0.965406,0.038995,0.878101,1.098078,1244513,1174,4,22
CONT_s13_Valkaama,13,130.0,1789017362.105,1789017372.105,0.802837,0.336393,0.0,1.091351,1076922,918,4,23
CONT_s13_Valkaama,14,140.0,1789017372.105,1789017382.105,2.773222,8.739444,0.0,42.802213,3578024,2853,4,22
CONT_s13_Valkaama,15,150.0,1789017382.105,1789017392.105,0.651668,0.578663,0.0,1.370184,865763,687,2,23
CONT_s13_Valkaama,16,160.0,1789017392.105,1789017402.105,0.511589,0.571983,0.0,1.341228,658716,520,2,22
CONT_s13_Valkaama,17,170.0,1789017402.105,1789017412.105,1.118768,0.406842,0.0,1.456325,1493513,1254,4,23
CONT_s13_Valkaama,18,180.0,1789017412.105,1789017422.105,1.269221,0.038034,1.201675,1.354882,1686624,1446,6,23
CONT_s13_Valkaama,19,190.0,1789017422.105,1789017432.105,1.260369,0.095934,1.10495,1.461191,1610898,1412,5,22
CONT_s13_Valkaama,20,200.0,1789017432.105,1789017442.105,1.892626,4.990394,0.0,23.535501,2417019,1893,4,22
CONT_s13_Valkaama,21,210.0,1789017442.105,1789017452.105,2.791375,1.049511,0.0,3.3859,3758998,2936,4,23
CONT_s13_Valkaama,22,220.0,1789017452.105,1789017462.105,3.192748,0.097116,2.978711,3.368188,4111813,3115,4,22
CONT_s13_Valkaama,23,230.0,1789017462.105,1789017472.105,3.186787,0.097268,3.069103,3.397498,4272083,3360,6,23
CONT_s13_Valkaama,24,240.0,1789017472.105,1789017482.105,1.689593,1.547681,0.0,3.361097,2194719,2040,4,22
CONT_s13_Valkaama,25,250.0,1789017482.105,1789017492.105,1.069054,1.296706,0.0,3.266326,1369911,1130,4,22
CONT_s13_Valkaama,26,260.0,1789017492.105,1789017502.105,2.932682,0.100968,2.816751,3.320159,3795402,3413,6,22
CONT_s13_Valkaama,27,270.0,1789017502.105,1789017512.105,2.94412,0.072513,2.853527,3.194061,3919483,3609,4,23
CONT_s13_Valkaama,28,280.0,1789017512.105,1789017522.105,1.793114,1.361871,0.0,3.194061,2393175,2250,4,23
CONT_s13_Valkaama,29,290.0,1789017522.105,1789017532.105,0.419241,0.985323,0.0,2.946838,538247,442,2,22
