run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s14_BigBuckBunny,0,0.0,2.7072,24.412,Critical
CONT_s14_BigBuckBunny,1,10.0,1.6764,0,Critical
CONT_s14_BigBuckBunny,2,20.0,1.561,0,Critical
CONT_s14_BigBuckBunny,3,30.0,1.4897,4.365,Critical
CONT_s14_BigBuckBunny,4,40.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,5,50.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,6,60.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,7,70.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,8,80.0,1.5336,0,Critical
CONT_s14_BigBuckBunny,9,90.0,1.5923,0,Critical
CONT_s14_BigBuckBunny,10,100.0,1.5923,0,Critical
CONT_s14_BigBuckBunny,11,110.0,1.5923,0,Critical
CONT_s14_BigBuckBunny,12,120.0,1.5923,0,Critical
CONT_s14_BigBuckBunny,13,130.0,1.5336,2.163,Critical
CONT_s14_BigBuckBunny,14,140.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,15,150.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,16,160.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,17,170.0,1.5629,0,Critical
CONT_s14_BigBuckBunny,18,180.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,19,190.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,20,200.0,1.5149,0,Critical
CONT_s14_BigBuckBunny,21,210.0,2.0474,0.408,Degraded
CONT_s14_BigBuckBunny,22,220.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,23,230.0,1.4457,0,Critical
CONT_s14_BigBuckBunny,24,240.0,1.5757,0,Critical
CONT_s14_BigBuckBunny,25,250.0,1.5757,1.943,Critical
CONT_s14_BigBuckBunny,26,260.0,1.5294,0,Critical
