run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s14_BigBuckBunny,0,0.0,1788986891.517,1788986901.795,0.291985,1.027268,0.0,6.657573,386186,334,5,40,0.324054,0.122039,0.131059,0.341288,0.291985,0.0,334,0.294355,0.991948,386186,0.375
CONT_s14_BigBuckBunny,1,10.0,1788986901.795,1788986911.795,0.116847,0.129116,0.0,0.477412,150455,121,2,39,0.0,0.114066,0.108197,0.235448,-0.175138,0.400182,-213,0.206648,0.56544,536641,0.487179
CONT_s14_BigBuckBunny,2,20.0,1788986911.795,1788986921.795,0.122775,0.120754,0.0,0.302872,156304,132,2,39,0.26397,0.124262,0.125751,0.302872,0.005928,1.050733,11,0.178541,0.687657,692945,0.487179
CONT_s14_BigBuckBunny,3,30.0,1788986921.795,1788986936.16,0.123052,0.077773,0.0,0.26397,226123,220,4,56,0.047263,0.12052,0.06189,0.207311,0.000277,1.002256,88,0.160678,0.76583,919068,0.142857
CONT_s14_BigBuckBunny,4,40.0,1788986936.16,1788986946.16,0.112899,0.073929,0.0,0.31311,145786,141,3,39,0.0,0.098908,0.108034,0.31311,-0.010153,0.91749,-79,0.152042,0.742551,1064854,0.230769
CONT_s14_BigBuckBunny,5,50.0,1788986946.16,1788986956.16,0.120917,0.103202,0.0,0.550843,155253,173,6,39,0.0,0.117848,0.069552,0.233162,0.008018,1.071019,32,0.147262,0.821101,1220107,0.230769
CONT_s14_BigBuckBunny,6,60.0,1788986956.16,1788986966.16,0.121654,0.042411,0.0,0.18825,153750,155,4,38,0.185391,0.125633,0.042841,0.185885,0.000737,1.006095,-18,0.14388,0.845524,1373857,0.026316
CONT_s14_BigBuckBunny,7,70.0,1788986966.16,1788986976.16,0.096223,0.090462,0.0,0.43778,122912,120,4,39,0.0,0.058859,0.136071,0.43778,-0.025431,0.790956,-35,0.138242,0.696048,1496769,0.307692
CONT_s14_BigBuckBunny,8,80.0,1788986976.16,1788986986.16,0.193623,0.50675,0.0,3.219061,251569,216,2,40,0.013582,0.146766,0.147045,0.516627,0.0974,2.012232,96,0.144093,1.343736,1748338,0.45
CONT_s14_BigBuckBunny,9,90.0,1788986986.16,1788986996.16,0.120419,0.095659,0.0,0.281684,154127,138,2,39,0.231656,0.128676,0.092847,0.232101,-0.073204,0.621925,-78,0.141813,0.849139,1902465,0.307692
CONT_s14_BigBuckBunny,10,100.0,1788986996.16,1788987006.16,0.121499,0.110132,0.0,0.235972,155881,131,3,39,0.001592,0.125711,0.110251,0.234534,0.00108,1.008969,-7,0.140074,0.867392,2058346,0.435897
CONT_s14_BigBuckBunny,11,110.0,1788987006.16,1788987016.16,0.10601,0.127123,0.0,0.473764,132768,112,4,38,0.220714,0.115756,0.154381,0.473764,-0.015489,0.872517,-19,0.137352,0.771813,2191114,0.552632
CONT_s14_BigBuckBunny,12,120.0,1788987016.16,1788987026.16,0.117195,0.115918,0.0,0.512971,150322,146,4,39,0.095338,0.120924,0.039864,0.187659,0.011185,1.105509,34,0.135845,0.862711,2341436,0.230769
CONT_s14_BigBuckBunny,13,130.0,1788987026.16,1788987038.323,0.310893,1.284726,0.0,9.018525,478839,443,5,47,0.136645,0.126827,0.039962,0.190479,0.193698,2.652784,297,0.1501,2.071239,2820275,0.042553
CONT_s14_BigBuckBunny,14,140.0,1788987038.323,1788987048.323,0.121708,0.054598,0.0,0.233159,158929,158,4,39,0.093836,0.119824,0.034165,0.185391,-0.189185,0.391479,-285,0.148228,0.821086,2979204,0.076923
CONT_s14_BigBuckBunny,15,150.0,1788987048.323,1788987058.323,0.120362,0.041906,0.001566,0.223319,151892,148,4,38,0.092865,0.118042,0.034272,0.207634,-0.001346,0.988941,-10,0.146593,0.821062,3131096,0.026316
CONT_s14_BigBuckBunny,16,160.0,1788987058.323,1788987068.323,0.073488,0.104784,0.0,0.47214,94998,84,2,39,0.0,0.039345,0.130493,0.47214,-0.046874,0.610558,-64,0.142482,0.51577,3226094,0.564103
