run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s1_Valkaama,0,0.0,1788968935.289,1788968945.289,26.361936,69.118157,0.0,304.212163,14.293703,29.526728,0.022343,6,90.460504,212.762608,96.459912,31,36096031,26854,4,44
CONT_s1_Valkaama,1,10.0,1788968945.289,1788968955.289,7.017375,26.271378,0.0,108.715374,0.003645,0.05261,0.0,0,1.62566,1.715893,0.064261,3,8972010,6683,2,45
CONT_s1_Valkaama,2,20.0,1788968955.289,1788968965.289,5.779353,22.609692,0.0,109.91164,0.041861,0.057859,0.0,0,1.244047,1.783545,0.629052,4,7316320,5378,2,45
CONT_s1_Valkaama,3,30.0,1788968965.289,1788968975.289,6.917868,19.15491,0.0,77.994416,0.075386,0.392091,0.0,0,1.578474,1.989918,0.307864,6,8967314,6682,2,45
CONT_s1_Valkaama,4,40.0,1788968975.289,1788968985.289,0.194597,0.139211,0.0,0.595556,106.57443,207.973499,0.492611,1,388.952345,564.840952,202.566187,35,248430,203,2,45
CONT_s1_Valkaama,5,50.0,1788968985.289,1788968995.289,0.234992,0.086536,0.0,0.374369,83.020086,97.475082,0.0,0,477.429715,568.756733,143.437718,44,302785,250,4,45
CONT_s1_Valkaama,6,60.0,1788968995.289,1788969005.289,2.361975,13.080381,0.05403,88.036796,66.940993,112.805905,5.018821,120,389.562019,564.914659,170.223727,44,2953295,2391,6,44
CONT_s1_Valkaama,7,70.0,1788969005.289,1788969015.289,0.279685,0.063233,0.0,0.373002,49.865046,129.614909,9.090909,36,451.381614,519.698988,81.822141,44,359377,396,3,45
CONT_s1_Valkaama,8,80.0,1788969015.289,1788969025.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,45
CONT_s1_Valkaama,9,90.0,1788969025.289,1788969035.289,0.188612,0.155545,0.0,0.599947,16.01889,42.535867,13.84083,40,435.392242,553.695391,157.251819,29,243704,289,2,45
CONT_s1_Valkaama,10,100.0,1788969035.289,1788969058.002,0.367478,0.227234,0.0,1.028318,60.606151,116.260125,4.549591,50,392.339363,531.234363,135.066209,94,1043867,1099,7,99
CONT_s1_Valkaama,11,110.0,1788969058.002,1788969068.002,0.348456,0.405655,0.0,0.924308,17.846107,43.044191,0.0,0,82.29005,87.033532,28.047279,20,446737,433,2,45
CONT_s1_Valkaama,12,120.0,1788969068.002,1788969078.002,0.474892,0.410007,0.0,1.043004,39.956636,151.893626,0.0,0,126.921531,146.66164,34.500758,26,603667,488,2,44
CONT_s1_Valkaama,13,130.0,1788969078.002,1788969088.002,0.690014,0.668137,0.0,1.672275,74.883322,337.383644,0.0,0,116.866781,151.159289,28.539221,24,890659,746,6,45
CONT_s1_Valkaama,14,140.0,1788969088.002,1788969098.002,1.374436,0.082471,1.208981,1.541806,45.217812,117.370184,0.0,0,101.588353,139.723597,26.194509,44,1741048,1678,6,44
CONT_s1_Valkaama,15,150.0,1788969098.002,1788969108.002,1.373251,0.082808,1.192458,1.548995,25.913023,35.490308,0.0,0,84.291225,105.28904,25.025876,45,1769801,1747,4,45
CONT_s1_Valkaama,16,160.0,1788969108.002,1788969118.002,1.378157,0.067864,1.269154,1.545066,21.636739,35.507598,0.0,0,72.643131,105.268521,25.595415,44,1741737,1715,4,44
CONT_s1_Valkaama,17,170.0,1788969118.002,1788969128.002,1.376904,0.037332,1.291977,1.454451,11.856874,12.151416,0.0,0,51.250677,51.833224,1.543212,45,1782855,1758,2,45
CONT_s1_Valkaama,18,180.0,1788969128.002,1788969138.002,1.277187,3.531036,0.0,24.157824,23.05617,69.715847,0.29347,4,105.875692,185.823704,57.741735,31,1609661,1363,2,44
CONT_s1_Valkaama,19,190.0,1788969138.002,1788969148.002,0.822219,0.096703,0.617357,1.05857,24.170847,25.847276,0.0,0,143.353194,185.544368,27.049918,45,1060392,869,2,45
CONT_s1_Valkaama,20,200.0,1788969148.002,1788969158.002,0.823445,0.08503,0.69899,1.072213,33.469591,63.921898,0.0,0,157.933738,213.34672,26.040347,45,1062391,898,4,45
CONT_s1_Valkaama,21,210.0,1788969158.002,1788969168.002,0.824886,0.080106,0.673305,0.972942,59.384817,65.885415,0.0,0,178.138286,207.866308,17.369678,44,1039124,956,5,44
CONT_s1_Valkaama,22,220.0,1788969168.002,1788969178.002,0.82514,0.057895,0.673305,0.926854,45.983121,62.52666,0.0,0,140.566498,179.609469,42.236946,45,1064982,976,6,45
CONT_s1_Valkaama,23,230.0,1788969178.002,1788969188.002,0.826474,0.051815,0.767622,0.962401,21.67769,22.555928,0.0,0,84.905869,86.879946,4.634833,44,1044231,924,2,44
CONT_s1_Valkaama,24,240.0,1788969188.002,1788969198.002,0.480436,0.633282,0.0,2.646189,16.277102,71.967835,1.125704,6,71.024102,86.724789,22.45343,20,615448,533,2,45
CONT_s1_Valkaama,25,250.0,1788969198.002,1788969208.002,1.477609,0.71524,0.0,2.052478,26.359274,72.917369,0.125235,2,87.19605,107.911068,18.570871,37,1908666,1597,4,45
CONT_s1_Valkaama,26,260.0,1788969208.002,1788969218.002,1.84298,0.059082,1.696575,1.970614,19.928493,60.002664,0.0,0,52.729197,87.179089,19.912411,44,2323431,2212,4,44
CONT_s1_Valkaama,27,270.0,1788969218.002,1788969228.002,1.835882,0.059456,1.730652,1.93432,18.972953,49.242554,0.0,0,49.089002,78.912117,17.431973,44,2333688,2093,4,44
CONT_s1_Valkaama,28,280.0,1788969228.002,1788969238.002,0.543061,0.728009,0.0,2.03595,26.390992,80.099684,7.898894,50,76.304577,109.876576,27.629103,26,695157,633,2,45
