run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s2_ElephantsDream,0,0.0,1788987635.835,1788987645.835,5.764439,1.080941,0.010827,6.623636,2.05558,9.158183,0.34632,24,41.710738,53.615165,30.532286,38,7363695,6930,4,38
CONT_s2_ElephantsDream,1,10.0,1788987645.835,1788987655.835,5.648289,1.231882,0.020527,6.483932,5.187329,9.137262,0.708487,48,44.209216,65.761596,28.689912,37,7235974,6775,4,37
CONT_s2_ElephantsDream,2,20.0,1788987655.835,1788987665.835,6.052595,0.149029,5.663466,6.42858,0.369111,2.275699,0.105778,8,34.810103,39.968744,3.620442,37,7698090,7563,2,37
CONT_s2_ElephantsDream,3,30.0,1788987665.835,1788987675.835,5.442826,1.689617,0.0,6.293294,0.55345,2.275699,0.130378,9,34.117528,38.812012,3.83245,35,7011185,6903,2,38
CONT_s2_ElephantsDream,4,40.0,1788987675.835,1788987685.835,6.16993,9.852589,0.0,64.13455,1.762493,7.467848,2.972399,224,43.592049,79.432488,18.431172,34,7796722,7536,2,37
CONT_s2_ElephantsDream,5,50.0,1788987685.835,1788987695.835,3.223182,0.158498,2.910191,3.55643,5.931941,6.983981,0.141323,5,69.525788,84.396273,7.345633,38,4237478,3538,2,38
CONT_s2_ElephantsDream,6,60.0,1788987695.835,1788987705.835,3.064559,0.641914,0.0,3.568131,6.034862,8.507641,0.033422,1,68.782214,84.24629,9.747981,36,3840995,2992,2,37
CONT_s2_ElephantsDream,7,70.0,1788987705.835,1788987715.835,3.214724,0.219407,2.86107,3.61962,10.191391,17.683247,0.0,0,74.362003,89.721376,12.341228,38,4126373,3142,4,38
CONT_s2_ElephantsDream,8,80.0,1788987715.835,1788987725.835,4.706128,6.478979,2.794832,41.100799,5.266146,6.576652,2.674533,136,62.711571,79.427671,12.971742,38,6040427,5085,4,38
CONT_s2_ElephantsDream,9,90.0,1788987725.835,1788987735.835,3.351535,0.175262,2.920509,3.673089,9.621586,16.905686,0.197017,7,72.774049,86.328681,9.465046,38,4319335,3553,6,38
CONT_s2_ElephantsDream,10,100.0,1788987735.835,1788987745.835,3.340099,0.19248,2.884396,3.680499,15.872939,19.056761,0.0,0,84.676772,87.399072,2.677181,39,4360526,3426,6,39
CONT_s2_ElephantsDream,11,110.0,1788987745.835,1788987755.835,3.342957,0.213241,2.893353,3.785602,16.307643,18.748826,0.0,0,84.529644,86.586762,2.668858,38,4263831,3349,5,38
CONT_s2_ElephantsDream,12,120.0,1788987755.835,1788987765.835,3.340364,0.221909,2.884978,3.841736,16.274015,19.049901,0.0,0,84.576513,87.425301,2.814178,38,4226670,3321,6,38
CONT_s2_ElephantsDream,13,130.0,1788987765.835,1788987775.835,6.476734,10.39344,1.622922,69.897541,8.883942,19.018203,2.751938,213,56.309425,87.398672,24.714331,39,8432875,7740,6,39
CONT_s2_ElephantsDream,14,140.0,1788987775.835,1788987785.835,6.092583,0.139944,5.762618,6.468209,6.337682,9.012438,0.518519,42,50.618415,59.402838,4.997794,38,7811390,8100,4,38
