run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s3_RedBullPlayStreets,0,0.0,1788998766.473,1788998776.473,0.304221,0.034996,0.229394,0.393676,122.405121,158.084596,0.261097,1,371.233122,516.088592,109.353616,29,386622,383,6,29
CONT_s3_RedBullPlayStreets,1,10.0,1788998776.473,1788998786.473,0.301422,0.027239,0.267353,0.358785,56.250504,61.758327,0.0,0,222.388693,242.369636,38.792768,30,393888,392,2,30
CONT_s3_RedBullPlayStreets,2,20.0,1788998786.473,1788998796.473,0.292918,0.576186,0.0,3.291284,48.858265,260.781853,2.228412,8,208.706943,242.319518,57.247645,19,379452,359,2,30
CONT_s3_RedBullPlayStreets,3,30.0,1788998796.473,1788998806.473,0.239349,0.108397,0.004127,0.444233,88.106564,176.377315,18.65285,72,201.562687,465.851701,127.072129,29,303285,386,4,29
CONT_s3_RedBullPlayStreets,4,40.0,1788998806.473,1788998816.473,0.269488,0.083775,0.136938,0.399251,71.71405,108.661473,14.583333,63,213.607015,457.793098,116.330219,30,352730,432,4,30
CONT_s3_RedBullPlayStreets,5,50.0,1788998816.473,1788998826.473,0.48384,0.344642,0.0,0.950693,29.384068,70.05006,1.41844,8,111.018199,192.318439,42.345699,23,630078,564,2,30
CONT_s3_RedBullPlayStreets,6,60.0,1788998826.473,1788998836.473,0.274358,0.340265,0.0,0.901852,45.879254,188.911911,0.0,0,131.655971,191.717217,57.352505,13,355346,290,4,30
CONT_s3_RedBullPlayStreets,7,70.0,1788998836.473,1788998846.473,0.758777,0.064343,0.619018,0.916965,54.59405,130.373639,0.0,0,141.393278,215.418979,48.325416,30,981549,896,6,30
CONT_s3_RedBullPlayStreets,8,80.0,1788998846.473,1788998856.473,0.932648,1.61034,0.0,9.155946,22.066152,39.983874,1.044932,10,132.674261,192.275387,53.909389,21,1195872,957,4,30
CONT_s3_RedBullPlayStreets,9,90.0,1788998856.473,1788998866.473,1.545349,0.097147,1.392026,1.74826,23.921538,36.503116,0.0,0,110.969849,125.172705,14.43926,29,1941799,1583,6,29
CONT_s3_RedBullPlayStreets,10,100.0,1788998866.473,1788998876.473,1.640951,0.599781,1.421522,4.846112,19.655245,35.517209,0.576037,10,91.786013,126.040062,24.797038,30,2147806,1736,4,30
CONT_s3_RedBullPlayStreets,11,110.0,1788998876.473,1788998886.473,1.112818,1.950709,0.0,10.48817,22.919692,61.889559,0.867303,10,109.301218,165.008052,48.181884,21,1467349,1153,2,30
CONT_s3_RedBullPlayStreets,12,120.0,1788998886.473,1788998896.473,0.975005,0.150646,0.481609,1.150468,19.972863,28.808115,0.0,0,113.743448,117.701214,16.169758,29,1232077,981,2,29
CONT_s3_RedBullPlayStreets,13,130.0,1788998896.473,1788998906.473,1.017562,0.081974,0.829748,1.18929,38.575768,54.876066,0.0,0,160.531934,191.585456,34.045965,30,1323502,1110,4,30
CONT_s3_RedBullPlayStreets,14,140.0,1788998906.473,1788998916.473,1.014412,0.069966,0.876865,1.148281,18.384,18.861024,0.0,0,115.041323,117.684961,6.506615,30,1328164,1062,2,30
CONT_s3_RedBullPlayStreets,15,150.0,1788998916.473,1788998926.473,0.889968,1.423781,0.0,8.174516,29.473819,109.571475,1.081081,10,105.976671,130.020626,34.740949,21,1164311,925,2,30
CONT_s3_RedBullPlayStreets,16,160.0,1788998926.473,1788998936.473,0.509914,0.412451,0.0,0.974402,30.038769,96.277438,0.0,0,125.401534,168.934751,46.655973,20,654188,528,2,30
CONT_s3_RedBullPlayStreets,17,170.0,1788998936.473,1788998946.473,0.541753,0.397324,0.0,1.030502,33.477891,90.715673,0.0,0,138.952131,178.064543,42.093742,21,706705,583,2,30
CONT_s3_RedBullPlayStreets,18,180.0,1788998946.473,1788998956.473,0.85316,0.071606,0.73575,1.010517,24.599836,27.763073,0.0,0,147.937003,176.734957,22.273937,29,1097814,904,2,29
CONT_s3_RedBullPlayStreets,19,190.0,1788998956.473,1788998966.473,0.789994,0.203291,0.001193,0.990436,23.583211,33.911691,0.0,0,129.084934,143.094357,25.41777,29,993217,801,2,29
CONT_s3_RedBullPlayStreets,20,200.0,1788998966.473,1788998976.473,0.318841,0.427658,0.0,1.706073,32.652642,103.956875,6.10687,24,135.528873,214.503508,49.521669,14,424621,393,2,30
CONT_s3_RedBullPlayStreets,21,210.0,1788998976.473,1788998986.473,0.369147,0.157993,0.010385,0.751117,63.959969,79.875355,10.040984,49,147.706427,167.945058,7.483384,28,469310,488,2,29
