run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
CONT_s4_ElephantsDream,0,0.0,1788988412.188,1788988422.188,0.250126,0.036108,0.177765,0.281262,322484,321,2,38
CONT_s4_ElephantsDream,1,10.0,1788988422.188,1788988432.188,0.248087,0.039864,0.17747,0.300083,319743,318,2,38
CONT_s4_ElephantsDream,2,20.0,1788988432.188,1788988442.188,0.249034,0.039699,0.175385,0.312102,320609,320,2,38
CONT_s4_ElephantsDream,3,30.0,1788988442.188,1788988452.188,0.164402,0.206469,0.0,0.542526,207786,189,2,37
CONT_s4_ElephantsDream,4,40.0,1788988452.188,1788988462.188,0.20989,0.270049,0.0,0.802973,269448,223,2,38
CONT_s4_ElephantsDream,5,50.0,1788988462.188,1788988472.188,0.464999,0.072444,0.272371,0.547609,601082,504,4,38
CONT_s4_ElephantsDream,6,60.0,1788988472.188,1788988482.188,0.465606,0.092152,0.265747,0.629175,599845,500,2,38
CONT_s4_ElephantsDream,7,70.0,1788988482.188,1788988492.188,0.471052,0.638946,0.0,3.983163,604426,507,2,38
CONT_s4_ElephantsDream,8,80.0,1788988492.188,1788988502.188,0.604089,0.056897,0.489343,0.742363,764055,711,6,37
CONT_s4_ElephantsDream,9,90.0,1788988502.188,1788988512.188,0.606455,0.039813,0.539721,0.676074,785617,781,4,38
CONT_s4_ElephantsDream,10,100.0,1788988512.188,1788988522.188,0.606383,0.035195,0.536959,0.651348,783661,777,4,38
CONT_s4_ElephantsDream,11,110.0,1788988522.188,1788988532.188,3.989151,18.075372,0.0,109.822295,5071652,3852,2,38
CONT_s4_ElephantsDream,12,120.0,1788988532.188,1788988542.188,2.336629,7.875909,0.0,30.874928,3053562,2277,2,37
CONT_s4_ElephantsDream,13,130.0,1788988542.188,1788988552.188,2.049411,7.056617,0.0,31.584643,2614658,2003,3,38
CONT_s4_ElephantsDream,14,140.0,1788988552.188,1788988562.188,3.083818,6.029869,0.003023,29.666394,3988155,3043,5,38
CONT_s4_ElephantsDream,15,150.0,1788988562.188,1788988572.188,2.580975,4.677315,0.002817,21.351699,3249912,2498,4,37
CONT_s4_ElephantsDream,16,160.0,1788988572.188,1788988582.188,1.223935,3.079232,0.003022,18.327265,1600673,1285,5,38
CONT_s4_ElephantsDream,17,170.0,1788988582.188,1788988592.188,0.327496,0.115951,0.0,0.660208,424902,390,2,38
CONT_s4_ElephantsDream,18,180.0,1788988592.188,1788988602.188,0.265875,0.183119,0.0,0.660208,333245,277,2,37
CONT_s4_ElephantsDream,19,190.0,1788988602.188,1788988612.188,0.282615,0.156957,0.0,0.519299,364985,304,2,38
CONT_s4_ElephantsDream,20,200.0,1788988612.188,1788988622.188,0.343431,0.096413,0.178741,0.690628,443181,384,2,38
CONT_s4_ElephantsDream,21,210.0,1788988622.188,1788988632.188,0.30407,0.390566,0.0,1.05488,389734,336,4,38
CONT_s4_ElephantsDream,22,220.0,1788988632.188,1788988642.188,0.650524,0.307636,0.0,1.142121,823787,723,6,37
CONT_s4_ElephantsDream,23,230.0,1788988642.188,1788988652.188,0.60497,0.323298,0.0,0.905238,786555,745,5,38
CONT_s4_ElephantsDream,24,240.0,1788988652.188,1788988662.188,1.611719,0.212708,0.641068,1.962966,2046029,1703,4,37
CONT_s4_ElephantsDream,25,250.0,1788988662.188,1788988672.188,1.638317,0.140964,1.35633,1.904202,2094516,1851,6,37
CONT_s4_ElephantsDream,26,260.0,1788988672.188,1788988682.188,3.088835,11.638845,0.0,73.786871,4019142,3302,6,38
CONT_s4_ElephantsDream,27,270.0,1788988682.188,1788988692.188,1.1287,0.083851,0.938706,1.39165,1447554,1330,5,37
CONT_s4_ElephantsDream,28,280.0,1788988692.188,1788988702.188,1.121492,0.051435,0.999354,1.242346,1435551,1259,6,37
CONT_s4_ElephantsDream,29,290.0,1788988702.188,1788988712.188,0.407123,0.534478,0.0,1.349304,521008,449,4,37
