run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
CONT_s6_BigBuckBunny,0,0.0,1788983805.253,1788983815.253,0.500557,0.172972,0.068334,0.886472,643352,754,2,43
CONT_s6_BigBuckBunny,1,10.0,1788983815.253,1788983825.253,0.395786,0.226983,0.0,0.954839,511663,607,2,43
CONT_s6_BigBuckBunny,2,20.0,1788983825.253,1788983835.253,0.537008,0.19885,0.154756,0.926443,677071,781,2,42
CONT_s6_BigBuckBunny,3,30.0,1788983835.253,1788983845.253,0.28954,0.307761,0.0,0.918141,376240,436,2,43
CONT_s6_BigBuckBunny,4,40.0,1788983845.253,1788983855.253,0.662944,0.29386,0.0,1.207634,836397,967,5,42
CONT_s6_BigBuckBunny,5,50.0,1788983855.253,1788983865.253,0.896401,0.197153,0.0,1.117254,1138336,1122,4,42
CONT_s6_BigBuckBunny,6,60.0,1788983865.253,1788983875.253,0.346091,0.439369,0.0,1.067563,448920,364,2,43
CONT_s6_BigBuckBunny,7,70.0,1788983875.253,1788983885.253,0.436416,0.470106,0.0,1.333107,551721,469,4,42
CONT_s6_BigBuckBunny,8,80.0,1788983885.253,1788983895.253,0.918144,0.144135,0.357251,1.194253,1193624,1036,6,43
CONT_s6_BigBuckBunny,9,90.0,1788983895.253,1788983905.253,0.612384,0.449109,0.0,1.155489,775149,642,2,42
CONT_s6_BigBuckBunny,10,100.0,1788983905.253,1788983915.253,2.558812,8.382717,0.431614,53.126365,3352934,2775,4,43
CONT_s6_BigBuckBunny,11,110.0,1788983915.253,1788983925.253,0.445966,0.061382,0.32339,0.579628,563999,607,5,42
CONT_s6_BigBuckBunny,12,120.0,1788983925.253,1788983935.253,0.444048,0.048738,0.357849,0.520714,564655,563,5,42
CONT_s6_BigBuckBunny,13,130.0,1788983935.253,1788983945.253,0.44164,0.046616,0.379714,0.518166,573985,577,5,43
CONT_s6_BigBuckBunny,14,140.0,1788983945.253,1788983955.253,0.819011,2.108689,0.385686,14.139553,1046011,951,5,42
CONT_s6_BigBuckBunny,15,150.0,1788983955.253,1788983965.253,0.57391,2.123775,0.0,14.139553,740383,615,4,42
CONT_s6_BigBuckBunny,16,160.0,1788983965.253,1788983975.253,0.177448,0.170104,0.0,0.66781,226423,182,2,42
CONT_s6_BigBuckBunny,17,170.0,1788983975.253,1788983985.253,2.077703,11.474209,0.188762,75.547537,2614304,2093,7,42
CONT_s6_BigBuckBunny,18,180.0,1788983985.253,1788983995.253,1.858959,11.371,0.0,75.547537,2391101,1887,4,43
CONT_s6_BigBuckBunny,19,190.0,1788983995.253,1788984005.253,0.138469,0.053814,0.0,0.272245,177136,221,4,42
CONT_s6_BigBuckBunny,20,200.0,1788984005.253,1788984015.253,0.137409,0.029151,0.095581,0.202287,175540,226,5,42
CONT_s6_BigBuckBunny,21,210.0,1788984015.253,1788984025.253,0.143394,0.086123,0.0,0.518274,183491,228,5,42
CONT_s6_BigBuckBunny,22,220.0,1788984025.253,1788984035.253,0.07501,0.145796,0.0,0.563171,95469,87,4,42
CONT_s6_BigBuckBunny,23,230.0,1788984035.253,1788984045.253,0.205363,0.085403,0.00155,0.463543,261666,227,2,42
CONT_s6_BigBuckBunny,24,240.0,1788984045.253,1788984055.253,0.202034,0.087125,0.0,0.387283,258775,217,2,42
CONT_s6_BigBuckBunny,25,250.0,1788984055.253,1788984065.253,0.165211,0.149539,0.0,0.626104,210711,189,2,42
CONT_s6_BigBuckBunny,26,260.0,1788984065.253,1788984075.253,0.149254,0.137556,0.0,0.510886,191976,170,4,42
CONT_s6_BigBuckBunny,27,270.0,1788984075.253,1788984085.253,0.182513,0.070387,0.0,0.301357,228816,213,4,41
CONT_s6_BigBuckBunny,28,280.0,1788984085.253,1788984095.253,0.251298,0.995238,0.0,5.970703,317670,251,2,42
