run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s6_OfForestAndMen,0,0.0,3.9341,0.56,Degraded
CONT_s6_OfForestAndMen,1,10.0,2.8572,0,Degraded
CONT_s6_OfForestAndMen,2,20.0,2.8784,0,Degraded
CONT_s6_OfForestAndMen,3,30.0,2.8924,0,Degraded
CONT_s6_OfForestAndMen,4,40.0,2.8784,0,Degraded
CONT_s6_OfForestAndMen,5,50.0,2.8528,0,Degraded
CONT_s6_OfForestAndMen,6,60.0,2.8127,0,Degraded
CONT_s6_OfForestAndMen,7,70.0,2.8127,0,Degraded
CONT_s6_OfForestAndMen,8,80.0,2.8127,0,Degraded
CONT_s6_OfForestAndMen,9,90.0,2.3889,0,Degraded
CONT_s6_OfForestAndMen,10,100.0,3.7791,0,Good
CONT_s6_OfForestAndMen,11,110.0,3.7423,0,Good
CONT_s6_OfForestAndMen,12,120.0,3.7423,0,Good
CONT_s6_OfForestAndMen,13,130.0,2.5984,1.258,Critical
CONT_s6_OfForestAndMen,14,140.0,1.583,0,Critical
CONT_s6_OfForestAndMen,15,150.0,2.1165,0,Degraded
CONT_s6_OfForestAndMen,16,160.0,1.6898,0,Critical
CONT_s6_OfForestAndMen,17,170.0,1.6898,0,Critical
CONT_s6_OfForestAndMen,18,180.0,2.0267,0,Degraded
CONT_s6_OfForestAndMen,19,190.0,2.8071,0,Degraded
CONT_s6_OfForestAndMen,20,200.0,1.9393,2.985,Critical
CONT_s6_OfForestAndMen,21,210.0,1.527,4.076,Critical
CONT_s6_OfForestAndMen,22,220.0,1.5559,0,Critical
CONT_s6_OfForestAndMen,23,230.0,1.4545,0,Critical
CONT_s6_OfForestAndMen,24,240.0,1.4545,0,Critical
CONT_s6_OfForestAndMen,25,250.0,1.9754,0,Critical
CONT_s6_OfForestAndMen,26,260.0,2.0098,2.292,Critical
CONT_s6_OfForestAndMen,27,270.0,1.6084,0,Critical
CONT_s6_OfForestAndMen,28,280.0,1.5994,0,Critical
