run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
CONT_s6_RedBullPlayStreets,0,0.0,1788999914.909,1788999924.909,0.651797,1.672134,0.0,9.400981,831931,829,4,29
CONT_s6_RedBullPlayStreets,1,10.0,1788999924.909,1788999934.909,0.589736,0.178792,0.328313,0.841524,769308,924,2,29
CONT_s6_RedBullPlayStreets,2,20.0,1788999934.909,1788999944.909,0.376289,0.113204,0.146783,0.628267,488131,568,2,29
CONT_s6_RedBullPlayStreets,3,30.0,1788999944.909,1788999954.909,0.610541,0.192238,0.217589,0.977144,796771,929,2,29
CONT_s6_RedBullPlayStreets,4,40.0,1788999954.909,1788999964.909,0.536628,0.20403,0.083716,1.042253,681393,820,4,28
CONT_s6_RedBullPlayStreets,5,50.0,1788999964.909,1788999974.909,1.227095,2.107775,0.395491,12.362179,1622951,1546,6,29
CONT_s6_RedBullPlayStreets,6,60.0,1788999974.909,1788999984.909,0.346067,0.419733,0.0,1.059694,450075,373,4,29
CONT_s6_RedBullPlayStreets,7,70.0,1788999984.909,1788999994.909,0.44087,0.434145,0.0,1.051664,567916,467,2,28
CONT_s6_RedBullPlayStreets,8,80.0,1788999994.909,1789000004.909,0.93312,0.050335,0.79935,1.018862,1229256,1119,6,29
CONT_s6_RedBullPlayStreets,9,90.0,1789000004.909,1789000014.909,0.934881,0.030902,0.892513,0.994779,1200280,1183,4,29
CONT_s6_RedBullPlayStreets,10,100.0,1789000014.909,1789000024.909,0.366776,0.420842,0.0,1.054559,477925,397,2,29
CONT_s6_RedBullPlayStreets,11,110.0,1789000024.909,1789000034.909,1.198559,2.250817,0.191608,12.487361,1504541,1249,5,28
CONT_s6_RedBullPlayStreets,12,120.0,1789000034.909,1789000044.909,0.440411,0.032597,0.402609,0.508976,578495,579,6,29
CONT_s6_RedBullPlayStreets,13,130.0,1789000044.909,1789000054.909,0.439763,0.032377,0.358048,0.492959,570489,574,5,29
CONT_s6_RedBullPlayStreets,14,140.0,1789000054.909,1789000064.909,0.442854,0.057341,0.33555,0.535507,577038,577,6,29
CONT_s6_RedBullPlayStreets,15,150.0,1789000064.909,1789000074.909,1.208099,4.383501,0.002351,24.396693,1530630,1285,5,29
CONT_s6_RedBullPlayStreets,16,160.0,1789000074.909,1789000084.909,0.149729,0.156474,0.0,0.420156,191348,166,4,29
CONT_s6_RedBullPlayStreets,17,170.0,1789000084.909,1789000094.909,0.281021,0.053517,0.20493,0.409694,363850,323,4,29
CONT_s6_RedBullPlayStreets,18,180.0,1789000094.909,1789000104.909,0.510922,1.622518,0.0,9.067989,659135,560,4,29
CONT_s6_RedBullPlayStreets,19,190.0,1789000104.909,1789000114.909,0.138304,0.046939,0.003549,0.318912,183400,213,2,30
CONT_s6_RedBullPlayStreets,20,200.0,1789000114.909,1789000124.909,0.139262,0.017268,0.105188,0.179535,178806,233,5,29
CONT_s6_RedBullPlayStreets,21,210.0,1789000124.909,1789000134.909,0.139202,0.014544,0.102591,0.171167,176416,230,6,28
CONT_s6_RedBullPlayStreets,22,220.0,1789000134.909,1789000144.909,0.165298,0.085881,0.0,0.43897,219778,228,5,30
CONT_s6_RedBullPlayStreets,23,230.0,1789000144.909,1789000154.909,0.198631,0.061363,0.134864,0.346613,255788,216,2,29
CONT_s6_RedBullPlayStreets,24,240.0,1789000154.909,1789000164.909,0.19619,0.081613,0.0,0.41004,252158,214,2,29
CONT_s6_RedBullPlayStreets,25,250.0,1789000164.909,1789000174.909,0.117937,0.123248,0.0,0.35512,151558,126,2,29
CONT_s6_RedBullPlayStreets,26,260.0,1789000174.909,1789000184.909,0.101207,0.109895,0.0,0.34913,131081,109,2,29
