run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s7_TearsOfSteel,0,0.0,1789005674.351,1789005684.351,1.94261,5.934585,0.0,30.679989,12.032914,49.922317,1.029336,20,125.902262,275.32376,114.757728,13,2450413,1943,6,26
CONT_s7_TearsOfSteel,1,10.0,1789005684.351,1789005694.351,0.799739,2.294218,0.0,8.335039,6.813953,61.997728,0.0,0,0.25631,0.538839,0.16662,4,1064869,805,2,27
CONT_s7_TearsOfSteel,2,20.0,1789005694.351,1789005704.351,2.690879,3.835787,0.0,14.524039,15.482707,32.351367,0.0,0,79.833854,198.258834,74.227226,21,3331150,2552,4,25
CONT_s7_TearsOfSteel,3,30.0,1789005704.351,1789005714.351,2.746682,3.193027,0.001997,10.934778,14.808512,29.565266,0.0,0,77.811202,209.678533,81.909088,27,3655405,2817,4,27
CONT_s7_TearsOfSteel,4,40.0,1789005714.351,1789005724.351,1.09867,0.453964,0.01488,2.616548,116.354703,457.961183,9.592641,146,316.442288,396.944734,80.000217,26,1435314,1522,6,26
CONT_s7_TearsOfSteel,5,50.0,1789005724.351,1789005734.351,1.022271,0.297365,0.295499,1.31501,75.814685,152.184338,4.761905,65,301.054847,358.090564,44.484842,26,1321595,1365,7,26
CONT_s7_TearsOfSteel,6,60.0,1789005734.351,1789005744.351,0.602075,0.329875,0.008642,1.182941,73.323624,169.459749,0.911854,6,258.890872,322.849569,23.171908,24,774151,658,4,26
CONT_s7_TearsOfSteel,7,70.0,1789005744.351,1789005754.351,0.484395,0.355072,0.0,1.143532,49.727175,112.844707,3.423423,19,250.655652,259.498737,5.075286,20,626830,555,2,26
CONT_s7_TearsOfSteel,8,80.0,1789005754.351,1789005764.351,1.005812,0.320976,0.008555,1.273515,90.681849,361.843637,4.807692,65,309.962511,366.511598,44.895634,25,1303777,1352,6,26
CONT_s7_TearsOfSteel,9,90.0,1789005764.351,1789005774.351,0.970926,0.481292,0.256165,2.104838,39.505655,85.062671,12.928571,181,124.560798,334.554614,114.231878,26,1265310,1400,5,26
CONT_s7_TearsOfSteel,10,100.0,1789005774.351,1789005784.351,0.562711,0.610393,0.0,2.3719,13.634896,61.702513,19.257541,166,46.735927,51.573685,2.626533,15,736108,862,2,26
CONT_s7_TearsOfSteel,11,110.0,1789005784.351,1789005794.351,0.759704,0.833341,0.0,3.017531,11.005199,28.908509,22.727273,275,47.439573,52.497994,2.95276,16,981090,1210,4,26
CONT_s7_TearsOfSteel,12,120.0,1789005794.351,1789005804.351,2.804847,1.031015,0.357008,3.938692,21.223992,26.681047,1.150121,38,55.22373,76.838265,20.812655,26,3642104,3304,6,26
CONT_s7_TearsOfSteel,13,130.0,1789005804.351,1789005814.351,2.969998,0.751869,0.167893,3.902568,36.958272,196.30624,1.036866,36,60.83477,82.123946,29.712603,26,3864539,3472,6,26
CONT_s7_TearsOfSteel,14,140.0,1789005814.351,1789005824.351,2.909924,1.008034,0.0,3.45476,24.449595,81.61421,0.0,0,56.616977,77.493298,16.610603,24,3773793,3071,4,26
CONT_s7_TearsOfSteel,15,150.0,1789005824.351,1789005834.351,1.494823,1.321689,0.0,3.501471,9.971718,31.892625,0.322581,5,58.045881,81.207601,20.047717,18,1926994,1550,2,26
CONT_s7_TearsOfSteel,16,160.0,1789005834.351,1789005844.351,0.769623,1.049534,0.0,2.753415,8.2172,34.802315,0.0,0,69.227083,81.381883,10.38537,11,1010674,769,2,26
CONT_s7_TearsOfSteel,17,170.0,1789005844.351,1789005854.351,2.096841,1.014103,0.0,2.828475,11.657547,26.8241,0.092593,2,77.247578,97.332148,12.692729,22,2723185,2160,4,26
CONT_s7_TearsOfSteel,18,180.0,1789005854.351,1789005864.351,3.381461,3.513984,2.369462,20.938782,55.483719,214.790163,0.462459,17,84.029844,99.001879,17.83377,26,4435836,3676,6,26
CONT_s7_TearsOfSteel,19,190.0,1789005864.351,1789005874.351,2.403882,0.757079,0.0,3.009111,19.370713,42.75495,0.0,0,71.449046,96.849139,24.490234,25,3143253,2571,6,26
CONT_s7_TearsOfSteel,20,200.0,1789005874.351,1789005884.351,1.646097,1.166026,0.0,3.161818,8.878463,27.630737,0.0,0,69.026634,87.292859,15.505309,19,2155197,1653,2,26
