run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s9_TheSwissAccount,0,0.0,1789011834.116,1789011844.116,1.058129,0.065723,0.925938,1.180958,44.356212,47.875239,0.0,0,142.298532,173.224759,14.795364,24,1374187,1315,6,24
CONT_s9_TheSwissAccount,1,10.0,1789011844.116,1789011854.116,2.249929,7.087941,0.0,36.173997,48.776697,172.193266,2.651365,67,243.849989,137.829759,582.637736,21,2930055,2527,6,24
CONT_s9_TheSwissAccount,2,20.0,1789011854.116,1789011864.116,0.306159,0.493779,0.0,1.410256,28.990568,116.285836,0.0,0,446.226225,2843.74484,906.505502,8,397829,316,2,23
CONT_s9_TheSwissAccount,3,30.0,1789011864.116,1789011874.116,0.423206,0.540196,0.0,1.330565,32.486921,115.78968,0.0,0,93.79277,143.899623,43.941697,11,556444,444,2,24
CONT_s9_TheSwissAccount,4,40.0,1789011874.116,1789011884.116,0.991005,0.462867,0.0,1.357358,21.168737,52.876075,0.0,0,118.05152,139.68067,18.853591,19,1260225,1005,2,23
CONT_s9_TheSwissAccount,5,50.0,1789011884.116,1789011894.116,1.217781,0.062013,1.120682,1.357358,29.34216,44.271035,0.0,0,130.154341,159.74936,19.701692,24,1611855,1368,4,24
CONT_s9_TheSwissAccount,6,60.0,1789011894.116,1789011904.116,0.97794,0.449422,0.0,1.355205,21.137271,17.861081,0.0,0,111.430485,137.127439,27.954218,20,1251700,1001,2,23
CONT_s9_TheSwissAccount,7,70.0,1789011904.116,1789011914.116,1.098703,1.190289,0.0,2.880669,17.470045,48.353077,0.773861,9,62.681425,117.922971,24.766208,13,1454712,1163,2,24
CONT_s9_TheSwissAccount,8,80.0,1789011914.116,1789011924.116,2.841977,0.132724,2.557566,3.254957,8.782188,22.38138,0.792142,25,65.246942,84.530366,18.426658,24,3737331,3156,4,24
CONT_s9_TheSwissAccount,9,90.0,1789011924.116,1789011934.116,1.844351,1.073525,0.0,3.02564,15.33643,45.338127,0.050761,1,81.114765,112.806411,20.841814,21,2440822,1970,4,24
CONT_s9_TheSwissAccount,10,100.0,1789011934.116,1789011944.116,1.39847,0.052839,1.312529,1.538977,16.16604,16.666303,0.0,0,109.984366,125.627506,10.268697,23,1797837,1457,2,23
CONT_s9_TheSwissAccount,11,110.0,1789011944.116,1789011954.116,1.404828,0.077898,1.2714,1.553058,15.743501,16.666303,0.0,0,106.929819,120.721539,9.869199,23,1817876,1465,2,23
CONT_s9_TheSwissAccount,12,120.0,1789011954.116,1789011964.116,1.410363,0.082492,1.226155,1.558577,30.592748,39.853711,0.0,0,118.222276,138.07615,11.815768,24,1879824,1619,4,24
CONT_s9_TheSwissAccount,13,130.0,1789011964.116,1789011974.116,1.393588,0.059177,1.250757,1.515848,21.396335,37.806234,0.0,0,105.932006,128.702505,15.161061,23,1777864,1474,4,23
CONT_s9_TheSwissAccount,14,140.0,1789011974.116,1789011984.116,0.678741,0.638315,0.0,1.513612,26.932135,135.077563,1.876676,14,93.963367,122.791133,28.812517,14,904499,746,2,24
CONT_s9_TheSwissAccount,15,150.0,1789011984.116,1789011994.116,0.449338,0.192144,0.283603,1.194878,49.412815,58.871476,15.566038,99,96.274401,98.385028,1.501342,23,571441,636,2,23
CONT_s9_TheSwissAccount,16,160.0,1789011994.116,1789012004.116,0.644382,0.306467,0.189062,1.458897,37.293656,52.119749,13.258427,118,96.841749,99.872078,2.229026,24,852532,890,2,24
CONT_s9_TheSwissAccount,17,170.0,1789012004.116,1789012014.116,1.01239,1.351152,0.219795,4.965705,38.237423,52.666485,7.874016,100,87.070208,100.182515,25.626081,24,1321941,1270,2,24
CONT_s9_TheSwissAccount,18,180.0,1789012014.116,1789012024.116,1.011235,1.714367,0.0,4.965705,12.681118,58.805475,0.0,0,27.214588,45.465336,13.221796,8,1288776,1033,2,23
CONT_s9_TheSwissAccount,19,190.0,1789012024.116,1789012034.116,0.809719,1.689757,0.0,5.233459,27.037371,290.080918,0.094607,1,25.492247,40.345111,15.950986,7,1108862,1057,2,24
CONT_s9_TheSwissAccount,20,200.0,1789012034.116,1789012044.116,4.085743,1.915565,0.0,5.256606,4.618592,10.899736,0.353288,18,49.653772,70.295911,9.333247,19,5192056,5095,4,23
CONT_s9_TheSwissAccount,21,210.0,1789012044.116,1789012054.116,4.787458,0.774077,2.037217,5.213881,1.977942,4.267256,0.336485,21,44.778551,53.028841,6.018676,24,6404055,6241,2,24
CONT_s9_TheSwissAccount,22,220.0,1789012054.116,1789012064.116,3.046742,2.223319,0.0,5.363226,3.629996,12.479288,1.152134,44,42.798478,61.375144,12.97763,16,3893826,3819,4,23
CONT_s9_TheSwissAccount,23,230.0,1789012064.116,1789012074.116,5.075248,1.621854,0.290836,6.465106,8.811778,21.883609,1.288077,74,44.453348,52.780778,23.48492,24,6823289,5745,6,24
CONT_s9_TheSwissAccount,24,240.0,1789012074.116,1789012084.116,5.999806,0.126211,5.631307,6.177512,8.103638,9.657054,0.122568,8,49.776853,58.846716,6.425494,23,7815076,6527,4,23
CONT_s9_TheSwissAccount,25,250.0,1789012084.116,1789012094.116,5.833769,0.644948,2.848736,6.147877,2.921263,3.045377,0.0,0,35.208623,35.575232,0.58316,23,7547679,5576,2,23
CONT_s9_TheSwissAccount,26,260.0,1789012094.116,1789012104.116,3.266414,2.653657,0.0,6.321743,1946.086954,3384.854973,1.002565,43,32.542708,43.527212,8.291738,15,4244573,4289,4,23
CONT_s9_TheSwissAccount,27,270.0,1789012104.116,1789012114.116,4.783657,3.174898,0.943789,17.563241,1968.039062,18178.220324,4.616559,242,64.040906,99.393408,21.557,23,6181988,5242,6,23
CONT_s9_TheSwissAccount,28,280.0,1789012114.116,1789012124.792,3.122977,0.161725,2.786368,3.451956,14.556082,24.42294,19.016787,793,80.075281,94.69725,10.05464,26,4480228,4170,4,26
CONT_s9_TheSwissAccount,29,290.0,1789012124.792,1789012134.792,2.48537,1.248054,0.0,3.310162,16.334319,97.664273,0.371873,11,78.697806,93.644625,12.826319,20,3127716,2958,2,23
