run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s10_dynamic_OfForestAndMen,0,1.011453,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s10_dynamic_OfForestAndMen,1,1.323291,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,3256158.0,22.786,22.275,0.511,1.143214
CONT_s10_dynamic_OfForestAndMen,2,1.079232,0,0.0,0.0,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,3256158.0,22.786,22.275,0.511,1.143214
CONT_s10_dynamic_OfForestAndMen,3,1.083649,0,0.0,0.0,0,0.0,0.0,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,3256158.0,22.786,22.275,0.511,1.143214
CONT_s10_dynamic_OfForestAndMen,4,1.083964,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,1,3256158.0,22.275,3256158.0,22.786,22.275,0.511,1.143214
CONT_s10_dynamic_OfForestAndMen,5,0.510818,3,1657608.667,12.173333,3,1657608.667,12.173333,3,1657608.667,12.173333,3,1657608.667,12.173333,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,4,2057246.0,14.69875,152252.0,4.638,1.03,3.608,0.262617
CONT_s10_dynamic_OfForestAndMen,6,0.321287,2,150271.0,1.2905,5,1054673.6,7.8202,5,1054673.6,7.8202,5,1054673.6,7.8202,5,1054673.6,7.8202,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,152194.0,2.066,1.344,0.722,0.589328
CONT_s10_dynamic_OfForestAndMen,7,0.846718,0,0.0,0.0,2,150271.0,1.2905,5,1054673.6,7.8202,5,1054673.6,7.8202,5,1054673.6,7.8202,5,1054673.6,7.8202,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,6,1421587.667,10.229333,152194.0,2.066,1.344,0.722,0.589328
CONT_s10_dynamic_OfForestAndMen,8,0.52589,2,907701.5,8.497,2,907701.5,8.497,4,528986.25,4.89375,7,1012681.571,8.013571,7,1012681.571,8.013571,7,1012681.571,8.013571,7,1012681.571,8.013571,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,8,1293116.125,9.79625,147872.0,3.835,1.347,2.488,0.308468
CONT_s10_dynamic_OfForestAndMen,9,1.098133,1,1372489.0,9.231,3,1062630.667,8.741667,3,1062630.667,8.741667,5,697686.8,5.7612,8,1057657.5,8.16575,8,1057657.5,8.16575,8,1057657.5,8.16575,8,1057657.5,8.16575,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,9,1301935.333,9.733444,1372489.0,12.235,9.231,3.004,0.897418
