run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s10_throughput_BigBuckBunny,0,0.0,4.1552,2.712,Critical
CONT_s10_throughput_BigBuckBunny,1,10.0,4.018,0,Excellent
CONT_s10_throughput_BigBuckBunny,2,20.0,3.7878,0,Good
CONT_s10_throughput_BigBuckBunny,3,30.0,3.7878,0,Good
CONT_s10_throughput_BigBuckBunny,4,40.0,3.7878,0,Good
CONT_s10_throughput_BigBuckBunny,5,50.0,3.8344,0,Good
CONT_s10_throughput_BigBuckBunny,6,60.0,4.2819,0,Excellent
CONT_s10_throughput_BigBuckBunny,7,70.0,4.2247,0.898,Degraded
CONT_s10_throughput_BigBuckBunny,8,80.0,3.5153,0,Good
CONT_s10_throughput_BigBuckBunny,9,90.0,3.193,0,Good
CONT_s10_throughput_BigBuckBunny,10,100.0,3.1854,0,Good
CONT_s10_throughput_BigBuckBunny,11,110.0,3.3463,0,Good
CONT_s10_throughput_BigBuckBunny,12,120.0,2.8979,0,Degraded
CONT_s10_throughput_BigBuckBunny,13,130.0,2.8979,0,Degraded
CONT_s10_throughput_BigBuckBunny,14,140.0,2.4623,0,Degraded
CONT_s10_throughput_BigBuckBunny,15,150.0,2.7848,0,Degraded
CONT_s10_throughput_BigBuckBunny,16,160.0,2.8979,0,Degraded
CONT_s10_throughput_BigBuckBunny,17,170.0,2.8452,0,Degraded
CONT_s10_throughput_BigBuckBunny,18,180.0,2.8393,0,Degraded
CONT_s10_throughput_BigBuckBunny,19,190.0,2.8393,0,Degraded
CONT_s10_throughput_BigBuckBunny,20,200.0,2.4769,0.606,Degraded
CONT_s10_throughput_BigBuckBunny,21,210.0,1.5757,0,Critical
CONT_s10_throughput_BigBuckBunny,22,220.0,1.6175,0,Critical
CONT_s10_throughput_BigBuckBunny,23,230.0,1.519,0,Critical
CONT_s10_throughput_BigBuckBunny,24,240.0,1.4457,0,Critical
CONT_s10_throughput_BigBuckBunny,25,250.0,1.4457,0,Critical
CONT_s10_throughput_BigBuckBunny,26,260.0,1.4457,0,Critical
CONT_s10_throughput_BigBuckBunny,27,270.0,1.519,6.508,Critical
CONT_s10_throughput_BigBuckBunny,28,280.0,1.5923,0,Critical
