run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s11_bola_OfForestAndMen,0,0.66382,1183.0,1196661.0,141.0,1.0,0.017,0.075,14.318,0.66435,0.668619,82849.820566,10535.238521,8486.957447,1721375.212462,1312.011895,0.154592,-1.156898,-0.308599,6104.0,10779.0,8.390071,1.653901,1.286041,0.153281,-0.857127,0.06958,6.0,12.0,1183.0,1196661.0,141.0,1.0,0.017,0.075,14.318,0.66435,0.668619,82849.820566,10535.238521,8486.957447,1721375.212462,1312.011895,0.154592,-1.156898,-0.308599,6104.0,10779.0,8.390071,1.653901,1.286041,0.153281,-0.857127,0.06958,6.0,12.0,1183.0,1196661.0,141.0,1.0,0.017,0.075,14.318,0.66435,0.668619,82849.820566,10535.238521,8486.957447,1721375.212462,1312.011895,0.154592,-1.156898,-0.308599,6104.0,10779.0,8.390071,1.653901,1.286041,0.153281,-0.857127,0.06958,6.0,12.0,0
CONT_s11_bola_OfForestAndMen,1,0.797024,921.0,998053.0,81.0,0.826531,0.027,1.793,8.18,0.798442,0.976091,105093.177332,-54726.81484,10184.214286,1079884860.64433,32861.601614,3.226719,9.578699,90.867871,0.0,330365.0,9.397959,676.180202,26.003465,2.766927,9.489822,89.751307,0.0,262.0,2104.0,2194714.0,222.0,0.92887,0.017,1.793,22.6,0.719284,0.77689,87173.782244,-22806.622018,9182.903766,441833500.683978,21019.835886,2.289018,15.01406,227.005073,0.0,330365.0,8.803347,276.805703,16.637479,1.889904,14.8285,223.327455,0.0,262.0,2104.0,2194714.0,222.0,0.92887,0.017,1.793,22.6,0.719284,0.77689,87173.782244,-22806.622018,9182.903766,441833500.683978,21019.835886,2.289018,15.01406,227.005073,0.0,330365.0,8.803347,276.805703,16.637479,1.889904,14.8285,223.327455,0.0,262.0,1
CONT_s11_bola_OfForestAndMen,2,0.52538,522.0,658468.0,59.0,0.602041,0.66,0.031,9.309,0.526774,0.565876,63596.236657,17112.017254,6719.061224,38024739.501368,6166.420315,0.91775,0.206654,-1.350764,0.0,18104.0,5.326531,23.789186,4.877416,0.915683,0.1897,-1.387578,0.0,14.0,2626.0,2853182.0,281.0,0.833828,0.017,0.031,34.362,0.663338,0.664264,86137.2041,-8701.086784,8466.41543,325198461.445952,18033.259867,2.129976,16.939217,300.071543,0.0,330365.0,7.792285,205.438869,14.333139,1.839401,16.603456,292.36836,0.0,262.0,2626.0,2853182.0,281.0,0.833828,0.017,0.031,34.362,0.663338,0.664264,86137.2041,-8701.086784,8466.41543,325198461.445952,18033.259867,2.129976,16.939217,300.071543,0.0,330365.0,7.792285,205.438869,14.333139,1.839401,16.603456,292.36836,0.0,262.0,2
CONT_s11_bola_OfForestAndMen,3,0.570957,578.0,714940.0,65.0,0.663265,0.071,0.013,9.916,0.571952,0.576797,65157.76952,-5372.825492,7295.306122,36234478.503261,6019.508161,0.825121,0.027329,-1.406628,0.0,18156.0,5.897959,23.577109,4.855627,0.823272,0.019026,-1.399126,0.0,15.0,2021.0,2371461.0,205.0,0.697279,0.027,0.013,29.96,0.63239,0.633234,75529.101949,125656.473332,8066.193878,384394846.470815,19605.990066,2.430637,15.17485,247.09971,0.0,330365.0,6.87415,242.786155,15.581597,2.266694,14.988517,243.15427,0.0,262.0,3204.0,3568122.0,346.0,0.795402,0.017,0.013,44.38,0.64276,0.643195,80809.465491,60830.346811,8202.57931,260104963.216622,16127.769939,1.966183,18.369819,364.734332,0.0,330365.0,7.365517,164.946734,12.843159,1.743687,17.946398,353.879801,0.0,262.0,3
CONT_s11_bola_OfForestAndMen,4,0.852386,845.0,1057365.0,97.0,1.0,0.089,0.09,9.821,0.845892,0.861309,106565.061588,8060.951669,10900.670103,13823887.056701,3718.048824,0.341084,0.218091,-1.927538,7552.0,15104.0,8.71134,8.853308,2.975451,0.341561,0.18934,-1.954423,6.0,12.0,1945.0,2430773.0,221.0,0.754266,0.66,0.09,29.25,0.648206,0.664827,78548.70106,-104534.817391,8296.153584,32637504.03455,5712.924298,0.688623,-0.185488,-1.180611,0.0,18156.0,6.638225,20.834424,4.564474,0.687605,-0.196939,-1.191948,0.0,15.0,4049.0,4625487.0,443.0,0.832707,0.017,0.09,54.303,0.680094,0.681434,81742.457841,44114.176486,8694.524436,216177077.553074,14702.961523,1.69106,19.719127,429.291073,0.0,330365.0,7.610902,136.686359,11.691294,1.536125,19.38243,419.962627,0.0,262.0,4
CONT_s11_bola_OfForestAndMen,5,1.11189,1190.0,1394959.0,96.0,0.979592,0.012,0.054,9.934,1.115967,1.123382,152267.310631,-75901.752473,14234.27551,805082447.686198,28373.974831,1.993356,9.551551,90.503799,0.0,290422.0,12.142857,531.814433,23.061102,1.89915,9.473641,89.483511,0.0,236.0,2613.0,3167264.0,258.0,0.880546,0.071,0.054,29.875,0.844604,0.848138,107137.182546,-260508.231156,10809.774744,292107358.00388,17091.148528,1.581083,14.995526,243.196253,0.0,290422.0,8.918089,193.97272,13.927409,1.561703,14.846398,239.88728,0.0,236.0,5239.0,6020446.0,539.0,0.855556,0.017,0.054,64.339,0.747765,0.748591,87006.93465,-61650.815488,9556.263492,310687913.787377,17626.341475,1.84448,16.013115,274.405186,0.0,330365.0,8.315873,200.105153,14.145853,1.701066,15.788145,268.593313,0.0,262.0,5
CONT_s11_bola_OfForestAndMen,6,0.683364,710.0,858013.0,70.0,0.714286,0.049,0.011,9.94,0.68641,0.690554,76789.147477,68150.909885,8755.234694,39992378.511361,6323.95276,0.722305,-0.290319,-1.30455,0.0,21104.0,7.244898,26.867242,5.183362,0.71545,-0.357319,-1.390676,0.0,16.0,2745.0,3310337.0,263.0,0.897611,0.089,0.011,29.9,0.882757,0.885709,117691.481682,-31022.93294,11298.078498,290387763.620529,17040.767695,1.508289,15.048949,244.385866,0.0,290422.0,9.368601,192.740381,13.883097,1.481875,14.897701,241.05716,0.0,236.0,5949.0,6878459.0,609.0,0.836538,0.017,0.011,74.382,0.73952,0.739798,91606.63612,-166347.749955,9448.432692,274217847.456262,16559.524373,1.752621,16.721178,305.472557,0.0,330365.0,8.171703,176.849432,13.298475,1.627381,16.464045,298.502166,0.0,262.0,6
CONT_s11_bola_OfForestAndMen,7,0.771306,893.0,959267.0,79.0,0.814433,0.092,0.066,9.842,0.767414,0.779733,101323.927403,-93255.730986,9889.350515,28671263.209192,5354.55537,0.541447,-0.929636,-0.245266,0.0,19656.0,9.206186,25.790378,5.078423,0.551632,-0.875905,-0.490637,0.0,19.0,2793.0,3212239.0,245.0,0.836177,0.012,0.066,29.922,0.856597,0.85883,100043.703834,228231.36551,10963.273038,295763389.411497,17197.772804,1.568671,14.682177,236.629928,0.0,290422.0,9.532423,198.147062,14.076472,1.476694,14.243701,227.268829,0.0,236.0,6842.0,7837726.0,688.0,0.833939,0.017,0.066,84.327,0.742824,0.743556,92921.091763,-201045.849474,9500.273939,245297884.461274,15661.988522,1.648583,17.422707,336.834435,0.0,330365.0,8.293333,159.146861,12.615342,1.521143,16.983558,324.777062,0.0,262.0,7
CONT_s11_bola_OfForestAndMen,8,1.813979,2131.0,2420676.0,104.0,1.0,0.037,0.019,10.588,1.819373,1.828996,276833.843483,-341290.63115,23275.730769,13247999317.344297,115099.953594,4.945063,10.048159,98.980564,6104.0,1185700.0,20.490385,8254.718353,90.855481,4.434054,10.046034,98.952374,6.0,938.0,3734.0,4237956.0,253.0,0.846154,0.049,0.019,30.576,1.106371,1.108832,127382.333117,-365655.249295,14173.765886,4645803594.401384,68160.132001,4.808894,17.066198,290.849867,0.0,1185700.0,12.488294,2905.089628,53.898883,4.315952,17.016217,289.71701,0.0,938.0,8973.0,10258402.0,792.0,0.85253,0.017,0.019,95.018,0.863375,0.863702,98364.794359,-367017.507467,11042.413348,1707107131.712581,41317.152996,3.741678,25.604102,707.868142,0.0,1185700.0,9.658773,1072.319861,32.746295,3.390316,25.410972,700.056859,0.0,938.0,8
CONT_s11_bola_OfForestAndMen,9,0.844891,961.0,1054179.0,92.0,0.948454,0.084,0.552,9.364,0.843343,0.900623,110493.693996,14224.541212,10867.824742,10420284.312715,3228.046517,0.297028,-1.78536,4.15987,0.0,15208.0,9.907216,8.772552,2.961849,0.298959,-1.773343,4.023512,0.0,14.0,3985.0,4434122.0,275.0,0.922819,0.092,0.552,30.0,1.157583,1.182433,171123.35683,-467157.949185,14879.604027,4645134349.35109,68155.222466,4.580446,17.097044,291.217308,0.0,1185700.0,13.372483,2901.251361,53.863265,4.027918,17.059188,290.359663,0.0,938.0,9934.0,11312581.0,884.0,0.861598,0.017,0.552,104.485,0.861468,0.866159,104948.621223,-585305.952817,11025.907407,1546535066.01776,39326.010044,3.566691,26.88325,781.144241,0.0,1185700.0,9.682261,971.6687,31.171601,3.219455,26.668197,772.063987,0.0,938.0,9
