run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s11_bola_TheSwissAccount,0,0.0,1789287251.174,1789287261.174,0.665237,0.119099,0.35667,0.950616,842119,821,6,99,41.923116,80.372695,0.0,0,141.932359,243.463045,58.240723,99,0.716012,0.660658,0.100492,0.718118,0.665237,0.0,821,0.665286,0.999926,842119,0.0
CONT_s11_bola_TheSwissAccount,1,10.0,1789287261.174,1789287271.174,0.371598,0.343405,0.0,0.978787,470276,460,2,99,20.699263,25.296547,0.0,0,98.81222,108.347786,33.234181,55,0.0,0.122842,0.279854,0.978787,-0.293639,0.558595,-361,0.518477,0.716711,1312395,0.444444
CONT_s11_bola_TheSwissAccount,2,20.0,1789287271.174,1789287281.174,0.824299,3.242773,0.0,32.738599,1044916,853,2,99,43.474014,143.11948,0.937866,8,167.629901,219.551912,60.263425,72,0.0,1.518066,5.809041,32.738599,0.452701,2.218255,393,0.620964,1.327451,2357311,0.272727
CONT_s11_bola_TheSwissAccount,3,30.0,1789287281.174,1789287291.174,0.523203,0.4842,0.0,1.421213,655159,531,2,98,31.550075,97.398468,0.0,0,134.79059,181.825644,38.097002,59,0.591155,0.754224,0.410054,1.362118,-0.301096,0.634725,-322,0.596694,0.876836,3012470,0.397959
CONT_s11_bola_TheSwissAccount,4,40.0,1789287291.174,1789287301.174,0.849451,0.291595,0.581482,1.326072,1074830,861,2,99,21.900177,22.744644,0.0,0,135.212017,140.489548,20.252931,99,0.83625,0.855263,0.289207,1.184627,0.326248,1.623559,330,0.647334,1.31223,4087300,0.0
CONT_s11_bola_TheSwissAccount,5,50.0,1789287301.174,1789287311.174,0.854532,0.294888,0.497674,1.36454,1081525,869,2,99,21.906115,22.620469,0.0,0,133.425552,140.517865,22.372459,99,0.59,0.844419,0.296332,1.184627,0.005081,1.005982,8,0.681937,1.253095,5168825,0.0
CONT_s11_bola_TheSwissAccount,6,60.0,1789287311.174,1789287321.174,2.27054,13.210375,0.0,130.036563,2877616,2316,4,99,34.363793,66.419326,1.813472,42,139.33337,209.47429,58.063421,77,1.178849,0.327908,0.528982,1.77,1.416008,2.657057,1447,0.909485,2.496512,8046441,0.222222
CONT_s11_bola_TheSwissAccount,7,70.0,1789287321.174,1789287331.174,0.442786,0.521229,0.0,1.6512,556731,449,2,98,29.560229,120.924398,0.0,0,128.066595,176.229574,43.626312,45,1.408872,0.79938,0.421788,1.410243,-1.827754,0.195014,-1867,0.851455,0.520035,8603172,0.540816
CONT_s11_bola_TheSwissAccount,8,80.0,1789287331.174,1789287341.174,0.95701,0.238343,0.472351,1.647141,1203831,1001,4,98,26.227874,48.328639,0.0,0,149.145246,189.335688,36.651984,98,0.944155,0.973078,0.201123,1.302768,0.514224,2.161338,552,0.863132,1.108764,9807003,0.0
CONT_s11_bola_TheSwissAccount,9,90.0,1789287341.174,1789287351.174,2.655871,15.190982,0.0,149.068093,3378860,2751,4,99,39.802378,60.935142,0.363504,10,159.684732,214.945101,41.048759,85,0.466885,6.569982,27.193448,149.068093,1.698861,2.775176,1750,1.043642,2.54481,13185863,0.141414
CONT_s11_bola_TheSwissAccount,10,100.0,1789287351.174,1789287361.174,0.631408,0.455651,0.0,1.680776,797649,711,5,98,40.655916,160.276871,0.281294,2,146.070011,201.63845,42.230493,69,0.710456,0.150215,0.403729,1.680776,-2.024463,0.23774,-2040,1.006168,0.627537,13983512,0.295918
CONT_s11_bola_TheSwissAccount,11,110.0,1789287361.174,1789287371.174,0.630325,0.458938,0.0,1.522641,796355,669,2,98,30.899433,103.690286,0.0,0,116.987823,162.331308,41.80239,70,0.823612,0.887295,0.274217,1.522641,-0.001083,0.998285,-42,0.974826,0.646603,14779867,0.285714
CONT_s11_bola_TheSwissAccount,12,120.0,1789287371.174,1789287381.174,0.821832,2.366769,0.0,23.494006,1039012,904,2,98,28.913552,50.578659,2.433628,22,189.485621,333.25018,101.826588,82,0.35321,0.399766,0.155901,0.849505,0.191507,1.303823,235,0.963078,0.853339,15818879,0.183673
CONT_s11_bola_TheSwissAccount,13,130.0,1789287381.174,1789287391.174,0.40508,0.178098,0.0,0.849398,511768,518,4,98,37.697035,48.590942,4.054054,21,232.517122,330.476788,80.371405,91,0.357829,0.40924,0.176569,0.606202,-0.416752,0.492899,-386,0.923235,0.438762,16330647,0.071429
CONT_s11_bola_TheSwissAccount,14,140.0,1789287391.174,1789287401.174,0.407913,0.087418,0.232977,0.596589,511217,579,5,97,78.001392,115.138615,7.081174,41,272.938408,347.196711,77.143927,97,0.471807,0.406717,0.084959,0.489981,0.002833,1.006994,61,0.889131,0.458777,16841864,0.0
CONT_s11_bola_TheSwissAccount,15,150.0,1789287401.174,1789287411.174,0.408988,0.131276,0.0,1.199616,520107,610,6,98,56.266256,106.096577,8.688525,53,275.26863,347.422161,80.746935,96,0.5838,0.404657,0.204755,1.199616,0.001075,1.002635,31,0.858922,0.476164,17361971,0.020408
CONT_s11_bola_TheSwissAccount,16,160.0,1789287411.174,1789287421.174,0.42822,0.113013,0.119385,0.699635,535961,520,4,96,97.38271,134.757403,0.192308,1,271.541099,422.158225,95.847271,96,0.5838,0.429409,0.095531,0.5838,0.019232,1.047023,-90,0.833803,0.513575,17897932,0.0
CONT_s11_bola_TheSwissAccount,17,170.0,1789287421.174,1789287431.174,0.315631,0.246607,0.0,1.189262,399548,361,4,97,62.059757,153.596938,0.0,0,217.583642,394.041852,108.163986,67,0.0,0.156837,0.305263,1.189262,-0.112589,0.737077,-159,0.804947,0.392114,18297480,0.309278
CONT_s11_bola_TheSwissAccount,18,180.0,1789287431.174,1789287441.174,0.149859,0.276926,0.0,1.189262,189604,155,2,97,54.909364,253.822946,0.0,0,154.172843,284.301866,105.007777,26,0.578697,0.14086,0.294463,1.188123,-0.165772,0.474792,-206,0.770412,0.194518,18487084,0.731959
CONT_s11_bola_TheSwissAccount,19,190.0,1789287441.174,1789287451.174,0.268966,0.303405,0.0,1.193781,340972,305,4,97,77.332813,327.573181,0.655738,2,235.618484,313.345797,88.207082,51,0.0,0.200931,0.285826,1.174113,0.119107,1.794794,150,0.745246,0.360909,18828056,0.474227
CONT_s11_bola_TheSwissAccount,20,200.0,1789287451.174,1789287461.174,1.385432,6.082301,0.0,38.456391,1746663,1332,3,96,56.476104,177.380799,0.750751,10,194.007325,285.958185,154.937977,25,0.0,0.93648,4.955388,27.157931,1.116466,5.150956,1027,0.775829,1.785744,20574719,0.739583
CONT_s11_bola_TheSwissAccount,21,210.0,1789287461.174,1789287471.174,0.515938,3.556964,0.0,25.781707,653384,491,2,97,33.304707,0.0,0.0,0,0.464915,1.193529,0.515208,3,0.0,0.889299,4.704223,25.781707,-0.869494,0.372402,-841,0.763883,0.675415,21228103,0.979381
CONT_s11_bola_TheSwissAccount,22,220.0,1789287471.174,1789287481.174,0.754172,4.202597,0.0,25.502884,945783,712,4,96,0.740818,0.0,0.0,0,0.427744,0.562658,0.18513,3,0.0,0.87941,4.653399,25.502884,0.238234,1.461749,221,0.763453,0.987843,22173886,0.96875
CONT_s11_bola_TheSwissAccount,23,230.0,1789287481.174,1789287491.174,1.143153,5.459717,0.0,45.047579,1433777,1091,4,96,2.71673,21.420235,0.0,0,99.51901,211.103787,96.510735,16,0.0,2.992537,8.710372,45.047579,0.388981,1.515772,379,0.779156,1.467168,23607663,0.895833
CONT_s11_bola_TheSwissAccount,24,240.0,1789287491.174,1789287501.174,2.511848,5.773374,0.0,25.953206,3157976,2416,4,96,10.5996,30.681309,0.0,0,112.350317,213.950825,98.437255,52,0.007954,2.327253,5.706949,25.953206,1.368695,2.197298,1325,0.848161,2.961523,26765639,0.666667
CONT_s11_bola_TheSwissAccount,25,250.0,1789287501.174,1789287511.174,1.200624,3.966631,0.0,21.293002,1511353,1158,3,96,9.342871,29.920507,0.0,0,115.983779,214.353341,98.463765,24,0.0,0.734241,3.885241,21.293002,-1.311224,0.477984,-1258,0.861604,1.393475,28276992,0.833333
