run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s11_dynamic_TheSwissAccount,1789342632.395,0.1001,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342632.496,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342632.597,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342632.699,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342632.801,0.1017,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342632.902,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.004,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.105,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.206,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.308,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.409,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.511,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.612,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.713,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.815,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342633.916,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.018,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.119,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.221,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.324,0.1028,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.425,0.1015,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.526,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.629,0.1022,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.73,0.1017,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.832,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342634.933,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.035,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.136,0.1017,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.24,0.1035,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.342,0.1017,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.443,0.1013,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.544,0.1014,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.646,0.1016,0,0,0,0,0,0
CONT_s11_dynamic_TheSwissAccount,1789342635.749,0.1034,0,0,0,0,0,0
