run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s11_l2a_TearsOfSteel,0,0.0,1789292653.897,1789292663.897,0.663614,0.101687,0.436833,0.969853,65.032411,178.072388,0.0,0,138.833178,229.023941,49.135646,98,832599,828,7,98
CONT_s11_l2a_TearsOfSteel,1,10.0,1789292663.897,1789292674.191,0.660117,0.099739,0.470897,0.75824,54.808278,301.341109,0.0,0,115.172506,197.663762,27.719949,102,862179,851,4,102
CONT_s11_l2a_TearsOfSteel,2,20.0,1789292674.191,1789292684.191,1.378337,6.194156,0.371037,62.341349,75.285093,338.857097,2.416721,37,135.674052,229.132615,46.082305,98,1728328,1531,4,98
CONT_s11_l2a_TearsOfSteel,3,30.0,1789292684.191,1789292695.381,0.856115,0.223445,0.355973,1.417143,51.770776,270.637392,0.0,0,124.571593,181.691504,39.036912,111,1216533,1046,4,111
CONT_s11_l2a_TearsOfSteel,4,40.0,1789292695.381,1789292705.381,0.850335,0.273258,0.388794,1.419824,63.685311,212.281923,0.0,0,151.351489,182.423799,20.158003,98,1066820,867,4,98
CONT_s11_l2a_TearsOfSteel,5,50.0,1789292705.381,1789292715.381,0.858129,0.207608,0.583729,1.398984,57.506514,130.023947,0.0,0,146.233519,182.423799,37.237328,99,1088479,968,4,99
CONT_s11_l2a_TearsOfSteel,6,60.0,1789292715.381,1789292725.381,2.295845,11.294268,0.0,95.992812,25.56238,66.120252,2.959831,70,149.375339,177.071697,219.059895,76,2884165,2365,6,98
CONT_s11_l2a_TearsOfSteel,7,70.0,1789292725.381,1789292735.381,0.754568,0.4686,0.0,2.023068,25.519307,65.634358,0.0,0,140.25509,177.06833,41.610017,77,952144,763,2,98
CONT_s11_l2a_TearsOfSteel,8,80.0,1789292735.381,1789292745.381,0.955407,0.221852,0.353897,1.412918,73.866246,339.886935,0.0,0,164.242798,237.364712,40.440381,98,1205905,1052,6,98
CONT_s11_l2a_TearsOfSteel,9,90.0,1789292745.381,1789292756.738,1.944026,8.474116,0.584923,85.794793,76.198969,169.27812,2.633745,64,171.089294,213.229269,34.902485,111,2788684,2430,7,111
CONT_s11_l2a_TearsOfSteel,10,100.0,1789292756.738,1789292766.738,0.88883,0.233697,0.559926,1.406079,54.587993,149.584523,0.0,0,140.394586,199.361276,30.776737,98,1125093,957,6,98
CONT_s11_l2a_TearsOfSteel,11,110.0,1789292766.738,1789292776.738,0.965464,1.440394,0.0,14.733798,57.219167,175.279205,1.683168,17,144.236545,175.527969,34.704479,93,1221945,1010,4,98
CONT_s11_l2a_TearsOfSteel,12,120.0,1789292776.738,1789292786.738,0.353591,0.244774,0.0,1.049526,43.497786,111.504142,4.878049,22,228.429748,300.195356,73.037383,78,447388,451,2,98
CONT_s11_l2a_TearsOfSteel,13,130.0,1789292786.738,1789292798.808,0.409255,0.159762,0.0,0.850135,169.5755,643.696754,7.196402,48,246.415444,349.199292,87.664703,115,619004,667,6,117
CONT_s11_l2a_TearsOfSteel,14,140.0,1789292798.808,1789292811.834,0.411178,0.123175,0.0,1.187823,128.269802,304.591545,7.652399,59,281.571974,356.78332,76.771553,126,676670,771,6,127
CONT_s11_l2a_TearsOfSteel,15,150.0,1789292811.834,1789292826.277,0.424436,0.122534,0.0,0.702334,139.491612,249.95168,0.132802,1,311.537434,443.135342,81.1824,139,771490,753,5,140
CONT_s11_l2a_TearsOfSteel,16,160.0,1789292826.277,1789292836.85,0.42735,0.153797,0.0,0.704986,102.5796,283.537751,0.0,0,218.143688,298.658418,73.908474,100,572124,511,4,103
CONT_s11_l2a_TearsOfSteel,17,170.0,1789292836.85,1789292846.94,0.423206,0.186327,0.0,0.931077,105.568999,435.359658,0.205339,1,227.886358,314.022911,83.086422,91,539297,487,5,98
CONT_s11_l2a_TearsOfSteel,18,180.0,1789292846.94,1789292856.94,18.319049,66.882163,0.0,323.709462,97.469234,272.777129,0.0692,12,228.638331,312.790669,99.67144,88,23089551,17341,4,97
CONT_s11_l2a_TearsOfSteel,19,190.0,1789292856.94,1789292866.94,10.756116,52.093702,0.0,327.904092,0.188209,0.060847,0.0,0,0.881301,2.03928,0.531855,7,13634922,10165,2,97
CONT_s11_l2a_TearsOfSteel,20,200.0,1789292866.94,1789292876.94,17.921276,68.189223,0.0,340.424,0.436102,0.236335,0.0,0,1.449752,2.183925,0.620359,12,22630922,16868,2,97
CONT_s11_l2a_TearsOfSteel,21,210.0,1789292876.94,1789292886.94,6.344705,35.375721,0.0,240.821958,0.539272,0.402315,0.0,0,1.157865,2.024746,0.606525,7,8013089,5982,2,97
CONT_s11_l2a_TearsOfSteel,22,220.0,1789292886.94,1789292896.94,13.821308,55.835741,0.0,330.541438,7.231315,37.575329,0.0,0,95.515708,215.313374,98.205048,43,17516746,13103,4,97
CONT_s11_l2a_TearsOfSteel,23,230.0,1789292896.94,1789292906.94,9.130273,41.058186,0.0,321.197091,11.036205,41.98408,0.011644,1,106.248307,214.607212,97.696211,55,11446747,8588,4,96
CONT_s11_l2a_TearsOfSteel,24,240.0,1789292906.94,1789292916.94,5.079609,33.471765,0.0,312.696858,21.108642,82.316464,0.0,0,100.019148,153.439852,41.022779,53,6431214,4831,2,97
CONT_s11_l2a_TearsOfSteel,25,250.0,1789292916.94,1789292942.606,1.484839,5.215477,0.0,81.057285,84.237977,510.688372,0.738101,29,101.500591,142.044572,49.36257,245,4780146,3929,4,246
CONT_s11_l2a_TearsOfSteel,26,260.0,1789292942.606,1789292952.606,0.683998,0.10764,0.347481,0.94569,43.714361,60.176064,6.680806,63,171.009411,213.498117,41.956616,96,862494,943,6,96
