run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s12_l2a_TheSwissAccount,0,0.199084,275.0,284615.0,71.0,0.633929,0.105,0.01,11.238,0.200557,0.202609,25108.886111,993.249395,2541.205357,6448922.597088,2539.472897,0.999318,0.665285,-0.575805,0.0,8097.0,2.455357,5.943935,2.438019,0.992939,1.17471,2.920521,0.0,14.0,275.0,284615.0,71.0,0.633929,0.105,0.01,11.238,0.200557,0.202609,25108.886111,993.249395,2541.205357,6448922.597088,2539.472897,0.999318,0.665285,-0.575805,0.0,8097.0,2.455357,5.943935,2.438019,0.992939,1.17471,2.920521,0.0,14.0,275.0,284615.0,71.0,0.633929,0.105,0.01,11.238,0.200557,0.202609,25108.886111,993.249395,2541.205357,6448922.597088,2539.472897,0.999318,0.665285,-0.575805,0.0,8097.0,2.455357,5.943935,2.438019,0.992939,1.17471,2.920521,0.0,14.0,0
CONT_s12_l2a_TheSwissAccount,1,0.201087,305.0,293356.0,98.0,0.859649,0.092,0.086,11.568,0.1998,0.202874,25120.791007,3206.443656,2573.298246,2413866.742121,1553.662364,0.603763,-0.507386,-0.918818,0.0,4604.0,2.675439,2.150365,1.466412,0.548102,-0.525725,-0.517022,0.0,6.0,580.0,577971.0,169.0,0.747788,0.105,0.086,22.908,0.200172,0.201841,25084.535688,1072.022263,2557.393805,4394024.613117,2096.192885,0.81966,0.468191,-0.142349,0.0,8097.0,2.566372,4.024464,2.006107,0.78169,0.857584,3.462576,0.0,14.0,580.0,577971.0,169.0,0.747788,0.105,0.086,22.908,0.200172,0.201841,25084.535688,1072.022263,2557.393805,4394024.613117,2096.192885,0.81966,0.468191,-0.142349,0.0,8097.0,2.566372,4.024464,2.006107,0.78169,0.857584,3.462576,0.0,14.0,1
CONT_s12_l2a_TheSwissAccount,2,1.670295,1726.0,2096110.0,88.0,0.897959,0.119,0.032,9.849,1.676888,1.702597,251932.979855,108322.402983,21388.877551,28192757538.582798,167906.990738,7.850201,9.742581,92.949155,0.0,1666360.0,17.612245,15703.64191,125.314173,7.115173,9.735216,92.853864,0.0,1245.0,2306.0,2674081.0,257.0,0.79321,0.105,0.032,32.962,0.646323,0.649009,78510.156802,-507997.232358,8253.33642,8544667449.697618,92437.370417,11.2,17.896041,318.513731,0.0,1666360.0,7.117284,4766.667316,69.041055,9.700478,17.872202,317.943325,0.0,1245.0,2306.0,2674081.0,257.0,0.79321,0.105,0.032,32.962,0.646323,0.649009,78510.156802,-507997.232358,8253.33642,8544667449.697618,92437.370417,11.2,17.896041,318.513731,0.0,1666360.0,7.117284,4766.667316,69.041055,9.700478,17.872202,317.943325,0.0,1245.0,2
CONT_s12_l2a_TheSwissAccount,3,0.408027,668.0,576711.0,110.0,1.0,0.071,0.094,11.205,0.405777,0.411753,50971.722088,4884.513813,5242.827273,1569324.180901,1252.726698,0.238941,0.125125,-0.445149,3052.0,7900.0,6.072727,2.56347,1.601084,0.263652,0.271692,-0.21609,3.0,10.0,2699.0,2966177.0,296.0,0.919255,0.092,0.094,32.93,0.716554,0.720602,114693.306109,-414728.144495,9211.729814,8587008137.630826,92666.111053,10.059578,17.843723,316.60058,0.0,1666360.0,8.381988,4786.36765,69.183579,8.253839,17.818048,315.989243,0.0,1245.0,2974.0,3250792.0,367.0,0.845622,0.105,0.094,44.27,0.584819,0.587448,89011.719215,-631991.250543,7490.304147,6376080619.062016,79850.363926,10.660497,20.730729,428.176868,0.0,1666360.0,6.852535,3556.587903,59.637135,8.702931,20.690647,427.067276,0.0,1245.0,3
CONT_s12_l2a_TheSwissAccount,4,0.405501,589.0,522090.0,100.0,1.0,0.008,0.08,10.199,0.406019,0.409522,50828.438869,5135.110579,5220.9,1586411.161616,1259.52815,0.241247,-0.189501,-0.656888,3052.0,7756.0,5.89,2.260505,1.503498,0.255263,0.098523,0.05749,3.0,10.0,2983.0,3194911.0,298.0,0.967532,0.119,0.08,31.458,0.807382,0.812489,77152.600542,1022854.182146,10373.087662,8965691584.269161,94687.335923,9.128173,17.452463,302.727146,0.0,1666360.0,9.685065,4992.802773,70.659768,7.295745,17.433183,302.278326,0.0,1245.0,3563.0,3772882.0,467.0,0.874532,0.105,0.08,54.571,0.551228,0.553097,84329.410329,-553915.175184,7065.322097,5180897817.40075,71978.453841,10.187569,23.005895,527.848853,0.0,1666360.0,6.672285,2889.871763,53.757528,8.05684,22.954281,526.263725,0.0,1245.0,4
CONT_s12_l2a_TheSwissAccount,5,0.407437,572.0,509543.0,97.0,1.0,0.023,0.076,9.901,0.407634,0.41171,50878.640831,7210.067506,5253.020619,1795616.791237,1340.006265,0.255093,0.123995,-0.665648,3000.0,8108.0,5.896907,2.614261,1.616868,0.274189,-0.055177,-0.414585,2.0,9.0,1829.0,1608344.0,307.0,1.0,0.071,0.076,31.51,0.406443,0.408339,50931.454828,5236.770787,5238.905537,1635763.693662,1278.969778,0.244129,0.02928,-0.576425,3000.0,8108.0,5.957655,2.472057,1.572278,0.263909,0.115478,-0.171469,2.0,10.0,4135.0,4282425.0,564.0,0.893819,0.105,0.076,64.575,0.529054,0.530537,78767.981282,-443712.316846,6786.727417,4383905605.046215,66211.068599,9.755964,25.014866,624.496944,0.0,1666360.0,6.55309,2445.399955,49.450985,7.546208,24.95207,622.400315,0.0,1245.0,5
CONT_s12_l2a_TheSwissAccount,6,0.271531,415.0,399554.0,79.0,0.692982,0.027,0.162,11.566,0.271921,0.276365,31814.745669,58164.011614,3504.859649,17619534.634995,4197.56294,1.197641,4.618314,34.640876,0.0,37206.0,3.640351,17.754464,4.213605,1.157472,4.390586,32.480675,0.0,37.0,1576.0,1431187.0,276.0,0.88746,0.008,0.162,31.872,0.357328,0.359234,47354.430328,39490.597503,4601.88746,8184129.293745,2860.791725,0.621656,4.470418,52.897274,0.0,37206.0,5.067524,9.185748,3.0308,0.598083,3.403916,38.117266,0.0,37.0,4550.0,4681979.0,643.0,0.863087,0.105,0.162,76.244,0.489548,0.491263,72574.850538,-298104.613377,6284.53557,3716252025.372723,60961.069753,9.700171,27.160898,737.135909,0.0,1666360.0,6.107383,2074.499206,45.546671,7.457642,27.067728,733.747631,0.0,1245.0,6
CONT_s12_l2a_TheSwissAccount,7,0.180802,204.0,240598.0,41.0,0.398058,0.147,0.074,10.436,0.180612,0.184437,22422.932327,1905.115294,2335.902913,8943779.931658,2990.61531,1.280282,0.582936,-1.507551,0.0,7552.0,1.980583,6.293737,2.508732,1.266664,0.538723,-1.593488,0.0,6.0,1191.0,1149695.0,217.0,0.691083,0.023,0.074,32.315,0.28377,0.284622,34591.493478,132433.165319,3661.449045,11198519.698673,3346.418937,0.91396,3.112402,30.297637,0.0,37206.0,3.792994,11.723785,3.424001,0.902717,2.810685,26.233367,0.0,37.0,4754.0,4922577.0,684.0,0.806604,0.105,0.074,86.989,0.451778,0.452708,66322.183594,-128229.102288,5804.925708,3267077515.691048,57158.354732,9.846526,28.966306,839.021853,0.0,1666360.0,5.606132,1824.805724,42.717745,7.619825,28.852145,834.593665,0.0,1245.0,7
CONT_s12_l2a_TheSwissAccount,8,0.143112,156.0,179417.0,31.0,0.319588,0.133,1.178,8.689,0.143534,0.16519,19009.514773,8178.09872,1849.659794,9520369.330971,3085.509574,1.66815,1.575127,1.9731,0.0,14005.0,1.608247,6.594931,2.56806,1.596806,1.337832,0.867486,0.0,11.0,775.0,819569.0,151.0,0.480892,0.027,1.178,31.207,0.202288,0.210099,23476.384216,108858.329247,2610.092357,12691157.547354,3562.465094,1.364881,3.324774,26.836599,0.0,37206.0,2.468153,11.291315,3.360255,1.361445,3.759283,33.678643,0.0,37.0,4910.0,5101994.0,715.0,0.756614,0.105,1.178,95.885,0.420055,0.425676,60812.439081,40281.860977,5398.93545,2933782128.348582,54164.399086,10.032422,30.562877,934.713108,0.0,1666360.0,5.195767,1639.443626,40.490044,7.79289,30.428126,929.19671,0.0,1245.0,8
CONT_s12_l2a_TheSwissAccount,9,0.16575,179.0,207699.0,39.0,0.402062,1.404,0.019,8.577,0.166159,0.193726,22286.042644,-14481.614459,2141.226804,9287401.760524,3047.523874,1.423261,1.243649,0.948911,0.0,14005.0,1.845361,6.236254,2.497249,1.353258,1.028083,0.23052,0.0,11.0,539.0,627714.0,111.0,0.373737,0.147,0.019,30.491,0.163803,0.164695,19682.32389,21179.645817,2113.515152,9222071.534398,3036.786383,1.436842,1.12643,0.388758,0.0,14005.0,1.814815,6.354104,2.520735,1.388976,0.958745,-0.247089,0.0,11.0,5089.0,5309693.0,754.0,0.723608,0.105,0.019,107.044,0.396364,0.396823,55785.674377,210619.451344,5095.674664,2662166684.507887,51596.188663,10.125487,32.07902,1030.358001,0.0,1666360.0,4.883877,1488.204562,38.577254,7.898899,31.926713,1023.811407,0.0,1245.0,9
