run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s12_throughput_TheSwissAccount,0,0.0,1789244585.797,1789244595.797,0.203052,0.213802,0.0,0.715682,71.773774,168.602842,2.0,5,415.68936,890.431511,254.046624,59,254127,250,4,98
CONT_s12_throughput_TheSwissAccount,1,10.0,1789244595.797,1789244605.797,0.201883,0.12249,0.0,0.474667,151.710028,242.260509,0.3861,1,569.799435,981.86368,286.110998,77,255619,259,3,99
CONT_s12_throughput_TheSwissAccount,2,20.0,1789244605.797,1789244615.797,0.572621,2.920532,0.0,29.3954,125.667981,263.685689,6.68693,44,387.289713,1026.273411,309.994106,78,726832,658,4,99
CONT_s12_throughput_TheSwissAccount,3,30.0,1789244615.797,1789244625.797,0.40736,0.084788,0.237279,0.610428,73.003187,193.854579,9.50764,56,191.975109,327.609291,98.14152,98,512436,589,5,98
CONT_s12_throughput_TheSwissAccount,4,40.0,1789244625.797,1789244635.797,0.408025,0.102123,0.23751,0.609805,76.735053,141.844682,9.137056,54,229.240334,326.144032,59.5431,98,514238,591,4,98
CONT_s12_throughput_TheSwissAccount,5,50.0,1789244635.797,1789244645.797,0.407984,0.083064,0.237049,0.617398,71.053966,118.395313,8.547009,50,213.402184,319.272187,63.87969,98,515504,585,5,98
CONT_s12_throughput_TheSwissAccount,6,60.0,1789244645.797,1789244655.797,0.226362,0.24526,0.0,1.12466,45.38159,105.255268,10.876133,36,183.100536,286.38611,85.33351,51,286093,331,4,98
CONT_s12_throughput_TheSwissAccount,7,70.0,1789244655.797,1789244665.797,0.108651,0.232949,0.0,1.20186,51.692084,275.895038,4.878049,6,293.741233,539.069527,226.441689,22,137458,123,2,98
CONT_s12_throughput_TheSwissAccount,8,80.0,1789244665.797,1789244675.797,0.179292,0.209094,0.0,0.585426,59.536157,159.375358,0.502513,1,431.117573,674.691757,207.92238,45,226904,199,2,98
CONT_s12_throughput_TheSwissAccount,9,90.0,1789244675.797,1789244685.797,0.177981,0.222893,0.0,0.851373,46.873273,117.152504,0.512821,1,369.948553,539.165307,200.511442,41,225295,195,2,98
CONT_s12_throughput_TheSwissAccount,10,100.0,1789244685.797,1789244695.797,0.11294,0.253608,0.0,1.200697,34.140485,233.189719,0.0,0,353.749745,674.829473,245.906781,19,141582,117,2,97
CONT_s12_throughput_TheSwissAccount,11,110.0,1789244695.797,1789244705.797,0.125095,0.264482,0.0,1.20186,51.199603,363.31984,8.219178,12,262.002213,538.712696,210.76638,24,158453,146,2,98
CONT_s12_throughput_TheSwissAccount,12,120.0,1789244705.797,1789244715.797,0.257815,0.147332,0.0,0.584294,144.576678,473.858923,0.318471,1,455.744919,712.193942,191.873308,81,324403,314,5,97
CONT_s12_throughput_TheSwissAccount,13,130.0,1789244715.797,1789244725.797,0.213443,0.261814,0.0,1.19499,63.144287,173.988109,0.0,0,325.225183,518.386101,180.271245,49,271974,234,2,98
CONT_s12_throughput_TheSwissAccount,14,140.0,1789244725.797,1789244735.797,2.072346,17.262137,0.0,170.947102,91.768321,184.990135,0.444664,9,448.049367,699.22374,214.197565,64,2617169,2024,4,97
CONT_s12_throughput_TheSwissAccount,15,150.0,1789244735.797,1789244745.797,1.698435,3.966144,0.0,18.553929,10.870405,41.869262,0.0,0,114.355827,214.352447,97.750386,46,2144949,1656,4,97
CONT_s12_throughput_TheSwissAccount,16,160.0,1789244745.797,1789244755.797,1.345073,3.953041,0.0,22.340115,22.074225,41.464909,0.0,0,1761.60232,215.347829,8480.841166,27,1700828,1307,3,97
CONT_s12_throughput_TheSwissAccount,17,170.0,1789244755.797,1789244765.797,0.135926,0.852409,0.0,8.278044,35.036347,304.779416,0.746269,1,323.232913,766.668235,289.045152,10,171910,134,2,97
CONT_s12_throughput_TheSwissAccount,18,180.0,1789244765.797,1789244775.797,0.156471,0.258047,0.0,0.759002,62.392043,219.485383,0.60241,1,663.795866,778.772232,227.773387,26,195829,166,4,96
CONT_s12_throughput_TheSwissAccount,19,190.0,1789244775.797,1789244785.797,0.155201,0.25464,0.0,0.613998,37.866397,134.558349,0.617284,1,639.356917,779.12235,267.416638,28,196603,162,2,97
CONT_s12_throughput_TheSwissAccount,20,200.0,1789244785.797,1789244795.797,1.640531,11.486431,0.0,108.186641,52.039294,214.664734,2.03578,33,451.56787,972.317091,380.390631,44,2082774,1621,5,97
CONT_s12_throughput_TheSwissAccount,21,210.0,1789244795.797,1789244805.797,0.128267,0.083884,0.0,0.347813,64.356443,100.88126,9.405941,19,403.291497,570.981615,177.509887,79,161522,202,2,96
CONT_s12_throughput_TheSwissAccount,22,220.0,1789244805.797,1789244815.797,0.129044,0.081126,0.0,0.356911,66.001673,142.675443,13.744076,29,493.107268,902.107216,244.50512,73,162445,211,4,96
CONT_s12_throughput_TheSwissAccount,23,230.0,1789244815.797,1789244825.797,0.12702,0.075415,0.0,0.356232,180.538327,315.083348,10.891089,22,576.472026,945.421027,316.887771,84,161782,202,3,97
CONT_s12_throughput_TheSwissAccount,24,240.0,1789244825.797,1789244835.797,0.129491,0.093284,0.0,0.356571,78.284333,135.257799,10.050251,20,453.442519,968.286377,273.481131,70,163236,199,2,96
CONT_s12_throughput_TheSwissAccount,25,250.0,1789244835.797,1789244845.797,0.093216,0.095424,0.0,0.266269,71.527094,131.712916,16.447368,25,658.50725,1007.593724,470.450523,50,117560,152,3,96
CONT_s12_throughput_TheSwissAccount,26,260.0,1789244845.797,1789244855.797,0.123617,0.215784,0.0,1.086597,69.713926,176.546874,3.521127,5,576.735426,803.941312,299.085187,26,155689,142,4,96
CONT_s12_throughput_TheSwissAccount,27,270.0,1789244855.797,1789244865.797,0.118136,0.228452,0.0,1.182383,47.444466,186.586507,0.787402,1,538.018212,1001.405178,369.117945,24,148893,127,2,96
CONT_s12_throughput_TheSwissAccount,28,280.0,1789244865.797,1789244875.797,0.103869,0.238545,0.0,1.182383,55.335955,290.392425,0.917431,1,492.848054,1096.959456,392.576264,19,130839,109,2,96
CONT_s12_throughput_TheSwissAccount,29,290.0,1789244875.797,1789244885.797,0.072972,0.182452,0.0,0.611505,44.50363,231.972269,0.0,0,507.749652,1001.67802,414.927804,19,92899,86,2,97
