run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s13_bola_Valkaama,0,0.0,1789333080.125,1789333090.125,0.767796,3.743643,0.0,37.729814,56.975952,112.384636,5.162738,46,142.736944,234.165503,54.003733,86,971698,891,5,99
CONT_s13_bola_Valkaama,1,10.0,1789333090.125,1789333103.309,0.175008,0.165814,0.0,0.605245,72.229551,175.359776,14.492754,50,134.702799,154.671613,29.358845,86,290835,345,2,130
CONT_s13_bola_Valkaama,2,20.0,1789333103.309,1789333113.309,0.215088,0.171207,0.0,0.612446,66.226715,97.217839,14.057508,44,137.593639,154.727436,23.746007,77,269547,313,2,98
CONT_s13_bola_Valkaama,3,30.0,1789333113.309,1789333123.309,0.274985,0.255711,0.0,1.580293,75.967906,174.947427,12.16545,50,292.473643,646.995976,210.319626,76,348578,411,4,99
CONT_s13_bola_Valkaama,4,40.0,1789333123.309,1789333133.309,0.190838,0.128746,0.0,0.355625,154.556883,257.497957,0.416667,1,621.089129,1139.155164,303.826122,72,242108,240,3,99
CONT_s13_bola_Valkaama,5,50.0,1789333133.309,1789333143.309,0.189075,0.138402,0.0,0.471891,156.455308,273.375346,0.414938,1,565.686151,1075.790657,282.105425,72,237958,241,4,98
CONT_s13_bola_Valkaama,6,60.0,1789333143.309,1789333153.309,1.980886,18.178028,0.0,180.994508,47.786614,264.087021,0.576218,11,400.141399,1139.412874,377.74573,29,2492318,1909,4,98
CONT_s13_bola_Valkaama,7,70.0,1789333153.309,1789333163.309,0.335195,0.291634,0.0,1.205681,51.946236,191.401186,0.0,0,186.512134,295.67181,94.975098,63,422641,356,2,98
CONT_s13_bola_Valkaama,8,80.0,1789333163.309,1789333173.309,0.446871,0.185399,0.0,0.941946,43.113905,48.466492,0.0,0,196.523614,295.932834,82.694173,91,563538,480,2,98
CONT_s13_bola_Valkaama,9,90.0,1789333173.309,1789333183.309,0.447291,0.2021,0.0,0.94103,39.372782,46.46148,0.0,0,206.777872,295.710985,79.669408,88,569902,475,2,99
CONT_s13_bola_Valkaama,10,100.0,1789333183.309,1789333193.309,0.811426,0.31771,0.0,1.52668,47.122844,71.051118,1.175214,11,174.103959,270.966872,61.421202,94,1025262,936,6,98
CONT_s13_bola_Valkaama,11,110.0,1789333193.309,1789333203.309,0.962593,0.143551,0.690571,1.29394,47.764252,58.625411,0.0,0,157.773452,208.972815,23.877694,97,1208216,1125,5,97
CONT_s13_bola_Valkaama,12,120.0,1789333203.309,1789333213.309,0.962943,0.155393,0.471351,1.402008,50.994748,63.279205,0.0,0,158.552034,213.561433,38.394312,98,1223254,1127,4,98
CONT_s13_bola_Valkaama,13,130.0,1789333213.309,1789333223.309,0.630003,0.510719,0.0,1.891715,36.748853,114.57135,0.301205,2,140.232717,175.220771,43.979232,63,792806,664,4,97
CONT_s13_bola_Valkaama,14,140.0,1789333223.309,1789333233.309,2.241367,10.650049,0.586615,106.554446,36.338576,59.721618,3.084073,73,123.788776,174.780554,36.150362,97,2819739,2367,4,97
CONT_s13_bola_Valkaama,15,150.0,1789333233.309,1789333243.309,0.914327,0.621616,0.0,1.863529,14.553133,32.551263,0.0,0,109.596583,141.81511,25.697371,71,1163165,930,2,98
CONT_s13_bola_Valkaama,16,160.0,1789333243.309,1789333253.309,0.581766,0.661515,0.0,1.893539,25.685426,103.437068,0.0,0,106.092643,141.648968,34.853764,45,732444,588,2,97
