run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s13_throughput_BigBuckBunny,0,0.0,1789270729.263,1789270739.263,0.462598,2.353382,0.0,23.592493,586005,549,3,99,48.651337,138.283492,5.464481,30,133.778828,250.916496,51.442483,50,0.238437,0.186584,0.168766,0.488289,0.462598,0.0,549,0.462372,1.000489,586005,0.494949
CONT_s13_throughput_BigBuckBunny,1,10.0,1789270739.263,1789270749.433,0.297575,0.197044,0.0,0.844262,380884,407,2,100,56.928032,98.094177,11.056511,45,167.083148,266.218649,41.574546,84,0.0,0.194778,0.13445,0.481405,-0.165023,0.643269,-142,0.379522,0.784078,966889,0.15
CONT_s13_throughput_BigBuckBunny,2,20.0,1789270749.433,1789270760.015,0.219907,0.191146,0.0,0.734907,292670,345,2,104,65.375478,117.248565,17.101449,59,144.132525,153.560169,47.464985,77,0.483284,0.27427,0.216523,0.734907,-0.077668,0.738997,-62,0.324724,0.677212,1259559,0.288462
CONT_s13_throughput_BigBuckBunny,3,30.0,1789270760.015,1789270770.84,0.27273,0.216852,0.0,1.201951,373889,439,4,107,74.092212,161.067492,13.667426,60,235.851231,635.692019,177.29559,88,0.238671,0.188781,0.10477,0.360625,0.052823,1.240206,94,0.311142,0.876545,1633448,0.205607
CONT_s13_throughput_BigBuckBunny,4,40.0,1789270770.84,1789270780.84,0.190791,0.13393,0.0,0.427602,240000,239,3,98,142.985286,247.774251,0.0,0,590.254475,1120.122627,276.487416,70,0.0,0.193654,0.103599,0.354932,-0.081939,0.69956,-200,0.287863,0.662784,1873448,0.295918
CONT_s13_throughput_BigBuckBunny,5,50.0,1789270780.84,1789270790.84,0.19123,0.136892,0.0,0.482412,243518,243,3,99,150.550576,280.740797,0.0,0,574.554878,1138.846893,299.803744,70,0.23751,0.1927,0.14822,0.482412,0.000439,1.002301,4,0.272038,0.702953,2116966,0.30303
CONT_s13_throughput_BigBuckBunny,6,60.0,1789270790.84,1789270800.84,1.847678,12.890721,0.0,116.698853,2335273,1807,4,98,34.941668,289.572015,2.047593,37,408.74846,1043.354032,393.819639,18,0.0,0.068246,0.259496,1.202561,1.656448,9.662072,1564,0.492286,3.753261,4452239,0.765306
CONT_s13_throughput_BigBuckBunny,7,70.0,1789270800.84,1789270810.84,0.037609,0.187522,0.0,1.203728,47574,38,2,98,21.55006,0.0,2.631579,1,65.459932,137.352914,65.012747,4,0.0,0.058592,0.234513,1.201395,-1.810069,0.020355,-1769,0.436593,0.086142,4499813,0.94898
CONT_s13_throughput_BigBuckBunny,8,80.0,1789270810.84,1789270820.84,0.244275,0.299674,0.0,1.347417,308634,259,3,98,82.038491,343.718367,0.3861,1,208.605677,295.483796,77.986509,46,0.353553,0.454197,0.10805,0.707107,0.206666,6.495121,221,0.415576,0.587799,4808447,0.530612
CONT_s13_throughput_BigBuckBunny,9,90.0,1789270820.84,1789270830.84,0.444806,0.178167,0.0,0.823612,556566,470,2,97,43.409065,55.168869,0.0,0,197.846222,295.161943,84.982752,89,0.353553,0.452732,0.068302,0.705736,0.200531,1.820923,211,0.418438,1.063015,5365013,0.082474
CONT_s13_throughput_BigBuckBunny,10,100.0,1789270830.84,1789270840.84,1.166513,3.496316,0.0,35.450553,1475830,1260,5,98,48.481047,111.976642,0.952381,12,149.267955,269.767981,63.073275,94,0.940503,0.96163,0.145395,1.178915,0.721707,2.622521,790,0.485601,2.402205,6840843,0.040816
CONT_s13_throughput_BigBuckBunny,11,110.0,1789270840.84,1789270850.84,0.963031,0.119378,0.742261,1.1853,1222827,1161,4,98,49.996393,78.943564,0.0,0,123.424698,159.799006,36.479934,98,0.939981,0.96627,0.126933,1.17323,-0.203482,0.825564,-99,0.525076,1.834079,8063670,0.0
CONT_s13_throughput_BigBuckBunny,12,120.0,1789270850.84,1789270860.84,0.963449,0.130107,0.701657,1.245241,1213648,1133,4,97,45.791179,78.939897,0.0,0,114.763892,159.60793,38.162946,97,1.0535,0.961406,0.14509,1.245241,0.000418,1.000434,-28,0.558309,1.725656,9277318,0.0
CONT_s13_throughput_BigBuckBunny,13,130.0,1789270860.84,1789270870.84,0.961562,0.198918,0.469538,1.399306,1211948,1079,4,97,35.978983,62.065052,0.0,0,134.603123,213.35843,56.842229,97,1.161846,0.960636,0.266742,1.399306,-0.001887,0.998041,-54,0.586737,1.63883,10489266,0.0
CONT_s13_throughput_BigBuckBunny,14,140.0,1789270870.84,1789270880.84,2.224494,16.54993,0.0,164.286308,2804938,2214,5,97,34.712513,91.739716,0.587173,13,157.237106,213.536542,112.322887,51,1.048478,0.314117,0.570196,1.859942,1.262932,2.313417,1135,0.694636,3.202388,13294204,0.484536
CONT_s13_throughput_BigBuckBunny,15,150.0,1789270880.84,1789270890.84,0.283195,0.55244,0.0,1.741341,357280,283,2,97,19.040333,100.821145,0.0,0,96.450518,132.595065,32.672024,21,0.0,0.380258,0.633446,1.741341,-1.941299,0.127308,-1931,0.669214,0.423176,13651484,0.783505
CONT_s13_throughput_BigBuckBunny,16,160.0,1789270890.84,1789270900.84,0.74397,0.668188,0.0,2.121347,948404,769,4,98,27.04764,106.536412,0.0,0,106.977047,160.973102,32.021101,57,1.046437,1.255614,0.249735,1.744447,0.460775,2.627059,486,0.673618,1.104439,14599888,0.418367
CONT_s13_throughput_BigBuckBunny,17,170.0,1789270900.84,1789270910.84,1.267757,0.267258,0.802573,1.635077,1585944,1354,5,96,40.946189,50.797907,0.0,0,148.760657,161.424967,14.242476,96,1.04744,1.264705,0.27022,1.635077,0.523787,1.704043,585,0.706039,1.795591,16185832,0.0
CONT_s13_throughput_BigBuckBunny,18,180.0,1789270910.84,1789270920.84,1.264836,0.259078,0.808582,1.675475,1602052,1369,6,97,40.472282,50.541724,0.0,0,148.669499,161.386581,14.874245,97,1.046437,1.259209,0.279849,1.675475,-0.002921,0.997696,15,0.735292,1.720182,17787884,0.0
CONT_s13_throughput_BigBuckBunny,19,190.0,1789270920.84,1789270930.84,1.937072,7.461892,0.0,74.398699,2454956,2031,4,97,24.782825,54.238293,1.723289,35,105.026023,161.252258,51.911491,70,0.0,0.894894,1.454205,3.62884,0.672236,1.531481,662,0.795127,2.436179,20242840,0.278351
CONT_s13_throughput_BigBuckBunny,20,200.0,1789270930.84,1789270940.84,0.749147,1.334272,0.0,3.694545,949011,722,2,97,11.283621,47.842374,0.0,0,54.410106,76.174234,20.362279,25,3.115402,0.725769,1.293098,3.115402,-1.187925,0.386742,-1309,0.792942,0.944769,21191851,0.752577
CONT_s13_throughput_BigBuckBunny,21,210.0,1789270940.84,1789270950.84,3.201319,0.439963,2.534962,4.149895,4023677,3102,4,96,13.539811,21.537613,0.0,0,79.899265,92.821219,11.970945,96,3.103511,3.205751,0.370577,4.141968,2.452172,4.273285,2380,0.901117,3.552612,25215528,0.0
CONT_s13_throughput_BigBuckBunny,22,220.0,1789270950.84,1789270960.84,2.897679,0.919712,0.0,4.279771,3648074,2964,4,96,11.364188,24.339408,1.214575,36,65.440318,82.425173,30.983102,92,3.46687,2.511911,1.259286,4.134046,-0.30364,0.905152,-138,0.98708,2.935607,28863602,0.052083
CONT_s13_throughput_BigBuckBunny,23,230.0,1789270960.84,1789270970.84,2.899981,0.992177,0.0,4.035539,3692555,3092,5,97,12.853037,21.067666,0.0,0,63.951069,90.001702,22.970782,88,0.0,2.171451,1.498748,4.030781,0.002302,1.000794,128,1.066903,2.71813,32556157,0.092784
CONT_s13_throughput_BigBuckBunny,24,240.0,1789270970.84,1789270980.84,1.587191,2.047836,0.0,15.167924,2001264,1555,2,96,9.623142,31.065549,1.221865,19,66.22077,83.698742,16.460406,48,2.530133,1.180907,1.436621,3.67299,-1.31279,0.547311,-1537,1.087529,1.459447,34557421,0.5
CONT_s13_throughput_BigBuckBunny,25,250.0,1789270980.84,1789270990.84,2.912307,0.387274,2.183314,3.694061,3679714,2994,6,96,13.197707,20.875779,0.133601,4,80.431931,95.762027,11.29351,96,2.524478,2.90978,0.35889,3.556467,1.325116,1.834881,1439,1.157314,2.516436,38237135,0.0
CONT_s13_throughput_BigBuckBunny,26,260.0,1789270990.84,1789271000.84,2.919416,0.411446,2.221176,3.784744,3660360,2979,6,95,18.358562,22.983429,0.0,0,89.052675,100.066888,10.107623,95,3.545782,2.913937,0.45975,3.77685,0.007109,1.002441,-15,1.221729,2.389577,41897495,0.0
CONT_s13_throughput_BigBuckBunny,27,270.0,1789271000.84,1789271010.84,1.976478,1.396327,0.0,3.780797,2508635,1963,4,96,13.337848,23.23358,0.0,0,88.722161,100.369113,16.788419,66,0.0,1.262979,1.432844,3.655583,-0.942938,0.677011,-1016,1.248665,1.582873,44406130,0.3125
