run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s13_throughput_Valkaama,0,0.0,3.9725,1.582,Critical
CONT_s13_throughput_Valkaama,1,10.0,2.4597,1.745,Critical
CONT_s13_throughput_Valkaama,2,20.0,2.8322,0,Degraded
CONT_s13_throughput_Valkaama,3,30.0,2.7375,0,Degraded
CONT_s13_throughput_Valkaama,4,40.0,2.4848,3.337,Critical
CONT_s13_throughput_Valkaama,5,50.0,1.5989,0,Critical
CONT_s13_throughput_Valkaama,6,60.0,1.5567,0,Critical
CONT_s13_throughput_Valkaama,7,70.0,1.4498,0,Critical
CONT_s13_throughput_Valkaama,8,80.0,1.4498,0,Critical
CONT_s13_throughput_Valkaama,9,90.0,1.9052,0,Critical
CONT_s13_throughput_Valkaama,10,100.0,3.7269,0,Good
CONT_s13_throughput_Valkaama,11,110.0,3.0089,0,Good
CONT_s13_throughput_Valkaama,12,120.0,2.8573,0,Degraded
CONT_s13_throughput_Valkaama,13,130.0,2.821,0,Degraded
CONT_s13_throughput_Valkaama,14,140.0,2.821,0,Degraded
CONT_s13_throughput_Valkaama,15,150.0,3.7902,0,Good
CONT_s13_throughput_Valkaama,16,160.0,4.0649,0,Excellent
CONT_s13_throughput_Valkaama,17,170.0,4.2545,0,Excellent
CONT_s13_throughput_Valkaama,18,180.0,4.1123,0,Excellent
CONT_s13_throughput_Valkaama,19,190.0,3.7806,0,Good
CONT_s13_throughput_Valkaama,20,200.0,3.7806,0,Good
CONT_s13_throughput_Valkaama,21,210.0,4.0291,0,Excellent
CONT_s13_throughput_Valkaama,22,220.0,4.3565,0,Excellent
CONT_s13_throughput_Valkaama,23,230.0,4.3374,0,Excellent
CONT_s13_throughput_Valkaama,24,240.0,4.3432,0,Excellent
CONT_s13_throughput_Valkaama,25,250.0,4.3608,0,Excellent
CONT_s13_throughput_Valkaama,26,260.0,4.3364,0,Excellent
CONT_s13_throughput_Valkaama,27,270.0,4.3457,0,Excellent
CONT_s13_throughput_Valkaama,28,280.0,4.3432,0,Excellent
CONT_s13_throughput_Valkaama,29,290.0,4.3432,0,Excellent
