run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s2_bola_ElephantsDream,0,0.0,1789271877.746,1789271887.746,5.964314,0.676133,0.0,6.883757,7473526,7224,4,98,2.035955,8.793323,0.636766,46,37.990938,59.643407,10.904666,97,5.466563,6.059369,0.164306,6.620606,5.964314,0.0,7224,5.964387,0.999988,7473526,0.010204
CONT_s2_bola_ElephantsDream,1,10.0,1789271887.746,1789271897.746,6.033583,0.303835,5.092786,6.844184,7648676,7124,4,99,5.455596,9.840367,0.168445,12,47.084173,63.950863,10.144973,99,5.918595,6.044969,0.298892,6.738713,0.069269,1.011614,-100,5.999207,1.00573,15122202,0.0
CONT_s2_bola_ElephantsDream,2,20.0,1789271897.746,1789271907.746,6.051269,0.185413,4.947019,7.105561,7678047,7519,2,99,0.351697,2.367557,0.119697,9,35.102529,43.738982,6.059947,99,6.18885,6.056302,0.287644,7.105561,0.017686,1.002931,395,6.016651,1.005754,22800249,0.0
CONT_s2_bola_ElephantsDream,3,30.0,1789271907.746,1789271917.746,6.061953,0.16889,5.226771,6.878125,7607086,7677,2,98,0.152513,0.636006,0.104207,8,33.464908,39.265573,5.523538,98,5.949318,6.063714,0.180296,6.76348,0.010684,1.001766,158,6.027924,1.005645,30407335,0.0
CONT_s2_bola_ElephantsDream,4,40.0,1789271917.746,1789271927.746,5.284575,12.33913,0.0,125.553269,6715400,5930,2,99,2.528455,5.760672,0.455312,27,47.143592,66.679066,16.907133,85,3.17625,3.211717,0.189273,4.230868,-0.777378,0.871761,-1747,5.881109,0.898568,37122735,0.141414
CONT_s2_bola_ElephantsDream,5,50.0,1789271927.746,1789271939.113,2.334415,1.438601,0.0,4.22269,3348614,2480,2,112,3.951231,5.503978,0.0,0,64.860405,66.687279,7.108767,82,0.0,0.0,0.0,0.0,-2.95016,0.441741,-3450,5.224469,0.446823,40471349,0.267857
CONT_s2_bola_ElephantsDream,6,60.0,1789271939.113,1789271949.113,2.890877,1.010445,0.0,4.23914,3628772,2803,4,98,8.390686,20.688584,0.856225,24,62.363739,71.985329,11.928459,88,2.935666,3.20522,0.198603,3.771072,0.556462,1.238373,323,4.899006,0.590095,44100121,0.102041
CONT_s2_bola_ElephantsDream,7,70.0,1789271949.113,1789271959.113,3.226336,0.370484,2.34677,4.004839,4105829,3327,4,99,10.42841,19.626704,0.090171,3,72.83123,89.165704,12.385811,99,3.171984,3.225853,0.43029,3.992827,0.335459,1.116041,524,4.691845,0.687648,48205950,0.0
CONT_s2_bola_ElephantsDream,8,80.0,1789271959.113,1789271969.113,2.792579,1.226562,0.0,4.372086,3516185,2874,2,98,7.041823,11.675954,0.765484,22,63.465199,81.420877,14.318849,84,3.406181,1.749996,1.710605,4.372086,-0.433757,0.865557,-453,4.484465,0.622723,51722135,0.142857
CONT_s2_bola_ElephantsDream,9,90.0,1789271969.113,1789271979.113,2.670479,1.351708,0.0,4.359028,3366368,2795,6,98,12.23497,24.943516,1.323792,37,64.614557,82.059351,25.999692,83,3.760466,3.30303,0.495723,4.359028,-0.1221,0.956277,-79,4.305736,0.620214,55088503,0.163265
