run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s2_dynamic_BigBuckBunny,0,0.0,1789315396.493,1789315407.397,5.761784,1.271189,0.0,6.99125,7954890,7500,4,108,2.400362,10.858804,0.293333,22,39.061828,54.971061,22.898238,106,6.095984,6.04543,0.109588,6.290304,5.761784,0.0,7500,5.760969,1.000141,7954890,0.027778
CONT_s2_dynamic_BigBuckBunny,1,10.0,1789315407.397,1789315417.397,6.071814,0.35013,4.960936,7.122893,7620299,7760,4,98,5.091055,9.05084,0.270619,21,45.969461,60.844228,9.077954,98,5.865,6.10948,0.422004,7.122893,0.31003,1.053808,260,5.90901,1.027552,15575189,0.0
CONT_s2_dynamic_BigBuckBunny,2,20.0,1789315417.397,1789315427.397,6.105002,0.261533,5.298925,7.174033,7741737,8220,2,99,1.185026,3.369442,0.291971,24,37.428027,53.293492,8.50521,99,6.225483,6.106635,0.320417,7.174033,0.033188,1.005466,460,5.972669,1.022156,23316926,0.0
CONT_s2_dynamic_BigBuckBunny,3,30.0,1789315427.397,1789315437.397,5.994808,0.20488,5.770392,6.502701,7599968,6199,2,99,2.973483,3.137459,0.048395,3,19.861145,19.530596,3.069475,99,5.9,5.985506,0.204416,6.492278,-0.110194,0.98195,-2021,5.978077,1.002799,30916894,0.0
CONT_s2_dynamic_BigBuckBunny,4,40.0,1789315437.397,1789315447.397,4.70952,12.520037,0.0,124.678162,5908021,4674,2,98,4.911751,3.144606,0.21395,10,20.239648,19.486888,7.51489,59,2.217456,0.268707,0.824584,3.456875,-1.285288,0.7856,-1525,5.730345,0.821856,36824915,0.397959
CONT_s2_dynamic_BigBuckBunny,5,50.0,1789315447.397,1789315457.397,2.900364,0.98272,0.0,4.44434,3676036,2819,2,99,6.700759,11.202928,0.99326,28,66.57679,77.827397,7.905782,90,3.179355,3.231605,0.279729,4.23914,-1.809156,0.615851,-1855,5.264222,0.550958,40500951,0.090909
CONT_s2_dynamic_BigBuckBunny,6,60.0,1789315457.397,1789315467.397,3.20779,0.236512,2.486946,4.23914,4025803,3053,4,98,5.273279,5.658262,0.687848,21,65.151374,66.774468,5.436725,98,2.824688,3.227859,0.314686,4.23914,0.307426,1.105996,234,4.975828,0.644675,44526754,0.0
CONT_s2_dynamic_BigBuckBunny,7,70.0,1789315467.397,1789315477.397,3.229264,0.406065,2.375571,4.339474,4105716,3327,4,99,10.074706,19.472748,0.060114,2,72.040188,88.564093,12.577241,99,3.670808,3.237039,0.390909,3.992827,0.021474,1.006694,274,4.758565,0.678621,48632470,0.0
CONT_s2_dynamic_BigBuckBunny,8,80.0,1789315477.397,1789315487.397,3.108774,0.833855,0.0,4.255127,3912111,3127,2,98,6.010303,6.969358,0.799488,25,64.408193,81.115545,14.791767,93,3.671891,2.854446,1.197354,4.255127,-0.12049,0.962688,-200,4.577687,0.679115,52544581,0.05102
CONT_s2_dynamic_BigBuckBunny,9,90.0,1789315487.397,1789315497.397,1.966639,1.607823,0.0,4.489045,2478543,2102,4,98,11.022121,34.322939,1.712655,36,54.674577,77.393146,19.816466,63,3.31868,2.943452,1.053829,3.993314,-1.142135,0.632609,-1025,4.319507,0.455292,55023124,0.377551
CONT_s2_dynamic_BigBuckBunny,10,100.0,1789315497.397,1789315507.397,3.216818,0.712422,0.0,4.001553,4065771,3646,5,98,14.350476,25.98142,0.82282,30,55.261488,86.075812,34.791674,97,3.505764,3.363683,0.344496,3.989602,1.250179,1.635693,1544,4.219923,0.762293,59088895,0.010204
CONT_s2_dynamic_BigBuckBunny,11,110.0,1789315507.397,1789315517.397,3.233408,0.614583,0.0,4.206157,4093280,3525,5,98,16.152677,22.162152,0.822695,29,60.334672,87.301489,24.343426,97,3.513185,3.058895,0.87891,4.206157,0.01659,1.005157,-121,4.138101,0.781375,63182175,0.010204
CONT_s2_dynamic_BigBuckBunny,12,120.0,1789315517.397,1789315527.397,3.340799,0.401789,2.45323,4.206112,4240206,3467,6,98,16.1582,19.565792,0.0,0,74.835782,87.158008,8.434478,98,2.456525,3.336962,0.408355,3.970164,0.107391,1.033213,-58,4.076914,0.819443,67422381,0.0
CONT_s2_dynamic_BigBuckBunny,13,130.0,1789315527.397,1789315537.397,4.759019,16.827003,0.0,168.011572,5988614,5556,6,97,8.204847,19.460591,1.961843,109,66.38451,89.427451,67.510562,71,2.525538,2.266005,2.843852,6.326083,1.41822,1.424515,2089,4.125088,1.153677,73410995,0.298969
CONT_s2_dynamic_BigBuckBunny,14,140.0,1789315537.397,1789315547.397,2.785127,2.752154,0.0,7.014129,3516963,3015,4,97,14.021641,41.782045,0.464345,14,72.98785,234.898324,68.408425,72,6.097214,2.740598,2.76517,6.869087,-1.973892,0.585231,-2541,4.036391,0.690004,76927958,0.319588
CONT_s2_dynamic_BigBuckBunny,15,150.0,1789315547.397,1789315557.397,2.16388,2.855778,0.0,6.991077,2731224,2758,4,97,6.78727,10.098971,0.253807,7,36.424526,55.621044,12.443138,37,6.15562,4.624857,2.61767,6.991077,-0.621247,0.776941,-257,3.920139,0.551991,79659182,0.608247
CONT_s2_dynamic_BigBuckBunny,16,160.0,1789315557.397,1789315567.397,5.999703,0.444255,5.112008,6.935284,7569828,6136,4,97,2.84936,3.330511,0.130378,8,35.771176,46.394102,4.856645,97,6.608215,5.96129,0.482128,6.608215,3.835823,2.77266,3378,4.041713,1.484446,87229010,0.0
CONT_s2_dynamic_BigBuckBunny,17,170.0,1789315567.397,1789315577.397,5.991291,0.494946,5.089349,6.630096,7585254,5957,6,97,9.133997,10.29536,0.0,0,47.046416,48.771213,1.73898,97,6.082146,5.992679,0.489297,6.614563,-0.008412,0.998598,-179,4.149729,1.443779,94814264,0.0
CONT_s2_dynamic_BigBuckBunny,18,180.0,1789315577.397,1789315587.397,6.281593,15.381058,0.473097,155.473455,7954130,6368,4,97,9.381996,23.501521,2.889447,184,44.564417,50.622224,10.529841,97,0.701609,1.861042,1.871505,6.282186,0.290302,1.048454,411,4.261738,1.473951,102768394,0.0
CONT_s2_dynamic_BigBuckBunny,19,190.0,1789315587.397,1789315597.397,0.849253,0.322385,0.233646,2.403071,1064032,1193,2,96,23.266129,29.092876,16.680637,199,47.850694,52.203296,2.880561,96,0.832982,1.076166,0.38479,2.403071,-5.43234,0.135197,-5175,4.093162,0.207481,103832426,0.0
CONT_s2_dynamic_BigBuckBunny,20,200.0,1789315597.397,1789315607.397,1.341601,2.213742,0.0,7.071756,1703252,2104,4,97,20.818956,103.85442,26.996198,568,65.630777,105.104176,54.096493,48,6.229598,2.577136,2.821789,7.071756,0.492348,1.579742,911,3.962343,0.338588,105535678,0.494845
CONT_s2_dynamic_BigBuckBunny,21,210.0,1789315607.397,1789315617.397,2.363268,2.877092,0.0,6.845922,3000667,3767,4,97,9.555616,27.430479,28.855853,1087,83.368804,300.147389,64.559641,46,6.16916,5.219103,2.079533,6.375855,1.021667,1.761528,1663,3.889608,0.607585,108536345,0.525773
CONT_s2_dynamic_BigBuckBunny,22,220.0,1789315617.397,1789315627.397,6.106311,0.323136,4.155272,6.456848,7695626,9438,4,96,3.552117,6.486049,25.28078,2386,84.605596,107.89033,19.308458,96,6.063832,6.087828,0.36295,6.361527,3.743043,2.583842,5671,3.985401,1.53217,116231971,0.0
CONT_s2_dynamic_BigBuckBunny,23,230.0,1789315627.397,1789315637.397,4.703971,2.375004,0.0,6.487634,5924841,6101,2,96,1.649519,5.365718,8.588756,524,45.293554,96.187582,22.842172,79,0.0,4.121673,2.738751,6.351192,-1.40234,0.770346,-3337,4.015186,1.171545,122156812,0.177083
CONT_s2_dynamic_BigBuckBunny,24,240.0,1789315637.397,1789315647.397,2.571912,2.960858,0.0,6.736489,3239065,3264,2,96,2.653632,3.449207,0.122549,4,32.292907,39.276289,7.151932,44,6.39145,0.995996,2.207855,6.39145,-2.132059,0.546753,-2837,3.957888,0.649819,125395877,0.552083
CONT_s2_dynamic_BigBuckBunny,25,250.0,1789315647.397,1789315657.397,8.334139,21.907614,5.166629,222.973601,10600056,10237,2,97,1.049375,3.034324,1.787633,183,35.679542,51.704606,7.833913,97,6.208244,13.637066,39.561565,222.973601,5.762227,3.240445,6973,4.126679,2.019575,135995933,0.0
CONT_s2_dynamic_BigBuckBunny,26,260.0,1789315657.397,1789315667.397,6.200873,0.195795,5.410659,7.025038,7808984,9459,2,96,0.445481,2.988387,1.754942,166,38.314271,44.388529,5.654685,96,6.355377,6.176873,0.264077,7.025038,-2.133266,0.744033,-778,4.203022,1.475337,143804917,0.0
CONT_s2_dynamic_BigBuckBunny,27,270.0,1789315667.397,1789315677.397,4.450319,2.762866,0.0,7.313588,5609430,6590,2,96,3.786868,2.97671,1.24431,82,36.608614,43.443912,7.047758,73,0.0,0.453242,1.503336,6.214174,-1.750554,0.717692,-2869,4.2119,1.056606,149414347,0.25
CONT_s2_dynamic_BigBuckBunny,28,280.0,1789315677.397,1789315687.397,0.562833,1.638889,0.0,6.864152,718113,724,2,97,3.612742,16.411834,2.209945,16,66.574262,242.303997,78.445089,18,5.939772,1.880177,2.551159,6.864152,-3.887486,0.12647,-5866,4.085587,0.137761,150132460,0.835052
CONT_s2_dynamic_BigBuckBunny,29,290.0,1789315687.397,1789315697.397,0.545376,1.543131,0.0,6.040114,688488,642,2,96,2.030598,19.795491,0.155763,1,76.597365,254.41912,85.903636,19,0.0,0.0,0.0,0.0,-0.017457,0.968984,-82,3.968185,0.137437,150820948,0.822917
