run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s3_bola_TearsOfSteel,0,0.0,1789325010.977,1789325020.977,0.297169,0.107612,0.0,0.477341,146.360521,212.422001,0.0,0,314.759624,447.871014,119.612724,97,373022,373,4,98
CONT_s3_bola_TearsOfSteel,1,10.0,1789325020.977,1789325035.349,0.553147,3.150115,0.0,37.923679,130.483197,408.726921,2.516411,23,282.497452,564.125158,135.732022,135,1004623,914,4,142
CONT_s3_bola_TearsOfSteel,2,20.0,1789325035.349,1789325045.349,0.31739,0.148848,0.0,0.979688,97.820367,232.545345,10.940919,50,200.633604,432.116117,97.789923,91,398348,457,4,98
CONT_s3_bola_TearsOfSteel,3,30.0,1789325045.349,1789325055.349,0.309024,0.116238,0.0,0.602885,128.961878,434.069488,9.93228,44,312.458655,474.606329,135.823474,97,392369,443,4,99
CONT_s3_bola_TearsOfSteel,4,40.0,1789325055.349,1789325065.627,0.566067,0.308466,0.0,1.672671,95.046205,259.532398,3.693182,26,124.386995,190.723087,41.263506,95,733384,704,4,101
CONT_s3_bola_TearsOfSteel,5,50.0,1789325065.627,1789325075.627,0.755722,0.177106,0.46824,1.181754,60.607862,133.770651,0.0,0,130.888686,206.712676,53.046596,98,950148,858,6,98
CONT_s3_bola_TearsOfSteel,6,60.0,1789325075.627,1789325085.627,0.747245,0.190573,0.0,1.20482,71.182743,254.62882,0.0,0,178.090516,277.136404,59.353388,96,944819,900,6,98
CONT_s3_bola_TearsOfSteel,7,70.0,1789325085.627,1789325095.627,0.428642,0.54204,0.0,1.872558,38.332114,217.29172,0.0,0,112.435821,175.754155,59.103113,45,542200,458,4,98
CONT_s3_bola_TearsOfSteel,8,80.0,1789325095.627,1789325105.627,0.742848,0.790353,0.0,2.221122,21.619313,112.94065,0.262467,2,87.787491,124.592787,34.197195,48,940913,762,4,98
CONT_s3_bola_TearsOfSteel,9,90.0,1789325105.627,1789325115.627,0.899211,0.771185,0.0,2.011903,25.353303,94.3095,0.0,0,68.638021,113.186426,26.641502,57,1129896,1038,6,97
CONT_s3_bola_TearsOfSteel,10,100.0,1789325115.627,1789325125.627,0.29062,0.645219,0.0,3.81161,25.751577,184.773612,0.0,0,81.833711,165.00917,60.05252,21,369625,290,2,98
CONT_s3_bola_TearsOfSteel,11,110.0,1789325125.627,1789325135.627,0.426328,0.535817,0.0,1.631227,62.491177,118.386559,0.229358,1,1202.31977,164.972039,6925.949564,41,535561,436,2,97
CONT_s3_bola_TearsOfSteel,12,120.0,1789325135.627,1789325145.627,0.692647,0.518354,0.0,1.746127,39.679237,122.364937,0.258732,2,126.933403,164.982957,35.463745,66,880855,773,4,98
CONT_s3_bola_TearsOfSteel,13,130.0,1789325145.627,1789325155.627,0.356371,0.521665,0.0,1.662257,27.144708,141.374144,0.0,0,92.863712,141.54439,45.986959,33,449074,367,2,97
CONT_s3_bola_TearsOfSteel,14,140.0,1789325155.627,1789325165.627,0.372982,0.53264,0.0,2.015568,76.828269,150.376873,2.295918,9,100.409292,165.252026,50.333069,37,470108,392,4,97
CONT_s3_bola_TearsOfSteel,15,150.0,1789325165.627,1789325175.627,0.452962,0.483398,0.0,1.895598,30.262211,116.399468,0.0,0,111.860433,182.078588,51.936096,51,576177,478,2,98
CONT_s3_bola_TearsOfSteel,16,160.0,1789325175.627,1789325185.627,0.260965,0.430638,0.0,1.395299,31.398342,166.88316,0.0,0,100.266434,182.551796,69.757332,29,328542,263,2,97
CONT_s3_bola_TearsOfSteel,17,170.0,1789325185.627,1789325195.627,0.440313,0.494174,0.0,1.890125,36.659042,136.137378,0.0,0,114.94295,183.242445,58.436547,48,554570,455,2,97
CONT_s3_bola_TearsOfSteel,18,180.0,1789325195.627,1789325205.627,0.316446,0.47138,0.0,1.774552,32.302721,152.504362,0.0,0,108.833953,169.051507,62.111948,34,398295,322,2,97
CONT_s3_bola_TearsOfSteel,19,190.0,1789325205.627,1789325215.627,0.328857,0.414956,0.0,1.778052,48.611091,161.590611,5.96206,22,130.891356,182.957436,60.924882,51,418259,369,2,98
CONT_s3_bola_TearsOfSteel,20,200.0,1789325215.627,1789325225.627,0.271902,0.223981,0.0,1.436458,74.07678,114.693162,14.141414,56,142.595895,182.639393,37.342014,79,342567,396,4,97
CONT_s3_bola_TearsOfSteel,21,210.0,1789325225.627,1789325236.019,0.349526,0.279572,0.0,1.558809,74.605469,172.713903,16.506718,86,148.386631,221.357225,35.303861,81,459121,521,4,101
CONT_s3_bola_TearsOfSteel,22,220.0,1789325236.019,1789325246.241,0.396679,0.290554,0.0,1.671214,89.17806,245.788706,16.724138,97,157.284548,267.146214,47.949671,89,510716,580,4,99
CONT_s3_bola_TearsOfSteel,23,230.0,1789325246.241,1789325256.241,0.523702,0.305592,0.0,1.564273,72.037742,170.239552,15.127175,113,158.515713,251.575332,50.165067,91,660494,747,4,97
CONT_s3_bola_TearsOfSteel,24,240.0,1789325256.241,1789325266.241,0.365393,0.362635,0.0,1.207007,48.826632,160.364029,14.313725,73,178.135275,303.76455,78.22444,65,461050,510,4,97
CONT_s3_bola_TearsOfSteel,25,250.0,1789325266.241,1789325276.241,0.520569,0.18138,0.0,0.935077,119.216803,520.059826,0.0,0,241.075773,356.843335,80.538885,94,657356,591,4,97
CONT_s3_bola_TearsOfSteel,26,260.0,1789325276.241,1789325286.241,0.407817,0.356214,0.0,1.540672,48.626157,165.173862,0.0,0,180.801197,279.254368,94.742563,64,515147,429,4,97
CONT_s3_bola_TearsOfSteel,27,270.0,1789325286.241,1789325296.241,0.43304,0.280911,0.0,1.189635,65.386095,118.526102,0.0,0,223.903993,355.109555,97.616978,74,547687,490,4,97
CONT_s3_bola_TearsOfSteel,28,280.0,1789325296.241,1789325306.241,0.404429,0.255099,0.0,0.928399,242.314617,944.516653,0.0,0,218.964286,342.285527,77.161391,79,511832,487,6,97
CONT_s3_bola_TearsOfSteel,29,290.0,1789325306.241,1789325316.241,0.002399,0.011796,0.0,0.069569,18.027668,215.504858,0.0,0,21.469352,51.193777,22.669381,6,3034,15,4,97
