run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s3_bola_TearsOfSteel,0,0.0,1789325010.977,1789325020.977,0.297169,0.107612,0.0,0.477341,373022,373,4,98,146.360521,211.285414,0.0,0,314.759624,447.481551,119.612724,97,0.238205,0.295044,0.099973,0.476875,0.297169,0.0,373,0.297169,1.0,373022,0.010204
CONT_s3_bola_TearsOfSteel,1,10.0,1789325020.977,1789325035.349,0.553147,3.150115,0.0,37.923679,1004623,914,4,142,130.483197,408.726921,2.516411,23,282.497452,563.977295,135.732022,135,0.0,1.503066,6.766668,37.923679,0.255978,1.861389,541,0.448268,1.233965,1377645,0.042254
CONT_s3_bola_TearsOfSteel,2,20.0,1789325035.349,1789325045.349,0.31739,0.148848,0.0,0.979688,398348,457,4,98,97.820367,229.095379,10.940919,50,200.633604,432.116117,97.789923,91,0.355625,0.342761,0.115394,0.604653,-0.235757,0.57379,-457,0.410295,0.773565,1775993,0.071429
CONT_s3_bola_TearsOfSteel,3,30.0,1789325045.349,1789325055.349,0.309024,0.116238,0.0,0.602885,392369,443,4,99,128.961878,329.96775,9.93228,44,312.458655,469.793282,135.823474,97,0.125312,0.245329,0.136962,0.602885,-0.008366,0.973641,-14,0.387334,0.797823,2168362,0.030303
CONT_s3_bola_TearsOfSteel,4,40.0,1789325055.349,1789325065.627,0.566067,0.308466,0.0,1.672671,733384,704,4,101,95.046205,259.532398,3.693182,26,124.386995,185.705576,41.263506,95,0.50594,0.751289,0.149554,1.064795,0.257043,1.83179,261,0.420933,1.344791,2901746,0.069307
CONT_s3_bola_TearsOfSteel,5,50.0,1789325065.627,1789325075.627,0.755722,0.177106,0.46824,1.181754,950148,858,6,98,60.607862,121.458059,0.0,0,130.888686,206.525757,53.046596,98,0.933282,0.754971,0.181863,1.106537,0.189655,1.33504,154,0.472566,1.599188,3851894,0.0
CONT_s3_bola_TearsOfSteel,6,60.0,1789325075.627,1789325085.627,0.747245,0.190573,0.0,1.20482,944819,900,6,98,71.182743,174.050898,0.0,0,178.090516,274.69859,59.353388,96,0.741952,0.762318,0.100014,0.949468,-0.008477,0.988783,42,0.509448,1.466774,4796713,0.020408
CONT_s3_bola_TearsOfSteel,7,70.0,1789325085.627,1789325095.627,0.428642,0.54204,0.0,1.872558,542200,458,4,98,38.332114,185.875481,0.0,0,112.435821,175.754155,59.103113,45,0.0,0.525277,0.719275,1.872558,-0.318603,0.57363,-442,0.499851,0.85754,5338913,0.55102
CONT_s3_bola_TearsOfSteel,8,80.0,1789325095.627,1789325105.627,0.742848,0.790353,0.0,2.221122,940913,762,4,98,21.619313,85.514168,0.262467,2,87.787491,124.592787,34.197195,48,1.408743,1.531757,0.221308,1.872959,0.314206,1.733027,304,0.525634,1.413242,6279826,0.510204
CONT_s3_bola_TearsOfSteel,9,90.0,1789325105.627,1789325115.627,0.899211,0.771185,0.0,2.011903,1129896,1038,6,97,25.353303,93.082817,0.0,0,68.638021,109.644019,26.641502,57,0.0,0.496445,0.759471,2.011429,0.156363,1.210491,276,0.561183,1.602349,7409722,0.412371
