run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s3_dynamic_ElephantsDream,0,0.0,2.9331,13.634,Critical
CONT_s3_dynamic_ElephantsDream,1,10.0,2.8129,0,Degraded
CONT_s3_dynamic_ElephantsDream,2,20.0,2.7487,0,Degraded
CONT_s3_dynamic_ElephantsDream,3,30.0,2.754,0,Degraded
CONT_s3_dynamic_ElephantsDream,4,40.0,3.0476,0,Good
CONT_s3_dynamic_ElephantsDream,5,50.0,3.3064,0,Good
CONT_s3_dynamic_ElephantsDream,6,60.0,3.517,0,Good
CONT_s3_dynamic_ElephantsDream,7,70.0,2.9367,0,Degraded
CONT_s3_dynamic_ElephantsDream,8,80.0,2.9367,0,Degraded
CONT_s3_dynamic_ElephantsDream,9,90.0,3.622,0,Good
CONT_s3_dynamic_ElephantsDream,10,100.0,4.3372,0,Excellent
CONT_s3_dynamic_ElephantsDream,11,110.0,4.2102,0,Excellent
CONT_s3_dynamic_ElephantsDream,12,120.0,3.323,0,Good
CONT_s3_dynamic_ElephantsDream,13,130.0,3.4305,0,Good
CONT_s3_dynamic_ElephantsDream,14,140.0,3.7657,0,Good
CONT_s3_dynamic_ElephantsDream,15,150.0,3.0196,0,Good
CONT_s3_dynamic_ElephantsDream,16,160.0,3.1926,0,Good
CONT_s3_dynamic_ElephantsDream,17,170.0,3.7896,0,Good
CONT_s3_dynamic_ElephantsDream,18,180.0,3.7896,0,Good
CONT_s3_dynamic_ElephantsDream,19,190.0,3.8827,0,Good
CONT_s3_dynamic_ElephantsDream,20,200.0,3.5337,2.975,Critical
CONT_s3_dynamic_ElephantsDream,21,210.0,2.9018,1.3,Critical
CONT_s3_dynamic_ElephantsDream,22,220.0,2.8532,0,Degraded
CONT_s3_dynamic_ElephantsDream,23,230.0,2.2324,0,Degraded
CONT_s3_dynamic_ElephantsDream,24,240.0,2.1023,0,Degraded
CONT_s3_dynamic_ElephantsDream,25,250.0,2.6415,0,Degraded
CONT_s3_dynamic_ElephantsDream,26,260.0,2.8051,0,Degraded
CONT_s3_dynamic_ElephantsDream,27,270.0,2.9173,0,Degraded
CONT_s3_dynamic_ElephantsDream,28,280.0,2.8979,0,Degraded
