run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s3_throughput_RedBullPlayStreets,0,0.298647,442.0,454110.0,109.0,0.915966,0.134,0.075,11.962,0.298487,0.303702,37386.3221,1411.614113,3816.05042,3698431.234724,1923.130582,0.503958,-0.109485,-0.367777,0.0,7604.0,3.714286,3.138015,1.771444,0.476927,-0.149786,-0.154976,0.0,7.0,442.0,454110.0,109.0,0.915966,0.134,0.075,11.962,0.298487,0.303702,37386.3221,1411.614113,3816.05042,3698431.234724,1923.130582,0.503958,-0.109485,-0.367777,0.0,7604.0,3.714286,3.138015,1.771444,0.476927,-0.149786,-0.154976,0.0,7.0,442.0,454110.0,109.0,0.915966,0.134,0.075,11.962,0.298487,0.303702,37386.3221,1411.614113,3816.05042,3698431.234724,1923.130582,0.503958,-0.109485,-0.367777,0.0,7604.0,3.714286,3.138015,1.771444,0.476927,-0.149786,-0.154976,0.0,7.0,0
CONT_s3_throughput_RedBullPlayStreets,1,0.297336,371.0,372299.0,98.0,1.0,0.027,0.058,9.915,0.297839,0.300393,37411.30401,3028.228428,3798.969388,1649885.019672,1284.478501,0.338112,1.184967,-0.54734,3052.0,6104.0,3.785714,1.613402,1.270198,0.335524,1.165862,-0.345926,3.0,7.0,813.0,826409.0,207.0,0.953917,0.134,0.058,21.979,0.298195,0.300799,37456.170342,1095.820042,3808.336406,2761432.465011,1661.755838,0.436347,0.1582,-0.046586,0.0,7604.0,3.746544,2.440092,1.562079,0.416939,0.14036,0.119827,0.0,7.0,813.0,826409.0,207.0,0.953917,0.134,0.058,21.979,0.298195,0.300799,37456.170342,1095.820042,3808.336406,2761432.465011,1661.755838,0.436347,0.1582,-0.046586,0.0,7604.0,3.746544,2.440092,1.562079,0.416939,0.14036,0.119827,0.0,7.0,1
CONT_s3_throughput_RedBullPlayStreets,2,0.270995,357.0,339505.0,76.0,0.77551,0.044,0.033,9.923,0.271604,0.273712,34298.852894,41914.635994,3464.336735,93496170.266884,9669.34177,2.791109,9.030216,83.813716,0.0,95852.0,3.642857,71.304124,8.444177,2.318009,8.599234,78.269734,0.0,83.0,1170.0,1165914.0,283.0,0.898413,0.134,0.033,32.004,0.289929,0.291442,38186.411776,-4194.602601,3701.314286,30807601.61747,5550.459586,1.499592,14.582479,239.774328,0.0,95852.0,3.714286,23.707916,4.869078,1.310905,13.770568,221.709145,0.0,83.0,1170.0,1165914.0,283.0,0.898413,0.134,0.033,32.004,0.289929,0.291442,38186.411776,-4194.602601,3701.314286,30807601.61747,5550.459586,1.499592,14.582479,239.774328,0.0,95852.0,3.714286,23.707916,4.869078,1.310905,13.770568,221.709145,0.0,83.0,2
CONT_s3_throughput_RedBullPlayStreets,3,0.295875,452.0,367332.0,96.0,0.989691,0.069,0.102,9.829,0.293866,0.298978,38695.368167,-22365.190632,3786.927835,3446509.650988,1856.477754,0.490233,1.026263,2.799047,0.0,11000.0,4.659794,5.601804,2.366813,0.507922,1.206479,3.720622,0.0,15.0,1180.0,1079136.0,270.0,0.921502,0.027,0.102,29.871,0.28777,0.289012,34814.863297,29917.55223,3683.05802,32763985.315115,5723.983343,1.554139,14.321066,228.065564,0.0,95852.0,4.027304,26.266375,5.125073,1.272582,12.598228,190.926998,0.0,83.0,1622.0,1533246.0,379.0,0.919903,0.134,0.102,41.935,0.290863,0.2925,36150.622858,19824.996057,3721.470874,24343054.556327,4933.868113,1.325784,15.857699,293.613992,0.0,95852.0,3.936893,19.582383,4.425199,1.124033,13.946281,245.800699,0.0,83.0,3
CONT_s3_throughput_RedBullPlayStreets,4,0.260085,371.0,326320.0,75.0,0.765306,0.0,1.806,8.194,0.261056,0.318594,32625.586712,4873.842348,3329.795918,100151346.988849,10007.564488,3.005459,9.147386,85.331042,0.0,99365.0,3.785714,105.984536,10.294879,2.719402,8.987261,83.284227,0.0,102.0,1180.0,1033157.0,247.0,0.843003,0.044,1.806,28.15,0.275509,0.293615,33372.949611,32492.318193,3526.133106,65498025.417154,8093.085037,2.295173,10.782327,122.796504,0.0,99365.0,4.027304,60.937608,7.806254,1.938333,10.335044,118.299148,0.0,102.0,1993.0,1859566.0,454.0,0.890196,0.134,1.806,50.231,0.285149,0.296162,35722.541296,26630.11147,3646.207843,38765857.135498,6226.223344,1.707589,13.52219,201.672225,0.0,99365.0,3.907843,36.013101,6.001092,1.535653,13.09738,196.996065,0.0,102.0,4
CONT_s3_throughput_RedBullPlayStreets,5,0.37999,406.0,477022.0,48.0,0.489796,1.676,0.024,8.3,0.381618,0.45978,43617.115741,-67395.629106,4867.571429,29131223.814433,5397.334881,1.108835,0.421089,-1.498256,0.0,14415.0,4.142857,20.948454,4.576948,1.104781,0.413806,-1.469575,0.0,14.0,1229.0,1170674.0,219.0,0.74744,0.069,0.024,29.907,0.31218,0.313151,34226.724722,4498.489894,3995.474403,44498129.215952,6670.691809,1.669562,10.165575,140.866377,0.0,99365.0,4.194539,44.136682,6.643544,1.583856,10.99151,158.590657,0.0,102.0,2399.0,2336588.0,502.0,0.825658,0.134,0.024,62.013,0.300666,0.301432,34985.363166,39995.083889,3843.072368,37364375.625726,6112.640643,1.590561,12.006476,180.343368,0.0,99365.0,3.945724,33.553886,5.792572,1.468063,12.235169,189.909622,0.0,102.0,5
CONT_s3_throughput_RedBullPlayStreets,6,0.750307,822.0,933462.0,96.0,0.989691,0.079,0.072,9.849,0.74677,0.758219,94242.97672,5857.461837,9623.319588,8152119.80305,2855.191728,0.296695,-0.347543,0.038097,0.0,15156.0,8.474227,7.1686,2.677424,0.315949,0.385472,2.816764,0.0,20.0,1599.0,1736804.0,219.0,0.74744,0.0,0.072,29.928,0.463148,0.464262,55298.109281,-190728.279678,5927.658703,52806001.143391,7266.773778,1.22591,7.307672,91.240573,0.0,99365.0,5.457338,49.064098,7.004577,1.283515,8.978666,121.259901,0.0,102.0,3221.0,3270050.0,598.0,0.848227,0.134,0.072,71.965,0.362478,0.363516,39259.629393,-56500.020377,4638.368794,37297956.758684,6107.205315,1.316671,10.182272,150.471826,0.0,99365.0,4.568794,32.345048,5.687271,1.244808,10.962076,171.301188,0.0,102.0,6
CONT_s3_throughput_RedBullPlayStreets,7,0.751825,809.0,938332.0,97.0,1.0,0.031,0.087,9.882,0.750666,0.759629,93868.21165,10725.811045,9673.525773,7390229.939433,2718.497736,0.281024,0.192312,-0.763214,4552.0,15156.0,8.340206,5.914304,2.431934,0.291592,0.245842,-0.923832,4.0,14.0,2037.0,2348816.0,241.0,0.825342,1.676,0.087,28.237,0.626351,0.665458,85807.648164,-289663.856171,8043.890411,19952221.231935,4466.790932,0.555302,-0.621946,-0.619466,0.0,15156.0,6.976027,15.370557,3.92053,0.562,-0.493397,-0.327903,0.0,20.0,4030.0,4208382.0,695.0,0.866584,0.134,0.087,81.95,0.409719,0.410824,45373.408825,-213456.877557,5247.359102,36365803.621197,6030.406588,1.149227,9.124202,135.295436,0.0,99365.0,5.024938,30.651063,5.53634,1.101773,10.283525,164.239715,0.0,102.0,7
CONT_s3_throughput_RedBullPlayStreets,8,1.239393,1239.0,1548062.0,78.0,0.804124,0.016,0.09,9.894,1.23845,1.251718,154496.627711,-74488.420159,15959.402062,542544424.326246,23292.583033,1.45949,7.631074,66.76128,0.0,226087.0,12.773196,381.489691,19.531761,1.529121,7.904879,70.013701,0.0,191.0,2870.0,3419856.0,271.0,0.931271,0.079,0.09,29.831,0.911962,0.917128,105850.273436,-97339.942917,11752.082474,193627677.096623,13915.016245,1.184047,12.644663,191.885776,0.0,226087.0,9.862543,134.870696,11.613384,1.177524,13.104933,201.867106,0.0,191.0,5269.0,5756444.0,773.0,0.859844,0.134,0.09,91.947,0.499632,0.500849,52793.417642,-429329.036497,6403.163515,101495386.087932,10074.491853,1.573362,13.38919,264.473862,0.0,226087.0,5.860957,73.908262,8.596991,1.466824,13.593031,261.696122,0.0,191.0,8
CONT_s3_throughput_RedBullPlayStreets,9,1.533857,1661.0,1919544.0,97.0,1.0,0.013,0.079,9.908,1.535635,1.549894,192478.307659,16010.887166,19789.113402,10183250.205756,3191.120525,0.161256,0.061727,0.117672,12104.0,28708.0,17.123711,7.297036,2.701303,0.157752,-0.125453,0.574334,10.0,25.0,3709.0,4405938.0,272.0,0.934708,0.031,0.079,29.89,1.174917,1.179241,148877.724351,-370860.981848,15140.680412,202867642.107856,14243.16124,0.940721,11.158816,163.620596,0.0,226087.0,12.745704,143.562697,11.981765,0.940063,11.30544,166.637182,0.0,191.0,6930.0,7675988.0,870.0,0.873494,0.134,0.079,101.958,0.601031,0.602286,63418.99948,-773024.156404,7706.815261,108350304.88242,10409.145252,1.350642,10.819617,203.640059,0.0,226087.0,6.957831,78.569074,8.86392,1.273949,11.052609,203.143292,0.0,191.0,9
